country,time,efparlt_idea
afg,1975,0
afg,1976,0
afg,1977,0
afg,1978,1.63511
afg,1979,1.63511
afg,1980,1.63511
afg,1981,1.63511
afg,1982,1.63511
afg,1983,1.63511
afg,1984,1.63511
afg,1985,1.63511
afg,1986,1.63511
afg,1987,1.63511
afg,1988,39.86043
afg,1989,38.87483
afg,1990,38.87483
afg,1991,38.87483
afg,1993,1.63511
afg,1994,1.63511
afg,1995,1.63511
afg,1996,0
afg,1997,0
afg,1998,0
afg,1999,0
afg,2000,0
afg,2001,1.63511
afg,2002,1.63511
afg,2003,1.63511
afg,2005,56.57581
afg,2006,57.77025
afg,2007,57.77025
afg,2008,57.77025
afg,2009,59.27213
afg,2010,59.8399
afg,2011,59.8399
afg,2012,59.8399
afg,2013,67.37068
afg,2014,64.62713
afg,2015,64.62713
afg,2016,59.52484
afg,2017,59.31802
afg,2018,58.15287
afg,2019,53.28607
ago,1975,6.44924
ago,1976,6.44924
ago,1977,6.44924
ago,1978,6.44924
ago,1979,6.44924
ago,1980,6.44924
ago,1981,6.44924
ago,1982,6.44924
ago,1983,6.44924
ago,1984,6.44924
ago,1985,6.44924
ago,1986,6.44924
ago,1987,6.44924
ago,1988,6.44924
ago,1989,6.44924
ago,1990,6.44924
ago,1991,1.63511
ago,1992,33.92062
ago,1993,1.63511
ago,1994,1.63511
ago,1995,1.63511
ago,1996,1.63511
ago,1997,6.44924
ago,1998,6.44924
ago,1999,6.44924
ago,2000,6.44924
ago,2001,6.44924
ago,2002,6.44924
ago,2003,6.44924
ago,2004,6.44924
ago,2005,6.44924
ago,2006,6.44924
ago,2007,6.44924
ago,2008,33.08405
ago,2009,32.33841
ago,2010,30.24155
ago,2011,30.24155
ago,2012,30.24155
ago,2013,31.23661
ago,2014,31.23661
ago,2015,31.23661
ago,2016,31.23661
ago,2017,35.33061
ago,2018,38.73279
ago,2019,43.2589
alb,1975,26.54173
alb,1976,26.54173
alb,1977,26.54173
alb,1978,26.54173
alb,1979,26.54173
alb,1980,26.54173
alb,1981,26.54173
