country,time,non_net_users_prc
afg,1990,100
afg,1991,100
afg,1992,100
afg,1993,100
afg,1994,100
afg,1995,100
afg,2001,100
afg,2002,100
afg,2003,99.91
afg,2004,99.89
afg,2005,98.78
afg,2006,97.89
afg,2007,98.1
afg,2008,98.16
afg,2009,96.45
afg,2010,96
afg,2011,95
afg,2012,94.55
afg,2013,94.1
afg,2014,93
afg,2015,91.74
afg,2016,88.8
afg,2017,86.5
afg,2018,86.5
afg,2019,86.5
ago,1990,100
ago,1991,100
ago,1992,100
ago,1993,100
ago,1994,100
ago,1995,100
ago,1996,100
ago,1997,99.99
ago,1998,99.98
ago,1999,99.93
ago,2000,99.89
ago,2001,99.86
ago,2002,99.73
ago,2003,99.63
ago,2004,99.54
ago,2005,98.86
ago,2006,98.5
ago,2007,98.3
ago,2008,98.1
ago,2009,97.7
ago,2010,97.2
ago,2011,96.9
ago,2012,93.5
ago,2013,91.1
ago,2014,78.6
ago,2015,87.6
ago,2016,87
ago,2017,85.66
ago,2018,85.66
ago,2019,85.66
alb,1990,100
alb,1991,100
alb,1992,100
alb,1993,100
alb,1994,100
alb,1995,99.99
alb,1996,99.97
alb,1997,99.95
alb,1998,99.93
alb,1999,99.92
alb,2000,99.89
alb,2001,99.67
alb,2002,99.61
alb,2003,99.03
alb,2004,97.58
alb,2005,93.96
alb,2006,90.39
alb,2007,84.96
alb,2008,76.14
alb,2009,58.8
alb,2010,55
alb,2011,51
alb,2012,45.34
alb,2013,42.8
alb,2014,39.9
alb,2015,36.75
alb,2016,33.64
alb,2017,28.15
alb,2018,28.15
alb,2019,30.36
and,1990,100
and,1991,100
and,1992,100
and,1993,100
and,1994,100
and,1995,100
and,1996,98.47
and,1997,96.95
and,1998,93.11
and,1999,92.36
and,2000,89.46
and,2001,89.46
and,2002,88.74
and,2003,86.45
and,2004,73.16
and,2005,62.39
and,2006,51.06
and,2007,29.13
and,2008,29.96
and,2009,21.47
and,2010,19
and,2011,19
and,2012,13.57
and,2013,6
and,2014,4.1
and,2015,3.09
and,2016,2.07
and,2017,8.43
and,2018,8.43
and,2019,8.43
are,1990,100
are,1991,100
are,1992,100
are,1993,100
are,1994,100
are,1995,99.9
are,1996,99.62
are,1997,96.7
are,1998,93.09
are,1999,85.06
are,2000,76.37
are,2001,73.73
are,2002,71.68
are,2003,70.52
are,2004,69.87
are,2005,60
are,2006,48
are,2007,39
are,2008,37
are,2009,36
are,2010,32
are,2011,22
are,2012,15
are,2013,12
are,2014,9.6
are,2015,9.5
are,2016,9.4
are,2017,5.18
are,2018,1.55
are,2019,0.85
arg,1990,100
arg,1991,100
arg,1992,100
arg,1993,99.97
arg,1994,99.96
arg,1995,99.91
arg,1996,99.86
arg,1997,99.72
arg,1998,99.17
arg,1999,96.72
arg,2000,92.96
arg,2001,90.22
arg,2002,89.12
arg,2003,88.09
arg,2004,83.96
arg,2005,82.28
arg,2006,79.07
arg,2007,74.05
arg,2008,71.89
arg,2009,66
arg,2010,55
arg,2011,49
arg,2012,44.2
arg,2013,40.1
arg,2014,35.3
arg,2015,31.96
arg,2016,29.03
arg,2017,25.71
arg,2018,25.71
arg,2019,25.71
arm,1990,100
arm,1991,100
arm,1992,100
arm,1993,100
arm,1994,99.99
arm,1995,99.95
arm,1996,99.91
arm,1997,99.89
arm,1998,99.87
arm,1999,99.03
arm,2000,98.7
arm,2001,98.37
arm,2002,98.04
arm,2003,95.42
arm,2004,95.1
arm,2005,94.75
arm,2006,94.37
arm,2007,93.98
arm,2008,93.79
arm,2009,84.7
arm,2010,75
arm,2011,68
arm,2012,62.5
arm,2013,58.1
arm,2014,45.38
arm,2015,40.9
arm,2016,35.65
arm,2017,35.26
arm,2018,35.26
arm,2019,35.26
atg,1990,100
atg,1991,100
atg,1992,100
atg,1993,100
atg,1994,100
atg,1995,97.8
atg,1996,97.14
atg,1997,96.52
atg,1998,95.93
atg,1999,94.7
atg,2000,93.52
atg,2001,91.1
atg,2002,87.5
atg,2003,82.77
atg,2004,75.73
atg,2005,73
atg,2006,70
atg,2007,66
atg,2008,62
atg,2009,58
atg,2010,53
atg,2011,48
atg,2012,42
atg,2013,36.6
atg,2014,32.22
atg,2015,30
atg,2016,27
atg,2017,24
atg,2018,24
atg,2019,24
aus,1990,99.41
aus,1991,98.9
aus,1992,98.23
aus,1993,98.03
aus,1994,97.77
aus,1995,97.24
aus,1996,96.72
aus,1997,83.63
aus,1998,69.19
aus,1999,59.22
aus,2000,53.24
aus,2001,47.31
aus,2002,47.31
aus,2003,47.31
aus,2004,47.31
aus,2005,37
aus,2006,34
aus,2007,30.55
aus,2008,28.33
aus,2009,25.75
aus,2010,24
aus,2011,20.51
aus,2012,21
aus,2013,16.55
aus,2014,16
aus,2015,15.44
aus,2016,13.46
aus,2017,13.46
aus,2018,13.46
aus,2019,13.46
aut,1990,99.87
aut,1991,99.74
aut,1992,99.36
aut,1993,99.23
aut,1994,98.61
aut,1995,98.11
aut,1996,93.09
aut,1997,90.47
aut,1998,84.58
aut,1999,76.96
aut,2000,66.27
aut,2001,60.81
aut,2002,63.44
aut,2003,57.3
aut,2004,45.72
aut,2005,42
aut,2006,36.4
aut,2007,30.63
aut,2008,27.13
aut,2009,26.55
aut,2010,24.83
aut,2011,21.26
aut,2012,19.97
aut,2013,19.38
aut,2014,19
aut,2015,16.06
aut,2016,15.68
aut,2017,12.06
aut,2018,12.29
aut,2019,12.25
aze,1990,100
aze,1991,100
aze,1992,100
aze,1993,100
aze,1994,100
aze,1995,100
aze,1996,99.99
aze,1997,99.97
aze,1998,99.96
aze,1999,99.9
aze,2000,99.85
aze,2001,99.69
aze,2002,95
aze,2003,95
aze,2004,95
aze,2005,91.97
aze,2006,88.01
aze,2007,85.46
aze,2008,82.92
aze,2009,72.6
aze,2010,54
aze,2011,50
aze,2012,45.8
aze,2013,27
aze,2014,25
aze,2015,23
aze,2016,21.8
aze,2017,21
aze,2018,20.2
aze,2019,20.2
bdi,1990,100
bdi,1991,100
bdi,1992,100
bdi,1993,100
bdi,1994,100
bdi,1995,100
bdi,1996,100
bdi,1997,99.99
bdi,1998,99.98
bdi,1999,99.96
bdi,2000,99.92
bdi,2001,99.89
bdi,2002,99.88
bdi,2003,99.8
bdi,2004,99.65
bdi,2005,99.46
bdi,2006,99.34
bdi,2007,99.3
bdi,2008,99.19
bdi,2009,99.1
bdi,2010,99
bdi,2011,98.89
bdi,2012,98.78
bdi,2013,98.74
bdi,2014,98.62
bdi,2015,95.13
bdi,2016,94.83
bdi,2017,97.34
bdi,2018,97.34
bdi,2019,97.34
bel,1990,100
bel,1991,99.98
bel,1992,99.9
bel,1993,99.8
bel,1994,99.3
bel,1995,99.01
bel,1996,97.03
bel,1997,95.06
bel,1998,92.11
bel,1999,86.23
bel,2000,70.57
bel,2001,68.71
bel,2002,53.67
bel,2003,50.03
bel,2004,46.14
bel,2005,44.18
bel,2006,40.28
bel,2007,35.56
bel,2008,34
bel,2009,30
bel,2010,25
bel,2011,18.39
bel,2012,19.28
bel,2013,17.83
bel,2014,15
bel,2015,14.95
bel,2016,13.48
bel,2017,12.32
bel,2018,11.34
bel,2019,9.63
ben,1990,100
ben,1991,100
ben,1992,100
ben,1993,100
ben,1994,100
ben,1995,100
ben,1996,100
ben,1997,99.98
ben,1998,99.95
ben,1999,99.85
ben,2000,99.77
ben,2001,99.64
ben,2002,99.3
ben,2003,99.05
ben,2004,98.82
ben,2005,98.73
ben,2006,98.46
ben,2007,98.21
ben,2008,98.15
ben,2009,97.76
ben,2010,96.87
ben,2011,95.85
ben,2012,95.5
ben,2013,95.1
ben,2014,94
ben,2015,88.75
ben,2016,88.01
ben,2017,80
ben,2018,80
ben,2019,80
bfa,1990,100
bfa,1991,100
bfa,1992,100
bfa,1993,100
bfa,1994,100
bfa,1995,100
bfa,1996,100
bfa,1997,99.98
bfa,1998,99.95
bfa,1999,99.94
bfa,2000,99.92
bfa,2001,99.84
bfa,2002,99.8
bfa,2003,99.63
bfa,2004,99.6
bfa,2005,99.53
bfa,2006,99.37
bfa,2007,99.25
bfa,2008,99.08
bfa,2009,98.87
bfa,2010,97.6
bfa,2011,97
bfa,2012,96.27
bfa,2013,90.9
bfa,2014,90.6
bfa,2015,86
bfa,2016,86.04
bfa,2017,84
bfa,2018,84
bfa,2019,84
bgd,1990,100
bgd,1991,100
bgd,1992,100
bgd,1993,100
bgd,1994,100
bgd,1995,100
bgd,1997,100
bgd,1998,100
bgd,1999,99.96
bgd,2000,99.93
