country,time,perceived_progress
afg,2021,13.21464
ago,2021,15.98781
alb,2021,45.93101
and,2021,50.97661
are,2021,64.95865
arg,2021,53.11361
arm,2021,46.26644
atg,2021,30.91911
aus,2021,86.97183
aut,2021,88.78612
aze,2021,43.04512
bdi,2021,32.52011
bel,2021,89.68338
ben,2021,30.68749
bfa,2021,28.90131
bgd,2021,38.78722
bgr,2021,48.01057
bhr,2021,50.27552
bhs,2021,44.99456
bih,2021,44.5758
blr,2021,32.09391
blz,2021,41.26704
bol,2021,45.09666
bra,2021,55.0996
brb,2021,50.71414
brn,2021,39.36825
btn,2021,51.01933
bwa,2021,34.18923
caf,2021,17.44586
can,2021,83.60764
che,2021,90.25725
chl,2021,49.16368
chn,2021,68.34444
civ,2021,31.3549
cmr,2021,22.11309
cod,2021,27.76555
cog,2021,28.07671
col,2021,44.22921
com,2021,40.81506
cpv,2021,36.2995
cri,2021,48.44433
cub,2021,51.0238
cyp,2021,54.65725
cze,2021,70.56804
deu,2021,88.07718
dji,2021,26.0801
dma,2021,36.50249
dnk,2021,89.02149
dom,2021,43.67148
dza,2021,40.35272
ecu,2021,30.9117
egy,2021,42.69533
eri,2021,29.09662
esp,2021,86.37355
est,2021,54.53437
eth,2021,24.08939
fin,2021,82.75303
fji,2021,44.44294
fra,2021,90.07307
fsm,2021,36.71796
gab,2021,38.27949
gbr,2021,87.29712
geo,2021,54.34182
gha,2021,37.23178
gin,2021,41.06269
gmb,2021,24.4821
gnb,2021,31.17154
gnq,2021,23.72312
grc,2021,68.42446
grd,2021,45.47588
gtm,2021,34.33305
guy,2021,45.3694
hnd,2021,27.35977
hrv,2021,64.38708
hti,2021,21.98048
hun,2021,81.42047
idn,2021,44.30111
ind,2021,46.47248
irl,2021,82.3241
irn,2021,43.44119
irq,2021,28.85073
isl,2021,86.98976
isr,2021,57.4471
ita,2021,89.90468
jam,2021,46.15979
jor,2021,42.58362
jpn,2021,89.55085
kaz,2021,29.3866
ken,2021,28.68985
kgz,2021,34.45813
khm,2021,31.74077
kir,2021,38.03706
kna,2021,39.86996
kor,2021,77.5065
kwt,2021,43.0123
lao,2021,19.2226
lbn,2021,33.44089
lbr,2021,35.26886
lby,2021,31.96074
lca,2021,44.22977
lie,2021,71.69907
lka,2021,44.10024
lso,2021,32.04585
ltu,2021,50.72598
lux,2021,83.85235
lva,2021,56.72815
mar,2021,46.68563
mco,2021,81.00801
mda,2021,43.72874
mdg,2021,38.64603
mdv,2021,36.14695
mex,2021,58.06507
mhl,2021,44.15303
mkd,2021,47.95101
mli,2021,29.1374
mlt,2021,65.07225
mmr,2021,34.16336
mne,2021,45.03921
mng,2021,39.40705
moz,2021,30.02098
mrt,2021,32.07973
mus,2021,45.71264
mwi,2021,23.20389
mys,2021,50.44266
nam,2021,22.88233
ner,2021,23.54901
nga,2021,35.93952
nic,2021,20.97921
nld,2021,86.33106
nor,2021,87.17574
npl,2021,34.64655
nru,2021,30.83089
nzl,2021,89.97612
omn,2021,44.24184
pak,2021,36.96265
pan,2021,44.73969
per,2021,46.35253
phl,2021,44.0853
plw,2021,34.40074
png,2021,21.61281
pol,2021,71.23368
prk,2021,32.0842
prt,2021,69.19495
pry,2021,44.9265
pse,2021,38.42987
qat,2021,63.74419
rou,2021,63.92008
rus,2021,73.9759
rwa,2021,30.03837
sau,2021,60.14834
sdn,2021,31.02154
sen,2021,18.77684
sgp,2021,72.73993
slb,2021,30.41394
sle,2021,32.6228
slv,2021,38.36149
smr,2021,51.68994
som,2021,13.80006
srb,2021,50.14886
ssd,2021,22.0551
stp,2021,30.64113
sur,2021,40.10004
svk,2021,63.43017
svn,2021,59.62252
swe,2021,92.02547
swz,2021,56.90097
syc,2021,38.93974
syr,2021,16.55677
tcd,2021,28.90354
tgo,2021,33.75803
tha,2021,57.93656
tjk,2021,29.18898
tkm,2021,35.4083
tls,2021,37.86592
ton,2021,35.13852
tto,2021,34.55337
tun,2021,47.64603
tur,2021,54.72922
tuv,2021,37.4978
tza,2021,27.30396
uga,2021,30.33466
ukr,2021,62.84119
ury,2021,48.51898
usa,2021,79.66456
uzb,2021,34.5636
vct,2021,37.44609
ven,2021,28.66486
vnm,2021,33.73858
vut,2021,28.81892
wsm,2021,31.0252
yem,2021,34.66051
zaf,2021,31.84896
zmb,2021,22.88326
zwe,2021,16.2676
