country,time,freligion_idea
afg,1975,34.10841
afg,1976,34.10841
afg,1977,32.63853
afg,1978,21.99583
afg,1979,19.41082
afg,1980,21.99583
afg,1981,25.38803
afg,1982,25.38803
afg,1983,21.25743
afg,1984,21.25743
afg,1985,21.25743
afg,1986,25.38803
afg,1987,28.30397
afg,1988,30.67282
afg,1989,37.0515
afg,1990,32.95075
afg,1991,34.39995
afg,1992,25.01302
afg,1993,37.07526
afg,1994,37.07526
afg,1995,37.07526
afg,1996,23.7623
afg,1997,23.7623
afg,1998,23.7623
afg,1999,23.7623
afg,2000,23.7623
afg,2001,23.7623
afg,2002,31.01414
afg,2003,33.49233
afg,2004,33.49233
afg,2005,31.75197
afg,2006,31.75197
afg,2007,31.75197
afg,2008,31.75197
afg,2009,31.75197
afg,2010,31.75197
afg,2011,31.75197
afg,2012,31.75197
afg,2013,32.28841
afg,2014,32.28841
afg,2015,32.28841
afg,2016,31.75197
afg,2017,31.75197
afg,2018,27.37442
afg,2019,27.37442
ago,1975,32.03679
ago,1976,32.03679
ago,1977,32.03679
ago,1978,32.03679
ago,1979,32.03679
ago,1980,32.03679
ago,1981,34.58
ago,1982,34.58
ago,1983,43.50703
ago,1984,36.69425
ago,1985,40.58627
ago,1986,40.58627
ago,1987,30.22376
ago,1988,34.58
ago,1989,34.58
ago,1990,30.22376
ago,1991,45.01941
ago,1992,45.96778
ago,1993,53.75222
ago,1994,53.75222
ago,1995,41.67425
ago,1996,47.70079
ago,1997,53.75222
ago,1998,53.75222
ago,1999,53.75222
ago,2000,53.75222
ago,2001,53.75222
ago,2002,49.82049
ago,2003,49.82049
ago,2004,49.82049
ago,2005,47.00795
ago,2006,49.82049
ago,2007,47.00795
ago,2008,49.82049
ago,2009,47.00795
ago,2010,55.43548
ago,2011,51.88834
ago,2012,51.88834
ago,2013,40.25662
ago,2014,40.25662
ago,2015,40.25662
ago,2016,43.35608
ago,2017,43.35608
ago,2018,43.35608
ago,2019,45.59604
alb,1975,0.16117
alb,1976,0.16117
alb,1977,0.16117
alb,1978,0.16117
alb,1979,0.16117
alb,1980,0.16117
alb,1981,0
alb,1982,0
alb,1983,0
alb,1984,0
alb,1985,0
alb,1986,0
alb,1987,0
alb,1988,0
alb,1989,0
alb,1990,23.73169
alb,1991,51.9919
alb,1992,50.35638
alb,1993,50.35638
alb,1994,58.57687
alb,1995,50.35638
alb,1996,50.35638
alb,1997,55.18265
alb,1998,67.72146
alb,1999,64.23172
alb,2000,61.82193
alb,2001,61.82193
alb,2002,67.0105
alb,2003,61.82193
alb,2004,67.0105
alb,2005,66.0619
alb,2006,72.01521
alb,2007,80.44813
alb,2008,80.44813
alb,2009,80.44813
alb,2010,80.44813
alb,2011,74.77168
alb,2012,80.44813
alb,2013,77.52716
alb,2014,77.52716
alb,2015,77.52716
alb,2016,72.80099
alb,2017,65.56216
alb,2018,77.52716
alb,2019,68.42922
are,1975,37.02801
are,1976,37.02801
are,1977,37.02801
are,1978,37.02801
are,1979,37.02801
are,1980,37.02801
are,1981,35.05575
are,1982,38.48549
are,1983,38.48549
are,1984,38.48549
are,1985,38.48549
are,1986,38.48549
are,1987,38.48549
are,1988,38.48549
are,1989,38.48549
are,1990,38.48549
are,1991,38.48549
are,1992,38.48549
are,1993,38.48549
are,1994,38.48549
are,1995,38.48549
are,1996,40.83213
are,1997,39.23804
are,1998,39.23804
are,1999,39.23804
are,2000,35.80308
are,2001,35.74345
are,2002,32.35489
are,2003,35.74345
are,2004,32.35489
are,2005,32.35489
are,2006,32.35489
are,2007,32.35489
are,2008,32.35489
are,2009,32.35489
are,2010,34.56919
are,2011,33.59658
are,2012,33.59658
are,2013,33.59658
are,2014,33.59658
are,2015,34.56919
are,2016,36.14258
are,2017,36.14258
are,2018,36.14258
are,2019,35.05575
arg,1975,59.75646
arg,1976,47.43357
arg,1977,47.43357
arg,1978,47.43357
arg,1979,47.43357
arg,1980,47.43357
arg,1981,47.46685
arg,1982,47.46685
arg,1983,46.21617
arg,1984,66.16112
arg,1985,66.16112
arg,1986,73.86427
arg,1987,78.59956
arg,1988,73.86427
arg,1989,73.86427
arg,1990,78.59956
arg,1991,78.59956
arg,1992,67.55947
arg,1993,65.3521
arg,1994,80.94598
arg,1995,80.94598
arg,1996,80.94598
arg,1997,80.94598
arg,1998,80.94598
arg,1999,80.94598
arg,2000,80.94598
arg,2001,80.94598
arg,2002,80.94598
arg,2003,80.94598
arg,2004,80.94598
arg,2005,80.94598
arg,2006,80.94598
arg,2007,80.94598
arg,2008,80.94598
arg,2009,80.94598
arg,2010,80.94598
arg,2011,80.94598
arg,2012,80.94598
arg,2013,80.94598
arg,2014,67.55947
arg,2015,67.55947
arg,2016,70.23295
arg,2017,76.88352
arg,2018,79.08838
arg,2019,79.08838
arm,1991,53.87729
arm,1992,57.55172
arm,1993,49.01992
arm,1994,49.01992
arm,1995,46.17746
arm,1996,49.01992
arm,1997,44.25309
arm,1998,49.01992
arm,1999,46.17746
arm,2000,49.01992
arm,2001,49.01992
arm,2002,46.17746
arm,2003,46.17746
arm,2004,49.01992
arm,2005,49.01992
arm,2006,49.01992
arm,2007,49.01992
arm,2008,49.01992
arm,2009,49.01992
arm,2010,49.01992
arm,2011,46.17746
arm,2012,46.17746
arm,2013,50.35638
arm,2014,50.35638
arm,2015,49.01992
arm,2016,46.17746
arm,2017,49.38014
arm,2018,51.25091
arm,2019,52.07155
aus,1975,76.93102
aus,1976,76.93102
aus,1977,76.93102
aus,1978,76.93102
aus,1979,76.93102
aus,1980,73.01081
aus,1981,73.76797
aus,1982,73.76797
aus,1983,73.76797
aus,1984,73.76797
aus,1985,73.76797
aus,1986,73.76797
aus,1987,73.76797
aus,1988,73.76797
aus,1989,73.76797
aus,1990,73.76797
aus,1991,73.76797
aus,1992,73.76797
aus,1993,73.76797
aus,1994,73.76797
aus,1995,73.76797
aus,1996,73.76797
aus,1997,73.76797
aus,1998,73.76797
aus,1999,70.28313
aus,2000,76.42271
aus,2001,76.42271
aus,2002,76.42271
aus,2003,76.42271
aus,2004,76.42271
aus,2005,76.42271
aus,2006,76.42271
aus,2007,76.42271
aus,2008,80.7764
aus,2009,86.92827
aus,2010,92.6445
aus,2011,92.6445
aus,2012,92.6445
aus,2013,80.94598
aus,2014,83.18779
aus,2015,83.18779
aus,2016,83.18779
aus,2017,80.94598
aus,2018,80.94598
aus,2019,80.94598
aut,1975,71.12898
aut,1976,71.12898
aut,1977,71.12898
aut,1978,71.12898
aut,1979,71.12898
aut,1980,71.12898
aut,1981,72.30589
aut,1982,72.30589
aut,1983,72.30589
aut,1984,72.30589
aut,1985,72.30589
aut,1986,72.30589
aut,1987,72.30589
aut,1988,72.30589
aut,1989,72.30589
aut,1990,72.30589
aut,1991,72.30589
aut,1992,72.30589
aut,1993,72.30589
aut,1994,72.30589
aut,1995,72.30589
aut,1996,72.30589
aut,1997,67.24806
aut,1998,67.24806
aut,1999,67.24806
aut,2000,67.24806
aut,2001,67.24806
aut,2002,67.24806
aut,2003,67.24806
aut,2004,67.24806
aut,2005,67.24806
aut,2006,67.24806
aut,2007,67.24806
aut,2008,69.95773
aut,2009,64.41558
aut,2010,62.00451
aut,2011,69.95773
aut,2012,69.95773
aut,2013,68.61404
aut,2014,68.61404
aut,2015,62.86164
aut,2016,59.26338
aut,2017,54.00755
aut,2018,58.15234
aut,2019,55.18265
aze,1991,34.22449
aze,1992,40.25662
aze,1993,44.83837
aze,1994,44.41447
aze,1995,41.82829
aze,1996,33.71185
aze,1997,33.71185
aze,1998,33.71185
aze,1999,32.35489
aze,2000,38.99876
aze,2001,38.99876
aze,2002,38.99876
aze,2003,38.99876
aze,2004,29.25899
aze,2005,29.25899
aze,2006,29.25899
aze,2007,29.25899
aze,2008,32.716
aze,2009,29.25899
aze,2010,29.25899
aze,2011,29.25899
aze,2012,29.25899
aze,2013,29.25899
aze,2014,29.25899
aze,2015,27.59769
aze,2016,27.59769
aze,2017,27.37442
aze,2018,29.25899
aze,2019,29.25899
bdi,1975,51.81381
bdi,1976,51.81381
bdi,1977,43.74981
bdi,1978,43.74981
bdi,1979,43.74981
bdi,1980,43.74981
bdi,1981,44.42903
bdi,1982,40.40185
bdi,1983,40.40185
bdi,1984,33.47145
bdi,1985,31.59226
bdi,1986,28.40054
bdi,1987,40.44886
bdi,1988,51.66975
bdi,1989,51.66975
bdi,1990,51.66975
bdi,1991,48.58415
bdi,1992,49.80053
bdi,1993,53.4241
bdi,1994,59.60827
bdi,1995,59.60827
bdi,1996,61.73098
bdi,1997,61.73098
bdi,1998,61.73098
