country,time,emigrant_pc
afg,1990,61.87
afg,1995,24
afg,2000,22.86
afg,2005,16.05
afg,2010,18.06
afg,2015,15.69
afg,2020,15.04
ago,1990,6.96
ago,1995,4.94
ago,2000,5.57
ago,2005,3.69
ago,2010,2.79
ago,2015,2.22
ago,2020,2.03
alb,1990,5.48
alb,1995,16.1
alb,2000,26.35
alb,2005,31.3
alb,2010,37.92
alb,2015,39.54
alb,2020,43.45
and,1990,6.86
and,1995,6.49
and,2000,8.53
and,2005,7.26
and,2010,9.36
and,2015,11.21
and,2020,14.41
are,1990,4.35
are,1995,4.05
are,2000,3.54
are,2005,2.74
are,2010,1.82
are,2015,1.93
are,2020,2.05
arg,1990,1.32
arg,1995,1.38
arg,2000,1.51
arg,2005,2.07
arg,2010,2.3
arg,2015,2.19
arg,2020,2.38
arm,1990,25.43
arm,1995,28.03
arm,2000,28.58
arm,2005,30.21
arm,2010,31.87
arm,2015,32.29
arm,2020,32.34
atg,1990,34.19
atg,1995,39.27
atg,2000,43.13
atg,2005,44.68
atg,2010,46.97
atg,2015,55.77
atg,2020,67.97
aus,1990,1.77
aus,1995,1.9
aus,2000,2.01
aus,2005,2.12
aus,2010,2.2
aus,2015,2.17
aus,2020,2.35
aut,1990,6.54
aut,1995,6.13
aut,2000,5.92
aut,2005,5.98
aut,2010,6.15
aut,2015,5.94
aut,2020,6.67
aze,1990,22.56
aze,1995,22.02
aze,2000,20.07
aze,2005,17.04
aze,2010,12.85
aze,2015,11.75
aze,2020,11.48
bdi,1990,6.2
bdi,1995,9.03
bdi,2000,11.89
bdi,2005,8.42
bdi,2010,3.27
bdi,2015,4.53
bdi,2020,4.63
bel,1990,3.64
bel,1995,3.68
bel,2000,3.88
bel,2005,4.15
bel,2010,4.42
bel,2015,4.57
bel,2020,4.98
ben,1990,4.71
ben,1995,4.67
ben,2000,4.78
ben,2005,6.32
ben,2010,5.88
ben,2015,6
ben,2020,5.62
bfa,1990,11.59
bfa,1995,12.05
bfa,2000,11.02
bfa,2005,10.08
bfa,2010,9.19
bfa,2015,8.38
bfa,2020,7.65
bgd,1990,5.28
