country,time,mediaint_idea
afg,1975,25.01681
afg,1976,24.43242
afg,1977,23.05423
afg,1978,24.5585
afg,1979,26.15756
afg,1980,27.28844
afg,1981,27.16186
afg,1982,27.08028
afg,1983,26.94212
afg,1984,27.31145
afg,1985,27.05166
afg,1986,26.97819
afg,1987,26.10515
afg,1988,26.48734
afg,1989,26.27552
afg,1990,28.29767
afg,1991,28.33646
afg,1992,28.6794
afg,1993,24.73748
afg,1994,24.74659
afg,1995,24.86893
afg,1996,19.57787
afg,1997,22.74255
afg,1998,22.63014
afg,1999,22.69609
afg,2000,22.44805
afg,2001,31.99736
afg,2002,60.62603
afg,2003,61.69544
afg,2004,61.35363
afg,2005,61.39655
afg,2006,62.32811
afg,2007,62.83792
afg,2008,65.50987
afg,2009,65.75046
afg,2010,66.37028
afg,2011,66.54886
afg,2012,66.74852
afg,2013,66.60009
afg,2014,64.73514
afg,2015,65.41097
afg,2016,61.07125
afg,2017,66.55844
afg,2018,63.67504
afg,2019,67.13024
ago,1975,13.22609
ago,1976,9.13144
ago,1977,9.13921
ago,1978,9.13862
ago,1979,9.27989
ago,1980,9.08914
ago,1981,9.00048
ago,1982,9.22352
ago,1983,9.13537
ago,1984,9.1678
ago,1985,9.03478
ago,1986,9.41868
ago,1987,9.1457
ago,1988,9.03656
ago,1989,9.19135
ago,1990,8.76013
ago,1991,8.82553
ago,1992,32.22117
ago,1993,42.35027
ago,1994,42.01741
ago,1995,42.3769
ago,1996,42.20231
ago,1997,42.03876
ago,1998,42.54595
ago,1999,42.36207
ago,2000,42.46009
ago,2001,42.32436
ago,2002,42.18482
ago,2003,44.76468
ago,2004,44.52526
ago,2005,44.64758
ago,2006,44.71431
ago,2007,44.31291
ago,2008,43.86103
ago,2009,44.99209
ago,2010,45.53805
ago,2011,45.2079
ago,2012,44.6816
ago,2013,45.63055
ago,2014,45.79744
ago,2015,45.42663
ago,2016,45.72055
ago,2017,45.7863
ago,2018,59.48369
ago,2019,68.46411
alb,1975,4.14992
alb,1976,4.31672
alb,1977,4.43315
alb,1978,4.30896
alb,1979,4.21688
alb,1980,4.35466
alb,1981,4.15493
alb,1982,4.23873
alb,1983,4.16192
alb,1984,4.27374
alb,1985,4.05373
alb,1986,4.36252
alb,1987,4.28506
alb,1988,4.49338
alb,1989,4.28482
alb,1990,12.98251
alb,1991,65.08156
alb,1992,64.86186
alb,1993,62.67696
alb,1994,63.55979
alb,1995,63.47564
alb,1996,64.82955
alb,1997,65.6962
alb,1998,65.47292
alb,1999,66.94414
alb,2000,69.74921
alb,2001,68.75877
alb,2002,68.93435
alb,2003,68.61665
alb,2004,68.73718
alb,2005,69.00383
alb,2006,69.00345
alb,2007,70.41599
alb,2008,70.1891
alb,2009,70.17366
alb,2010,70.47071
alb,2011,70.33163
alb,2012,70.4364
alb,2013,61.11193
alb,2014,61.00122
alb,2015,61.16936
alb,2016,61.22156
alb,2017,61.39739
alb,2018,58.79759
alb,2019,54.60908
are,1975,10.88972
are,1976,10.82108
are,1977,10.66559
are,1978,10.7056
are,1979,10.84514
are,1980,8.72479
are,1981,8.81694
are,1982,8.72966
are,1983,8.62262
are,1984,13.79447
are,1985,13.46273
are,1986,13.58249
are,1987,13.81308
are,1988,13.74585
are,1989,13.73326
are,1990,13.75658
are,1991,13.64644
are,1992,13.85056
are,1993,13.90779
are,1994,19.38875
are,1995,19.09232
are,1996,19.18975
are,1997,19.25745
are,1998,19.30609
are,1999,19.68246
are,2000,19.31384
are,2001,19.3861
