country,time,wn_bothhouses_c
afg,1965,1.36
afg,1966,1.02
afg,1967,0.67
afg,1968,0.34
afg,1969,0
afg,1970,0.12
afg,1971,0.24
afg,1972,0.35
afg,1973,0.46
afg,1974,0.56
afg,1975,0.66
afg,1976,0.76
afg,1977,0.85
afg,1978,0.94
afg,1979,1.03
afg,1980,1.12
afg,1981,1.2
afg,1982,1.28
afg,1983,1.36
afg,1984,1.43
afg,1985,1.51
afg,1986,1.58
afg,1987,1.65
afg,1988,1.72
afg,1989,2.95
afg,1990,4.21
afg,1991,5.48
afg,1992,6.78
afg,1993,8.1
afg,1994,9.45
afg,1995,10.82
afg,1996,12.21
afg,1997,13.62
afg,1998,15.06
afg,1999,16.53
afg,2000,18.03
afg,2001,19.55
afg,2002,21.1
afg,2003,22.68
afg,2004,24.29
afg,2005,25.93
afg,2006,26.27
afg,2007,26.61
afg,2008,26.95
afg,2009,27.29
afg,2010,27.64
afg,2011,27.45
afg,2012,27.45
afg,2013,27.45
afg,2014,27.45
afg,2015,27.45
afg,2016,27.68
afg,2017,27.8
afg,2018,27.87
afg,2019,27.24
afg,2020,27.22
afg,2021,27.22
ago,1980,8.3
ago,1981,9.55
ago,1982,10.71
ago,1983,11.78
ago,1984,12.76
ago,1985,13.68
ago,1986,14.53
ago,1987,13.87
ago,1988,13.16
ago,1989,12.38
ago,1990,11.52
ago,1991,10.58
ago,1992,9.55
ago,1993,11.28
ago,1994,13.01
ago,1995,14.74
ago,1996,16.48
ago,1997,18.21
ago,1998,19.94
ago,1999,21.68
ago,2000,23.41
ago,2001,25.14
ago,2002,26.88
ago,2003,28.61
ago,2004,30.34
ago,2005,32.07
ago,2006,33.81
ago,2007,35.54
ago,2008,37.27
ago,2009,36.48
ago,2010,35.68
ago,2011,34.89
ago,2012,34.09
ago,2013,33.45
ago,2014,32.82
ago,2015,32.18
ago,2016,31.55
ago,2017,30.91
ago,2018,30.45
ago,2019,30
ago,2020,29.55
ago,2021,29.55
alb,1945,3.66
alb,1946,6.46
alb,1947,8.81
alb,1948,10.82
alb,1949,12.54
alb,1950,14.05
alb,1951,13.48
alb,1952,12.94
alb,1953,12.43
alb,1954,11.94
alb,1955,11.04
alb,1956,10.28
alb,1957,9.64
alb,1958,9.09
alb,1959,9.81
alb,1960,10.47
alb,1961,11.1
alb,1962,11.68
alb,1963,12.93
alb,1964,14.1
alb,1965,15.2
alb,1966,16.25
alb,1967,19.21
alb,1968,22.02
alb,1969,24.71
alb,1970,27.27
alb,1971,28.69
alb,1972,30.16
alb,1973,31.66
alb,1974,33.2
alb,1975,33
alb,1976,32.8
alb,1977,32.6
alb,1978,32.4
alb,1979,31.9
alb,1980,31.4
alb,1981,30.9
alb,1982,30.4
alb,1983,30.08
alb,1984,29.76
alb,1985,29.44
alb,1986,29.12
alb,1987,28.8
alb,1988,22.5
alb,1989,16.2
alb,1990,9.9
alb,1991,3.6
alb,1992,5.71
alb,1993,7.32
alb,1994,8.93
alb,1995,10.54
alb,1996,12.14
alb,1997,10.86
alb,1998,9.57
alb,1999,8.29
alb,2000,7
alb,2001,5.71
alb,2002,6.07
alb,2003,6.43
alb,2004,6.79
alb,2005,7.14
alb,2006,9.46
alb,2007,11.79
alb,2008,14.11
alb,2009,16.43
alb,2010,16.25
alb,2011,16.07
alb,2012,15.89
alb,2013,15.71
alb,2014,18.75
alb,2015,21.79
alb,2016,24.82
alb,2017,27.86
alb,2018,28.63
alb,2019,29.51
alb,2020,29.51
alb,2021,35.71
and,1993,3.57
and,1994,5.16
and,1995,6.43
and,1996,7.47
and,1997,8.33
and,1998,9.07
and,1999,9.69
and,2000,10.24
and,2001,10.71
and,2002,13.78
and,2003,17.86
and,2004,23.57
and,2005,32.14
and,2006,32.86
and,2007,33.33
and,2008,33.67
and,2009,33.93
and,2010,42.86
and,2011,51.79
and,2012,50
and,2013,47.62
and,2014,44.29
and,2015,39.29
and,2016,41.07
and,2017,42.86
and,2018,44.64
and,2019,46.43
and,2020,46.43
and,2021,46.43
are,1971,0
are,1972,0
are,1973,0
are,1974,0
are,1975,0
are,1976,0
are,1977,0
are,1978,0
are,1979,0
are,1980,0
are,1981,0
are,1982,0
are,1983,0
are,1984,0
are,1985,0
are,1986,0
are,1987,0
are,1988,0
are,1989,0
are,1990,0
are,1991,0
are,1992,0
are,1993,0
are,1994,0
are,1995,0
are,1996,0
are,1997,0
are,1998,0
are,1999,0
are,2000,0
are,2001,0
are,2002,0
are,2003,0
are,2004,1
are,2005,2.5
are,2006,5
are,2007,5
are,2008,5
are,2009,5
are,2010,5
are,2011,5
are,2012,17.5
are,2013,19.17
are,2014,20.83
are,2015,22.5
are,2016,29.38
are,2017,36.25
are,2018,43.13
are,2019,50
are,2020,50
are,2021,50
arg,1946,0
arg,1947,0
arg,1948,0
arg,1949,5.99
arg,1950,11.36
arg,1951,16.22
arg,1952,17.52
arg,1953,18.82
arg,1954,20.11
arg,1955,21.39
arg,1956,14
arg,1957,7.51
arg,1958,1.77
arg,1959,1.44
arg,1960,1.05
arg,1961,0.81
arg,1962,0.6
arg,1963,0.42
arg,1964,1.16
arg,1965,2.08
arg,1966,3.02
arg,1967,3.83
arg,1968,4.54
arg,1969,5.16
arg,1970,5.71
arg,1971,6.21
arg,1972,6.65
arg,1973,7.05
arg,1974,6.79
arg,1975,6.52
arg,1976,6.26
arg,1977,5.99
arg,1978,5.72
arg,1979,5.45
arg,1980,5.17
arg,1981,4.89
arg,1982,4.61
arg,1983,4.33
arg,1984,4.15
arg,1985,3.94
arg,1986,6.52
arg,1987,4.72
arg,1988,5.78
arg,1989,6.67
arg,1990,6.28
arg,1991,5.84
arg,1992,14.4
arg,1993,8.7
arg,1994,18.93
arg,1995,20.36
arg,1996,23.55
arg,1997,27.63
arg,1998,24.06
arg,1999,21.28
arg,2000,26.29
arg,2001,31.31
arg,2002,32.83
arg,2003,34.35
arg,2004,35.87
arg,2005,37.39
arg,2006,38.57
arg,2007,39.76
arg,2008,39.43
arg,2009,39.27
arg,2010,38.74
