global,time,num_countries_fhos
world,1953,1
world,1954,1
world,1955,1
world,1956,1
world,1957,1
world,1958,1
world,1959,1
world,1960,2
world,1961,2
world,1962,2
world,1963,2
world,1964,2
world,1965,2
world,1966,3
world,1967,3
world,1968,4
world,1969,5
world,1970,5
world,1971,5
world,1972,5
world,1973,5
world,1974,6
world,1975,7
world,1976,7
world,1977,7
world,1978,7
world,1979,10
world,1980,12
world,1981,13
world,1982,14
world,1983,14
world,1984,15
world,1985,15
world,1986,16
world,1987,16
world,1988,17
world,1989,17
world,1990,21
world,1991,23
world,1992,24
world,1993,28
world,1994,29
world,1995,29
world,1996,30
world,1997,33
world,1998,33
world,1999,35
world,2000,36
world,2001,38
world,2002,39
world,2003,40
world,2004,41
world,2005,43
world,2006,45
world,2007,45
world,2008,47
world,2009,50
world,2010,55
world,2011,59
world,2012,62
world,2013,64
world,2014,64
world,2015,66
world,2016,69
world,2017,70
world,2018,73
world,2019,74
