country,time,compt_plastic_wst
ago,2008,13.5
alb,2015,9.6
and,2005,11.3
are,2011,19
arg,2015,14.61
arm,2015,11.4
atg,2015,13
aus,2011,7.61
aut,2013,11.1
aze,2015,7.87
bdi,2005,3.5
bel,2014,13.94
ben,2002,7.3
bfa,2016,9
bgd,2012,4.67
bgr,2014,12.15
bhr,2016,7.4
bhs,2015,13
blr,2016,12
blz,2011,19
bol,2010,10.19305
bra,2010,13.5
brb,2013,17.1
brn,2005,16
btn,2012,13
can,2004,3
che,2002,15
chl,2009,9.4
chn,2014,9.8
cmr,2008,3.3
col,2011,12.83
com,2003,5
cri,2014,11
cub,2005,9.6
cyp,2014,14.77
cze,2012,2.2
deu,2006,13
dma,2002,16
dnk,2015,1.61
dom,2013,10
dza,2016,16.9
ecu,2014,11.44
egy,2013,13
esp,2012,9
est,2013,18.6
eth,1995,2.3
fin,2010,1.45
fji,2011,7.5
fra,2002,9
fsm,2011,26.17
gbr,2011,20.2
geo,2007,3
gha,2015,4
gin,2007,4
grc,2006,14
grd,2009,16.4
gtm,2013,17.29081
guy,2010,14.2
hkg,2016,21
hnd,2016,14.41
hrv,2013,22.9
hti,2016,12.7
hun,2015,13
idn,2012,14
irl,2012,12.4
irn,2007,8.5
irq,2009,5.29
isl,2013,9
isr,2012,18
ita,2013,11.6
jam,2013,12.2
jor,2014,16
jpn,2015,11
kaz,2015,25
ken,1998,18.7
khm,2010,8.6
kir,2016,16.5
kna,2002,23.2
kor,2013,24.3
kwt,2014,20
lao,2015,6.1
lbn,2014,11.5
lby,2010,7.5
lca,2008,22
lie,2012,5.4
lka,2015,7
ltu,2010,10.15
lux,2014,18
lva,2011,7.7
mar,2014,8
mco,2012,1
mda,2014,10
mdv,2016,3
mex,2012,10.9
mhl,2012,13
mkd,2015,13.9
mli,1995,2
mlt,2012,12
mne,2013,18.42
mng,2016,14.5
mrt,2009,20
mus,2016,12.4
mys,2014,15
ner,2005,2
nga,2000,4.8
nld,2013,14
nor,2010,2.25
npl,2017,15.14
nru,2016,16.5
nzl,2008,8
omn,2013,21
pak,2017,9
pan,2002,12
per,2013,10.52
phl,2013,10.55
plw,2014,32
png,2014,10
pol,2010,12.13
prt,2015,10.72
pse,2012,14.2
qat,2016,14
rou,2014,12.33
rus,2013,14.21
sau,2015,11
sdn,2011,12.7
sen,2016,9
sgp,2017,10.58
slb,2011,22.35
slv,2011,10
smr,2016,5.6
srb,2012,12.73
sur,2002,11
svk,2013,11
swe,2014,6.58
syc,2003,9.9
syr,2010,7
tcd,2006,6
tgo,2012,10
tha,2012,17.59
tkm,2000,2.19
tls,2014,16.5
ton,2012,13.4
tto,2010,19.17
tun,2014,11
tur,1993,3
tuv,2016,16.5
twn,2002,20.23
uga,2006,7.6
ukr,2011,7
ury,2003,11
usa,2014,12.9
uzb,2006,2.5
vct,2002,8.4
vnm,2010,12.15
vut,2011,6.45
wsm,2011,13
yem,2016,10
zaf,2006,7.0901
zwe,2015,23
