country,time,immigrant_n
afg,1990,57686
afg,1995,71522
afg,2000,75917
afg,2005,87314
afg,2010,102276
afg,2015,339432
afg,2020,144098
ago,1990,33517
ago,1995,39813
ago,2000,46108
ago,2005,62331
ago,2010,336367
ago,2015,632178
ago,2020,656434
alb,1990,66013
alb,1995,71354
alb,2000,76695
alb,2005,64739
alb,2010,52784
alb,2015,52031
alb,2020,48810
and,1990,38891
and,1995,44206
and,2000,42147
and,2005,50298
and,2010,52053
and,2015,42264
and,2020,45574
are,1990,1306574
are,1995,1824118
are,2000,2447010
are,2005,3281115
are,2010,7316697
are,2015,7995126
are,2020,8716332
arg,1990,1649919
arg,1995,1595069
arg,2000,1540219
arg,2005,1674163
arg,2010,1805957
arg,2015,2086301
arg,2020,2281728
arm,1990,658789
arm,1995,693999
arm,2000,657900
arm,2005,469189
arm,2010,211147
arm,2015,191199
arm,2020,190349
atg,1990,12029
atg,1995,17550
atg,2000,23071
atg,2005,24741
atg,2010,26412
atg,2015,28082
atg,2020,29386
aus,1990,3955213
aus,1995,4153330
aus,2000,4386250
aus,2005,4878030
aus,2010,5882980
aus,2015,6729730
aus,2020,7685860
aut,1990,793239
aut,1995,894893
aut,2000,996547
aut,2005,1127164
aut,2010,1274901
aut,2015,1483123
aut,2020,1738183
aze,1990,360600
aze,1995,344070
aze,2000,327540
aze,2005,301834
aze,2010,276901
aze,2015,264359
aze,2020,252228
bdi,1990,333110
bdi,1995,254853
bdi,2000,125628
bdi,2005,192774
bdi,2010,247321
bdi,2015,298299
bdi,2020,344767
bel,1990,1280583
bel,1995,1288003
bel,2000,1268368
bel,2005,1248733
bel,2010,1503806
bel,2015,1783488
bel,2020,2005479
ben,1990,76751
ben,1995,105703
ben,2000,134655
ben,2005,248320
ben,2010,309225
ben,2015,366284
ben,2020,394276
bfa,1990,349652
bfa,1995,464104
bfa,2000,520363
bfa,2005,597658
bfa,2010,674438
bfa,2015,704676
bfa,2020,723989
bgd,1990,881617
bgd,1995,934735
bgd,2000,987853
bgd,2005,1062270
bgd,2010,1345546
bgd,2015,1422179
bgd,2020,2115408
bgr,1990,21510
bgr,1995,32435
bgr,2000,43360
bgr,2005,61074
bgr,2010,76287
bgr,2015,123803
bgr,2020,184363
bhr,1990,173212
bhr,1995,205979
bhr,2000,239361
bhr,2005,404018
bhr,2010,666406
bhr,2015,722487
bhr,2020,936094
bhs,1990,26855
bhs,1995,31654
bhs,2000,36454
bhs,2005,45531
bhs,2010,54745
bhs,2015,59241
bhs,2020,63583
bih,1990,56000
bih,1995,69476
bih,2000,82952
bih,2005,47287
bih,2010,38945
bih,2015,38597
bih,2020,36042
blr,1990,1248977
blr,1995,1186282
blr,2000,1123586
blr,2005,1106982
blr,2010,1090378
blr,2015,1082905
blr,2020,1067090
blz,1990,30404
blz,1995,33446
blz,2000,36488
blz,2005,41438
blz,2010,46390
blz,2015,54615
blz,2020,62043
bol,1990,73758
bol,1995,83598
bol,2000,92658
bol,2005,107745
bol,2010,122846
bol,2015,143008
bol,2020,164121
bra,1990,798517
bra,1995,741557
bra,2000,684596
bra,2005,638582
bra,2010,592640
bra,2015,710304
bra,2020,1079708
brb,1990,24024
brb,1995,26224
brb,2000,28424
brb,2005,30624
brb,2010,32825
brb,2015,34475
brb,2020,34869
brn,1990,73200
brn,1995,84748
brn,2000,96296
brn,2005,98441
brn,2010,100587
brn,2015,102733
brn,2020,111959
btn,1990,23807
btn,1995,27972
btn,2000,32137
btn,2005,40279
btn,2010,48420
btn,2015,51106
btn,2020,53612
bwa,1990,27510
bwa,1995,40168
bwa,2000,74934
bwa,2005,84661
bwa,2010,94863
bwa,2015,103053
bwa,2020,110268
caf,1990,67234
caf,1995,99712
caf,2000,123529
caf,2005,96409
caf,2010,94685
caf,2015,81568
caf,2020,88546
can,1990,4333318
can,1995,4864778
can,2000,5511914
can,2005,6078985
can,2010,6761226
can,2015,7428657
can,2020,8049323
che,1990,1392282
che,1995,1478829
che,2000,1570756
che,2005,1805437
che,2010,2075182
che,2015,2258196
che,2020,2491249
chl,1990,107501
chl,1995,142417
chl,2000,177332
chl,2005,276360
chl,2010,375388
chl,2015,639724
chl,2020,1645015
chn,1990,376361
chn,1995,442198
chn,2000,508034
chn,2005,678947
chn,2010,849861
chn,2015,978046
chn,2020,1039675
civ,1990,1816426
civ,1995,2076394
civ,2000,2163644
civ,2005,2265090
civ,2010,2366537
civ,2015,2470613
civ,2020,2564857
cmr,1990,265967
cmr,1995,244791
cmr,2000,227242
cmr,2005,265503
cmr,2010,291474
cmr,2015,508346
cmr,2020,579209
cod,1990,754194
cod,1995,1816963
cod,2000,744387
cod,2005,623009
cod,2010,589882
cod,2015,810018
cod,2020,952871
cog,1990,129391
cog,1995,191635
cog,2000,305880
cog,2005,318724
cog,2010,425173
cog,2015,390142
cog,2020,387606
col,1990,104277
col,1995,106943
col,2000,109609
col,2005,106523
col,2010,130309
col,2015,159407
col,2020,1905393
com,1990,14079
com,1995,13939
com,2000,13799
com,2005,13209
com,2010,12618
com,2015,12555
com,2020,12496
cpv,1990,8931
cpv,1995,9979
cpv,2000,11027
cpv,2005,12700
cpv,2010,14373
cpv,2015,14924
cpv,2020,15788
cri,1990,417628
cri,1995,364287
cri,2000,310946
cri,2005,358398
cri,2010,405779
cri,2015,411697
cri,2020,520729
cub,1990,34555
cub,1995,26187
cub,2000,18545
cub,2005,11693
cub,2010,7373
cub,2015,4649
cub,2020,3024
cyp,1990,43805
cyp,1995,61941
cyp,2000,80076
cyp,2005,122849
cyp,2010,188472
cyp,2015,176693
cyp,2020,190366
cze,1990,110394
cze,1995,165592
cze,2000,220789
cze,2005,322540
cze,2010,398493
cze,2015,416454
cze,2020,540921
deu,1990,5936181
deu,1995,7464406
deu,2000,8992631
