world_4region,time,percit_500k_1m
africa,1950,1.41
africa,1955,1.51
africa,1960,2.28
africa,1965,1.6
africa,1970,2.24
africa,1975,3.22
africa,1980,2.55
africa,1985,2.95
africa,1990,3.25
africa,1995,3.59
africa,2000,2.9
africa,2005,2.89
africa,2010,3.76
africa,2015,3.58
africa,2020,3.93
africa,2025,4.18
africa,2030,4.54
africa,2035,4.77
americas,1950,4.23
americas,1955,5.7
americas,1960,4.75
americas,1965,5.5
americas,1970,5.88
americas,1975,6.34
americas,1980,6.2
americas,1985,6.84
americas,1990,6.88
americas,1995,7.12
americas,2000,7.74
americas,2005,7.72
americas,2010,7.53
americas,2015,7.23
americas,2020,7.91
americas,2025,7.5
americas,2030,7.25
americas,2035,6.99
asia,1950,1.24
asia,1955,1.26
asia,1960,1.45
asia,1965,1.63
asia,1970,1.99
asia,1975,2.25
asia,1980,2.71
asia,1985,2.65
asia,1990,2.58
asia,1995,2.89
asia,2000,3.42
asia,2005,4.09
asia,2010,4.4
asia,2015,4.71
asia,2020,5.09
asia,2025,5.18
asia,2030,5.47
asia,2035,5.71
europe,1950,5.67
europe,1955,6.62
europe,1960,6.41
europe,1965,6.42
europe,1970,7.03
europe,1975,7.3
europe,1980,6.57
europe,1985,6.98
europe,1990,7.05
europe,1995,6.93
europe,2000,6.87
europe,2005,7.34
europe,2010,7.51
europe,2015,7.49
europe,2020,7.59
europe,2025,7.71
europe,2030,8.09
europe,2035,8.42
