world_4region,time,matfootp_cap
africa,1990,3.17
africa,1991,3.73
africa,1992,3.02
africa,1993,3.05
africa,1994,2.93
africa,1995,2.86
africa,1996,2.88
africa,1997,2.87
africa,1998,2.86
africa,1999,2.75
africa,2000,2.61
africa,2001,2.61
africa,2002,2.6
africa,2003,2.66
africa,2004,2.7
africa,2005,2.83
africa,2006,2.85
africa,2007,2.87
africa,2008,3.05
africa,2009,3.04
africa,2010,3.15
africa,2011,3.06
africa,2012,3.08
africa,2013,3.11
africa,2014,3.13
africa,2015,3.13
africa,2016,3.14
africa,2017,3.15
americas,1990,16.17
americas,1991,15.98
americas,1992,16.25
americas,1993,15.73
americas,1994,16.85
americas,1995,17.04
americas,1996,17.34
americas,1997,18.3
americas,1998,19.33
americas,1999,19.08
americas,2000,19.43
americas,2001,19.04
americas,2002,18.67
americas,2003,18.68
americas,2004,19.59
americas,2005,20.45
americas,2006,20.64
americas,2007,20.45
americas,2008,19.66
americas,2009,17.81
americas,2010,18.84
americas,2011,19.14
americas,2012,19.05
americas,2013,19.38
americas,2014,19.46
americas,2015,19.5
americas,2016,19.83
americas,2017,19.94
asia,1990,5.07
asia,1991,5.62
asia,1992,5.95
asia,1993,6.12
asia,1994,6.28
asia,1995,6.45
asia,1996,6.65
asia,1997,6.58
asia,1998,6.39
asia,1999,6.49
asia,2000,6.5
asia,2001,6.71
asia,2002,6.73
asia,2003,7.18
asia,2004,7.46
asia,2005,7.68
asia,2006,8.06
asia,2007,8.53
asia,2008,8.81
asia,2009,9.48
asia,2010,10.09
asia,2011,10.74
asia,2012,10.88
asia,2013,11.16
asia,2014,11.22
asia,2015,11.42
asia,2016,11.56
asia,2017,11.81
europe,1990,10.98
europe,1991,13.37
europe,1992,13.95
europe,1993,13.2
europe,1994,12.94
europe,1995,13.4
europe,1996,13.12
europe,1997,13.29
europe,1998,13.89
europe,1999,14.19
europe,2000,14.7
europe,2001,14.69
europe,2002,15.17
europe,2003,15.9
europe,2004,16.97
europe,2005,17.46
europe,2006,18.23
europe,2007,19.05
europe,2008,18.94
europe,2009,17.32
europe,2010,17.45
europe,2011,17.9
europe,2012,17.73
europe,2013,18.01
europe,2014,18.23
europe,2015,18.52
europe,2016,18.72
europe,2017,19.02
