global,time,nc_sexhw_pc
world,1970,1.1
world,1971,1.1
world,1972,1.1
world,1973,1.1
world,1974,1.1
world,1975,1.1
world,1976,1.1
world,1977,1.1
world,1978,1.1
world,1979,1.1
world,1980,1.1
world,1981,1.6
world,1982,2
world,1983,2
world,1984,2
world,1985,3
world,1986,3
world,1987,3
world,1988,4
world,1989,4
world,1990,4
world,1991,4
world,1992,5
world,1993,7
world,1994,7
world,1995,8
world,1996,11
world,1997,13
world,1998,15
world,1999,20
world,2000,22
world,2001,23
world,2002,26
world,2003,31
world,2004,36
world,2005,40
world,2006,45
world,2007,50
world,2008,53
world,2009,56
world,2010,57
world,2011,57
world,2012,60
world,2013,63
world,2014,64
world,2015,66
world,2016,69
world,2017,71
world,2018,72
world,2019,74
world,2020,74
