country,time,mmr_who
afg,2000,1450
afg,2001,1390
afg,2002,1300
afg,2003,1240
afg,2004,1180
afg,2005,1140
afg,2006,1120
afg,2007,1090
afg,2008,1030
afg,2009,993
afg,2010,954
afg,2011,905
afg,2012,858
afg,2013,810
afg,2014,786
afg,2015,701
afg,2016,673
afg,2017,638
ago,2000,827
ago,2001,766
ago,2002,690
ago,2003,628
ago,2004,574
ago,2005,519
ago,2006,473
ago,2007,431
ago,2008,395
ago,2009,359
ago,2010,326
ago,2011,300
ago,2012,281
ago,2013,269
ago,2014,258
ago,2015,251
ago,2016,246
ago,2017,241
alb,2000,23
alb,2001,23
alb,2002,21
alb,2003,21
alb,2004,18
alb,2005,22
alb,2006,18
alb,2007,19
alb,2008,20
alb,2009,20
alb,2010,21
alb,2011,22
alb,2012,17
alb,2013,16
alb,2014,16
alb,2015,15
alb,2016,16
alb,2017,15
are,2000,6
are,2001,6
are,2002,5
are,2003,5
are,2004,5
are,2005,5
are,2006,4
are,2007,4
are,2008,4
are,2009,4
are,2010,4
are,2011,4
are,2012,4
are,2013,3
are,2014,3
are,2015,3
are,2016,3
are,2017,3
arg,2000,66
arg,2001,67
arg,2002,65
arg,2003,65
arg,2004,61
arg,2005,59
arg,2006,57
arg,2007,56
arg,2008,53
arg,2009,56
arg,2010,51
arg,2011,48
arg,2012,47
arg,2013,44
arg,2014,42
arg,2015,41
arg,2016,40
arg,2017,39
arm,2000,43
arm,2001,42
arm,2002,39
arm,2003,38
arm,2004,36
arm,2005,35
arm,2006,36
arm,2007,32
arm,2008,36
arm,2009,32
arm,2010,32
arm,2011,30
arm,2012,30
arm,2013,26
arm,2014,27
arm,2015,28
arm,2016,26
arm,2017,26
atg,2000,44
atg,2001,44
atg,2002,43
atg,2003,44
atg,2004,41
atg,2005,40
atg,2006,46
atg,2007,48
atg,2008,50
atg,2009,45
atg,2010,44
atg,2011,43
atg,2012,44
atg,2013,43
atg,2014,42
atg,2015,43
atg,2016,43
atg,2017,42
aus,2000,7
aus,2001,6
aus,2002,6
aus,2003,6
aus,2004,5
aus,2005,5
aus,2006,5
aus,2007,5
aus,2008,5
aus,2009,5
aus,2010,5
aus,2011,6
aus,2012,6
aus,2013,6
aus,2014,6
aus,2015,6
aus,2016,6
aus,2017,6
aut,2000,6
aut,2001,6
aut,2002,6
aut,2003,6
aut,2004,5
aut,2005,6
aut,2006,5
aut,2007,5
aut,2008,5
aut,2009,5
aut,2010,5
aut,2011,5
aut,2012,5
aut,2013,5
aut,2014,5
aut,2015,5
