country,time,journakilled
afg,1994,1
afg,1995,0
afg,1996,0
afg,1997,0
afg,1998,1
afg,1999,0
afg,2000,0
afg,2001,9
afg,2002,0
afg,2003,0
afg,2004,0
afg,2005,0
afg,2006,3
afg,2007,2
afg,2008,2
afg,2009,2
afg,2010,2
afg,2011,2
afg,2012,0
afg,2013,0
afg,2014,3
afg,2015,0
afg,2016,4
afg,2017,4
afg,2018,13
afg,2019,0
afg,2020,5
ago,1992,1
ago,1993,3
ago,1994,1
ago,1995,1
ago,1996,1
ago,1997,0
ago,1998,1
ago,1999,0
ago,2000,0
ago,2001,0
ago,2002,0
ago,2003,0
ago,2004,0
ago,2005,0
ago,2006,0
ago,2007,0
ago,2008,0
ago,2009,0
ago,2010,2
arg,1997,1
arg,1998,0
arg,1999,1
aze,1992,1
aze,1993,0
aze,1994,0
aze,1995,1
aze,1996,0
aze,1997,0
aze,1998,0
aze,1999,0
aze,2000,0
aze,2001,0
aze,2002,0
aze,2003,0
aze,2004,0
aze,2005,1
aze,2006,0
aze,2007,0
aze,2008,0
aze,2009,1
aze,2010,0
aze,2011,1
bdi,1994,1
bdi,1995,1
bfa,1998,1
bgd,1996,1
bgd,1997,0
bgd,1998,1
bgd,1999,0
bgd,2000,2
bgd,2001,1
bgd,2002,2
bgd,2003,0
bgd,2004,3
bgd,2005,2
bgd,2006,0
bgd,2007,0
bgd,2008,0
bgd,2009,0
bgd,2010,0
bgd,2011,0
bgd,2012,1
bgd,2013,1
bgd,2014,1
bgd,2015,5
bgd,2016,0
bgd,2017,1
bgd,2018,0
bgd,2019,0
bgd,2020,1
bhr,2011,2
bhr,2012,1
bih,1992,8
bih,1993,5
bih,1994,6
blr,2003,1
blr,2004,0
blr,2005,0
blr,2006,0
blr,2007,0
blr,2008,0
blr,2009,0
blr,2010,1
bol,2001,1
bol,2002,0
bol,2003,0
bol,2004,0
bol,2005,0
bol,2006,0
bol,2007,0
bol,2008,1
bra,1994,1
bra,1995,4
bra,1996,0
bra,1997,1
bra,1998,2
bra,1999,0
bra,2000,1
bra,2001,0
bra,2002,2
bra,2003,2
bra,2004,2
bra,2005,1
bra,2006,0
bra,2007,1
bra,2008,0
bra,2009,0
bra,2010,1
bra,2011,3
bra,2012,4
bra,2013,4
bra,2014,3
bra,2015,6
bra,2016,1
bra,2017,1
bra,2018,2
brb,2020,1
caf,2014,1
caf,2015,0
caf,2016,0
caf,2017,0
caf,2018,3
can,1995,1
can,1996,0
can,1997,0
can,1998,1
chn,2001,1
chn,2002,0
chn,2003,0
chn,2004,0
chn,2005,0
chn,2006,1
civ,2003,1
civ,2004,1
civ,2005,0
civ,2006,0
civ,2007,0
civ,2008,0
civ,2009,0
civ,2010,0
civ,2011,1
cmr,2010,1
cmr,2011,0
cmr,2012,0
cmr,2013,0
cmr,2014,0
cmr,2015,0
cmr,2016,0
cmr,2017,0
cmr,2018,0
cmr,2019,1
cod,1994,2
cod,1995,0
cod,1996,0
cod,1997,0
cod,1998,0
cod,1999,0
cod,2000,0
cod,2001,0
cod,2002,0
cod,2003,0
cod,2004,0
cod,2005,0
cod,2006,0
cod,2007,1
cod,2008,0
cod,2009,0
cod,2010,0
cod,2011,0
cod,2012,0
cod,2013,0
cod,2014,1
cod,2015,1
cog,1998,1
col,1992,1
col,1993,4
col,1994,1
col,1995,3
col,1996,1
col,1997,4
col,1998,4
col,1999,5
col,2000,3
col,2001,3
col,2002,3
col,2003,5
col,2004,1
col,2005,2
col,2006,2
col,2007,0
col,2008,0
col,2009,1
col,2010,1
col,2011,0
col,2012,1
col,2013,1
col,2014,0
col,2015,2
col,2016,0
col,2017,1
