country,time,prenforct_idea
afg,1975,43.35905
afg,1976,43.35905
afg,1977,43.35905
afg,1978,28.14067
afg,1979,26.30171
afg,1980,26.59058
afg,1981,32.27841
afg,1982,32.27841
afg,1983,32.27841
afg,1984,32.27841
afg,1985,32.27841
afg,1986,32.27841
afg,1987,32.27841
afg,1988,32.27841
afg,1989,32.27841
afg,1990,30.58961
afg,1991,21.7431
afg,1992,15.26743
afg,1993,15.26743
afg,1994,15.26743
afg,1995,15.26743
afg,1996,15.26743
afg,1997,17.86359
afg,1998,17.86359
afg,1999,17.86359
afg,2000,17.86359
afg,2001,21.2586
afg,2002,42.0238
afg,2003,39.69881
afg,2004,39.69881
afg,2005,39.69881
afg,2006,39.69881
afg,2007,39.69881
afg,2008,40.3613
afg,2009,40.3613
afg,2010,41.44998
afg,2011,41.44998
afg,2012,41.44998
afg,2013,36.93114
afg,2014,37.58957
afg,2015,40.22764
afg,2016,37.40713
afg,2017,38.65453
afg,2018,39.64216
afg,2019,34.24407
ago,1975,30.09918
ago,1976,28.75678
ago,1977,28.75678
ago,1978,28.75678
ago,1979,27.29357
ago,1980,28.05145
ago,1981,28.05145
ago,1982,28.05145
ago,1983,28.05145
ago,1984,29.56176
ago,1985,29.56176
ago,1986,29.56176
ago,1987,29.56176
ago,1988,29.56176
ago,1989,29.56176
ago,1990,32.99768
ago,1991,35.96108
ago,1992,34.13303
ago,1993,32.26131
ago,1994,32.26131
ago,1995,32.26131
ago,1996,34.34337
ago,1997,32.26131
ago,1998,30.9992
ago,1999,32.26131
ago,2000,32.26131
ago,2001,32.26131
ago,2002,32.26131
ago,2003,34.30591
ago,2004,34.30591
ago,2005,34.30591
ago,2006,34.30591
ago,2007,34.30591
ago,2008,34.30591
ago,2009,35.20912
ago,2010,36.11063
ago,2011,36.11063
ago,2012,36.11063
ago,2013,34.60387
ago,2014,34.60387
ago,2015,34.60387
ago,2016,34.60387
ago,2017,39.7642
ago,2018,41.55272
ago,2019,39.90066
alb,1975,24.45703
alb,1976,24.45703
alb,1977,24.45703
alb,1978,24.45703
alb,1979,24.45703
alb,1980,24.45703
alb,1981,24.45703
alb,1982,24.45703
alb,1983,24.45703
alb,1984,24.83822
alb,1985,24.83822
alb,1986,26.34386
alb,1987,26.34386
alb,1988,26.34386
alb,1989,26.34386
alb,1990,27.845
alb,1991,42.4599
alb,1992,43.35901
alb,1993,43.35901
alb,1994,43.35901
alb,1995,43.35901
alb,1996,43.35901
alb,1997,43.35901
alb,1998,44.18628
alb,1999,44.92862
alb,2000,44.34283
alb,2001,49.77045
alb,2002,50.71502
alb,2003,51.99668
alb,2004,51.99668
alb,2005,51.99668
alb,2006,51.99668
alb,2007,51.99668
alb,2008,51.99668
alb,2009,52.92774
alb,2010,53.58395
alb,2011,53.9626
alb,2012,53.9626
alb,2013,57.46687
alb,2014,55.94663
alb,2015,55.94663
alb,2016,55.94663
alb,2017,56.12659
alb,2018,55.33958
alb,2019,55.04076
are,1975,42.90493
are,1976,43.40673
are,1977,43.40673
are,1978,43.40673
are,1979,47.1152
are,1980,47.1152
are,1981,47.1152
are,1982,47.1152
are,1983,47.1152
are,1984,47.40892
are,1985,49.40606
are,1986,49.40606
are,1987,49.40606
are,1988,49.40606
are,1989,49.40606
are,1990,50.7554
are,1991,50.7554
are,1992,50.7554
are,1993,50.7554
are,1994,57.06067
are,1995,57.06067
are,1996,58.41391
are,1997,58.41391
are,1998,61.02384
are,1999,61.02384
are,2000,64.94994
are,2001,65.97437
are,2002,65.97437
are,2003,62.75203
are,2004,64.04005
are,2005,64.87377
are,2006,69.62867
are,2007,71.11019
are,2008,71.11019
are,2009,71.11019
are,2010,71.11019
are,2011,69.43058
are,2012,71.11019
are,2013,69.62867
are,2014,71.11019
are,2015,71.11019
are,2016,69.62867
are,2017,69.62867
are,2018,69.62867
are,2019,66.32196
