country,time,fexpression_idea
afg,1975,30.56365
afg,1976,30.56365
afg,1977,30.56365
afg,1978,21.32694
afg,1979,18.43314
afg,1980,18.43314
afg,1981,20.61668
afg,1982,20.11525
afg,1983,20.61668
afg,1984,20.61668
afg,1985,20.61668
afg,1986,20.61668
afg,1987,20.61668
afg,1988,20.07561
afg,1989,20.07561
afg,1990,18.68749
afg,1991,18.02187
afg,1992,19.20304
afg,1993,17.40473
afg,1994,17.40473
afg,1995,17.40473
afg,1996,11.52927
afg,1997,7.6668
afg,1998,5.94597
afg,1999,7.6668
afg,2000,5.94597
afg,2001,11.43472
afg,2002,45.01898
afg,2003,46.5682
afg,2004,46.08625
afg,2005,46.34479
afg,2006,46.85776
afg,2007,47.83493
afg,2008,47.83493
afg,2009,47.83493
afg,2010,48.35216
afg,2011,48.96009
afg,2012,48.96009
afg,2013,46.59806
afg,2014,46.59806
afg,2015,46.59806
afg,2016,43.37964
afg,2017,44.5155
afg,2018,48.61193
afg,2019,41.72755
ago,1975,15.96073
ago,1976,16.5063
ago,1977,16.5063
ago,1978,16.5063
ago,1979,16.5063
ago,1980,16.5063
ago,1981,16.38793
ago,1982,16.38793
ago,1983,16.38793
ago,1984,16.38793
ago,1985,16.38793
ago,1986,17.59991
ago,1987,17.59991
ago,1988,17.59991
ago,1989,17.59991
ago,1990,21.73211
ago,1991,23.42169
ago,1992,30.05886
ago,1993,30.65935
ago,1994,29.79189
ago,1995,28.15719
ago,1996,29.79189
ago,1997,29.79189
ago,1998,29.79189
ago,1999,29.79189
ago,2000,29.79189
ago,2001,30.86486
ago,2002,34.42261
ago,2003,37.8586
ago,2004,38.40422
ago,2005,41.28232
ago,2006,42.45616
ago,2007,41.28232
ago,2008,41.47179
ago,2009,42.06822
ago,2010,41.47179
ago,2011,42.06822
ago,2012,42.06822
ago,2013,41.58859
ago,2014,41.58859
ago,2015,41.58859
ago,2016,41.58859
ago,2017,41.7709
ago,2018,46.09553
ago,2019,48.1578
alb,1975,0.14222
alb,1976,0.14222
alb,1977,0.14222
alb,1978,0.14222
alb,1979,0.14222
alb,1980,0.14222
alb,1981,0
alb,1982,0
alb,1983,0
alb,1984,3.33467
alb,1985,0
alb,1986,0
alb,1987,3.33467
alb,1988,0
alb,1989,0
alb,1990,18.56538
alb,1991,54.53956
alb,1992,59.0615
alb,1993,56.69083
alb,1994,56.69083
alb,1995,59.24927
alb,1996,58.90921
alb,1997,60.45117
alb,1998,61.09418
alb,1999,61.91673
alb,2000,63.62727
alb,2001,61.87152
alb,2002,62.39199
alb,2003,62.39199
alb,2004,62.39199
alb,2005,63.19752
alb,2006,62.80934
alb,2007,63.38431
alb,2008,64.0744
alb,2009,63.38431
alb,2010,64.40646
alb,2011,64.40646
alb,2012,64.40646
alb,2013,56.52544
alb,2014,56.94538
alb,2015,56.94538
alb,2016,56.94538
alb,2017,61.43372
alb,2018,54.67393
alb,2019,52.96443
are,1975,29.3426
are,1976,31.59171
are,1977,34.27208
are,1978,34.27208
are,1979,34.27208
are,1980,32.38385
are,1981,33.06956
are,1982,33.06956
are,1983,33.06956
are,1984,32.25298
are,1985,34.46071
are,1986,34.46071
are,1987,35.88251
are,1988,35.88251
are,1989,34.82949
are,1990,35.88251
are,1991,36.68523
are,1992,36.68523
are,1993,36.68523
are,1994,34.22999
are,1995,34.96252
are,1996,35.66897
are,1997,34.96252
are,1998,37.03545
are,1999,37.03545
are,2000,36.1769
are,2001,37.03545
are,2002,33.32356
are,2003,32.58093
are,2004,31.49068
are,2005,32.2161
are,2006,33.11091
are,2007,33.11091
are,2008,33.83106
are,2009,33.83106
are,2010,35.15324
are,2011,31.62521
are,2012,33.06507
are,2013,33.35023
are,2014,34.41079
are,2015,35.60545
are,2016,33.8005
are,2017,29.43797
are,2018,30.32557
are,2019,28.89864
arg,1975,46.29782
arg,1976,21.24581
arg,1977,9.83153
arg,1978,9.83153
arg,1979,9.83153
arg,1980,9.83153
arg,1981,10.90642
arg,1982,14.88053
arg,1983,29.61365
arg,1984,75.21711
arg,1985,75.95388
arg,1986,75.95388
arg,1987,75.99673
arg,1988,76.66654
arg,1989,76.43232
arg,1990,75.87115
arg,1991,76.90208
arg,1992,75.03246
arg,1993,74.13095
arg,1994,74.60304
arg,1995,75.82068
arg,1996,74.49659
arg,1997,74.49659
arg,1998,74.49659
arg,1999,74.49659
arg,2000,76.83894
arg,2001,76.83894
arg,2002,76.58937
arg,2003,74.14531
arg,2004,75.367
arg,2005,75.47762
arg,2006,75.47762
arg,2007,74.3149
arg,2008,73.32148
arg,2009,72.55534
arg,2010,72.34851
arg,2011,72.34851
arg,2012,72.34851
arg,2013,71.87729
arg,2014,72.59408
arg,2015,71.73033
arg,2016,78.67849
arg,2017,77.14001
arg,2018,75.92598
arg,2019,71.38914
arm,1991,59.50332
arm,1992,59.44875
arm,1993,58.86812
arm,1994,54.95338
arm,1995,54.68369
arm,1996,54.2308
arm,1997,56.05434
arm,1998,54.91177
arm,1999,55.26609
arm,2000,54.62426
arm,2001,54.62426
arm,2002,54.62426
arm,2003,54.62426
arm,2004,52.5478
arm,2005,52.5478
arm,2006,52.5478
arm,2007,51.69977
arm,2008,48.14245
arm,2009,51.12426
arm,2010,53.37396
arm,2011,53.8941
arm,2012,53.8941
arm,2013,52.33539
arm,2014,53.01626
arm,2015,51.66871
arm,2016,52.41355
arm,2017,51.99534
arm,2018,59.19982
arm,2019,65.75777
aus,1975,84.55647
aus,1976,83.43133
aus,1977,83.43133
aus,1978,83.43133
aus,1979,83.43133
aus,1980,83.62631
aus,1981,83.92037
aus,1982,83.92037
aus,1983,83.92037
aus,1984,83.92037
aus,1985,83.92037
aus,1986,83.92037
aus,1987,83.92037
aus,1988,83.92037
aus,1989,83.92037
aus,1990,84.79615
aus,1991,84.79615
aus,1992,84.79615
aus,1993,82.41248
aus,1994,83.97922
aus,1995,84.79615
aus,1996,84.79615
aus,1997,84.79615
aus,1998,84.79615
aus,1999,84.79615
aus,2000,84.79615
aus,2001,84.79615
aus,2002,82.63099
aus,2003,82.63099
aus,2004,82.63099
aus,2005,82.63099
aus,2006,82.63099
aus,2007,82.63099
aus,2008,80.84414
aus,2009,82.63099
aus,2010,82.63099
aus,2011,82.63099
aus,2012,82.63099
aus,2013,79.65997
aus,2014,79.65997
aus,2015,84.19272
aus,2016,84.19272
aus,2017,74.25309
aus,2018,73.88408
aus,2019,74.03943
aut,1975,77.54925
aut,1976,82.22089
aut,1977,82.22089
aut,1978,82.22089
