country,time,un_peakeeper_num
alb,2010,63
alb,2011,13
alb,2013,1
alb,2014,3
alb,2015,3
alb,2019,2
alb,2020,2
alb,2021,2
arg,2010,1024
arg,2011,1078
arg,2012,1036
arg,2013,880
arg,2014,881
arg,2015,880
arg,2016,471
arg,2017,471
arg,2018,384
arg,2019,320
arg,2020,304
arg,2021,291
arm,2012,2
arm,2013,1
arm,2014,33
arm,2015,34
arm,2016,66
arm,2017,34
arm,2018,34
arm,2019,34
arm,2020,34
arm,2021,130
aus,2010,110
aus,2011,114
aus,2012,112
aus,2013,64
aus,2014,51
aus,2015,48
aus,2016,44
aus,2017,42
aus,2018,36
aus,2019,37
aus,2020,38
aus,2021,31
aut,2010,449
aut,2011,549
aut,2012,559
aut,2013,564
aut,2014,226
aut,2015,221
aut,2016,203
aut,2017,204
aut,2018,238
aut,2019,234
aut,2020,285
aut,2021,195
aze,2018,2
aze,2019,2
aze,2020,2
aze,2021,2
bdi,2010,93
bdi,2011,127
bdi,2012,129
bdi,2013,177
bdi,2014,1258
bdi,2015,1281
bdi,2016,1214
bdi,2017,883
bdi,2018,790
bdi,2019,774
bdi,2020,768
bdi,2021,771
bel,2010,264
bel,2011,135
bel,2012,132
bel,2013,181
bel,2014,108
bel,2015,8
bel,2016,14
bel,2017,26
bel,2018,138
bel,2019,94
bel,2020,55
bel,2021,56
ben,2010,1338
ben,2011,1026
ben,2012,1044
ben,2013,1344
ben,2014,1266
ben,2015,1496
ben,2016,1552
ben,2017,1038
ben,2018,939
ben,2019,541
ben,2020,476
ben,2021,516
bfa,2010,1038
bfa,2011,1064
bfa,2012,1113
bfa,2013,1989
bfa,2014,2006
bfa,2015,2925
bfa,2016,3040
bfa,2017,3022
bfa,2018,2149
bfa,2019,2094
bfa,2020,1466
bfa,2021,1475
bgd,2010,10852
bgd,2011,10671
bgd,2012,10245
bgd,2013,8878
bgd,2014,9400
bgd,2015,9516
bgd,2016,8274
bgd,2017,7246
bgd,2018,7111
bgd,2019,6614
bgd,2020,6798
bgd,2021,6722
bgr,2010,2
bgr,2011,2
bgr,2012,4
bgr,2013,4
bgr,2014,2
bgr,2015,3
bgr,2016,3
bgr,2017,4
bgr,2018,4
bgr,2019,6
bgr,2020,3
bgr,2021,3
bih,2010,30
bih,2011,32
bih,2012,48
bih,2013,62
bih,2014,54
bih,2015,52
bih,2016,44
bih,2017,45
bih,2018,43
bih,2019,45
bih,2020,32
bih,2021,25
blr,2011,3
blr,2012,5
blr,2013,9
blr,2014,5
blr,2015,5
blr,2016,5
blr,2017,12
blr,2018,5
blr,2019,5
blr,2020,7
blr,2021,11
bol,2010,440
bol,2011,243
bol,2012,232
bol,2013,233
bol,2014,233
bol,2015,235
bol,2016,47
bol,2017,69
bol,2018,29
bol,2019,29
bol,2020,30
bol,2021,30
bra,2010,2374
bra,2011,2498
bra,2012,2488
bra,2013,2202
bra,2014,1764
bra,2015,1693
bra,2016,1305
bra,2017,1291
bra,2018,275
bra,2019,292
bra,2020,287
bra,2021,76
brb,2018,1
brn,2010,19
brn,2011,30
brn,2012,30
brn,2013,30
brn,2014,30
brn,2015,30
brn,2016,30
brn,2017,30
brn,2018,30
brn,2019,30
brn,2020,30
brn,2021,60
btn,2014,9
btn,2015,27
btn,2016,48
btn,2017,45
btn,2018,47
btn,2019,42
btn,2020,33
btn,2021,35
bwa,2021,3
caf,2010,45
caf,2011,49
caf,2012,41
caf,2013,21
caf,2014,13
caf,2015,6
caf,2017,5
caf,2018,5
can,2010,221
can,2011,224
can,2012,199
can,2013,160
can,2014,122
can,2015,122
can,2016,133
can,2017,132
can,2018,181
can,2019,192
can,2020,46
can,2021,58
che,2010,30
che,2011,25
che,2012,24
che,2013,28
che,2014,31
che,2015,32
che,2016,38
che,2017,37
che,2018,34
che,2019,32
che,2020,41
che,2021,43
chl,2010,554
chl,2011,699
chl,2012,541
chl,2013,533
chl,2014,584
chl,2015,447
chl,2016,458
chl,2017,488
chl,2018,55
chl,2019,36
chl,2020,30
chl,2021,17
chn,2010,2137
chn,2011,2044
chn,2012,1930
chn,2013,2078
chn,2014,2196
chn,2015,3082
chn,2016,3072
chn,2017,2644
chn,2018,2634
chn,2019,2545
chn,2020,2560
chn,2021,2477
civ,2010,164
civ,2011,163
civ,2012,165
civ,2013,307
civ,2014,299
civ,2015,255
civ,2016,9
civ,2017,215
civ,2018,301
civ,2019,317
civ,2020,873
civ,2021,905
cmr,2010,154
cmr,2011,124
cmr,2012,150
cmr,2013,109
cmr,2014,1387
cmr,2015,1391
cmr,2016,1363
cmr,2017,1152
cmr,2018,1135
cmr,2019,1119
cmr,2020,1128
cmr,2021,1102
cod,2010,31
cod,2011,31
cod,2012,29
cod,2013,16
cod,2014,979
cod,2015,973
cod,2016,825
cod,2017,10
cod,2018,7
cod,2019,1
cod,2020,4
cog,2010,1
cog,2014,999
cog,2015,999
cog,2016,888
cog,2017,793
cog,2018,158
cog,2019,158
cog,2020,157
cog,2021,192
col,2010,36
col,2011,35
col,2012,35
col,2013,34
col,2014,27
col,2015,22
col,2016,41
col,2017,43
col,2018,12
col,2019,5
col,2020,87
col,2021,5
cpv,2017,1
cpv,2018,1
cpv,2019,1
cri,2016,1
cri,2017,3
cri,2018,3
cri,2019,3
cub,2017,11
cub,2018,8
cub,2019,6
cub,2020,2
cyp,2010,2
cyp,2011,2
cyp,2012,2
cyp,2013,2
cyp,2014,2
cyp,2015,2
cyp,2016,2
cyp,2017,2
cyp,2018,2
cyp,2019,2
cyp,2020,2
cyp,2021,2
cze,2010,10
cze,2011,14
cze,2012,12
cze,2013,6
cze,2014,10
cze,2015,14
cze,2016,44
cze,2017,37
cze,2018,18
cze,2019,19
cze,2020,16
cze,2021,16
deu,2010,346
deu,2011,303
deu,2012,273
deu,2013,262
deu,2014,268
deu,2015,196
deu,2016,441
deu,2017,745
deu,2018,869
deu,2019,596
deu,2020,576
deu,2021,558
dji,2010,52
dji,2011,44
dji,2012,55
dji,2013,183
dji,2014,175
dji,2015,162
dji,2016,166
dji,2017,168
dji,2018,179
dji,2019,180
dji,2020,183
dji,2021,182
dnk,2010,180
dnk,2011,211
dnk,2012,41
dnk,2013,32
dnk,2014,78
dnk,2015,51
dnk,2016,80
dnk,2017,73
dnk,2018,23
dnk,2019,83
dnk,2020,98
dnk,2021,13
dom,2013,2
dom,2014,2
dom,2016,12
dom,2017,13
dom,2018,6
dom,2019,7
dom,2020,7
dom,2021,7
dza,2010,5
dza,2011,5
dza,2012,5
dza,2013,5
dza,2014,5
dza,2015,5
dza,2016,5
dza,2017,5
dza,2018,3
dza,2019,3
dza,2020,2
dza,2021,2
