world_4region,time,immigrant_pc
africa,1990,2.48
africa,1995,2.27
africa,2000,1.84
africa,2005,1.73
africa,2010,1.7
africa,2015,1.92
africa,2020,1.88
americas,1990,4.75
americas,1995,5.09
americas,2000,5.57
americas,2005,5.89
americas,2010,6.29
americas,2015,6.58
americas,2020,7.13
asia,1990,1.57
asia,1995,1.41
asia,2000,1.4
asia,2005,1.44
asia,2010,1.7
asia,2015,1.82
asia,2020,1.91
europe,1990,6.57
europe,1995,6.96
europe,2000,7.35
europe,2005,8.08
europe,2010,8.8
europe,2015,9.5
europe,2020,10.98
