world_4region,time,percit_1_5m
africa,1950,1.55
africa,1955,2.1
africa,1960,2.24
africa,1965,3.5
africa,1970,2.7
africa,1975,3.08
africa,1980,4.98
africa,1985,6.25
africa,1990,7.29
africa,1995,7.33
africa,2000,8.45
africa,2005,9.37
africa,2010,9.23
africa,2015,9.67
africa,2020,9.68
africa,2025,10.31
africa,2030,9.91
africa,2035,9.74
americas,1950,12.42
americas,1955,10.83
americas,1960,12.59
americas,1965,11.86
americas,1970,13.85
americas,1975,15.07
americas,1980,16.92
americas,1985,17.17
americas,1990,19.21
americas,1995,19.63
americas,2000,20.46
americas,2005,19.95
americas,2010,21
americas,2015,21.66
americas,2020,22.05
americas,2025,23.34
americas,2030,23.81
americas,2035,24.87
asia,1950,3.34
asia,1955,3.36
asia,1960,4.11
asia,1965,4.37
asia,1970,4.54
asia,1975,5.13
asia,1980,4.53
asia,1985,5.34
asia,1990,5.91
asia,1995,6.82
asia,2000,7.84
asia,2005,8
asia,2010,8.7
asia,2015,9.91
asia,2020,11.22
asia,2025,12.35
asia,2030,13
asia,2035,13.51
europe,1950,6.16
europe,1955,6.41
europe,1960,7.51
europe,1965,8.66
europe,1970,9.56
europe,1975,10.22
europe,1980,11.86
europe,1985,11.46
europe,1990,11.75
europe,1995,11.95
europe,2000,11.92
europe,2005,12.12
europe,2010,12.78
europe,2015,12.36
europe,2020,12.53
europe,2025,13.11
europe,2030,13.55
europe,2035,14
