country,time,vccine_imptn_dag
afg,2015,3.6
afg,2018,2.1
alb,2018,1.7
are,2018,2.5
arg,2015,0.5
arg,2018,1.2
arm,2015,7.6
arm,2018,12.2
aus,2015,3.5
aus,2018,3.3
aut,2015,9.6
aut,2018,11.8
aze,2015,13.9
aze,2018,8.3
bdi,2018,0.7
bel,2015,2.6
bel,2018,4.7
ben,2018,1.8
bfa,2018,2.9
bgd,2015,0.3
bgd,2018,0.4
bgr,2015,5.1
bgr,2018,6.9
bih,2015,10.9
bih,2018,5.9
blr,2018,7.6
bol,2018,1.8
bra,2015,0.7
bra,2018,0.5
bwa,2018,3.8
can,2015,6.2
can,2018,5.4
che,2018,9.3
chl,2018,4
chn,2015,13.5
chn,2018,1.9
civ,2018,1.5
cmr,2018,1.8
cod,2015,4.6
cog,2018,2.2
col,2015,3
col,2018,0.6
com,2018,1.3
cri,2018,1
cyp,2018,6
cze,2015,6.2
cze,2018,3
deu,2015,5.8
deu,2018,4.3
dnk,2015,3.4
dnk,2018,2.4
dom,2018,0.1
dza,2015,1.3
dza,2018,3.7
ecu,2015,0.4
ecu,2018,0.9
egy,2018,0.3
esp,2015,5.8
esp,2018,5
est,2018,5.7
eth,2015,0.7
eth,2018,0.1
fin,2015,2
fin,2018,1.7
fji,2015,8.5
fra,2015,11.7
fra,2018,9.8
gab,2018,2.6
gbr,2015,5.7
gbr,2018,3.6
geo,2018,3.6
gha,2015,4
gha,2018,2.8
gin,2018,3.6
gmb,2018,2.8
grc,2015,11.7
grc,2018,1.7
gtm,2018,0.8
hkg,2015,12.9
hnd,2018,0.3
hrv,2018,4.4
hti,2018,1.7
hun,2018,1.3
idn,2015,2
idn,2018,3
ind,2015,5.2
ind,2018,1.4
irl,2015,5.3
irl,2018,3.9
irn,2015,0.4
irn,2018,1.7
irq,2015,0
irq,2018,2.9
isl,2015,1
isl,2018,0.9
isr,2015,0
isr,2018,0.9
ita,2015,14.7
ita,2018,8.2
jor,2018,1
jpn,2015,4.7
jpn,2018,4.7
kaz,2018,3.7
ken,2018,1.3
kgz,2018,4.4
khm,2018,0.5
kor,2015,4.7
kor,2018,5.1
kwt,2018,2.2
lao,2018,0.2
lbn,2015,2.6
lbn,2018,0.2
lbr,2018,2
lby,2018,5.7
lka,2018,0.7
ltu,2018,4.2
lux,2018,4.6
lva,2015,8.5
lva,2018,5.9
mar,2015,1.3
mar,2018,1.7
mda,2018,6.9
mdg,2018,2.3
mex,2015,12
mex,2018,1
mkd,2015,10.3
mkd,2018,6.5
mli,2018,2.2
mlt,2018,2
mmr,2018,0.7
mne,2018,6.9
mng,2015,5.1
mng,2018,4.3
moz,2018,1
mrt,2018,1.8
mus,2018,1.7
mwi,2018,0.9
mys,2018,3.1
nam,2018,4.4
ner,2018,4.2
nga,2015,4
nga,2018,3.2
nic,2018,0.4
nld,2015,5.7
nld,2018,5.7
nor,2018,1.9
npl,2018,1
nzl,2018,5.6
pak,2015,6.3
pak,2018,2
pan,2015,1.5
pan,2018,1.6
per,2015,2.5
per,2018,3.1
phl,2015,0.5
phl,2018,5.1
png,2015,7.7
pol,2015,8.2
pol,2018,4.1
prt,2015,2
prt,2018,1
pry,2018,1.7
pse,2015,9.3
pse,2018,0
rou,2015,10.5
rou,2018,4.6
rus,2015,16
rus,2018,9.5
rwa,2018,0.6
sau,2015,1.5
sau,2018,1.3
sen,2018,2.7
sgp,2018,2.1
sle,2018,0.7
slv,2018,0.8
srb,2015,11.5
srb,2018,5.4
svk,2018,2.6
svn,2015,13.2
svn,2018,5.8
swe,2015,4.3
swe,2018,2.2
swz,2018,1.4
tcd,2018,4.3
tgo,2018,3.1
tha,2015,2.1
tha,2018,1.2
tjk,2018,0.7
tkm,2018,5.4
tun,2015,1.9
tun,2018,2.6
tur,2015,3.6
tur,2018,3.5
twn,2018,3.7
tza,2018,0.6
uga,2018,1.6
ukr,2015,12.2
ukr,2018,4.3
ury,2018,2.4
usa,2015,8.8
usa,2018,6.1
uzb,2018,0.5
ven,2018,0.1
vnm,2015,0.7
vnm,2018,1.4
yem,2018,1.8
zaf,2015,6.4
zaf,2018,4.7
zmb,2018,2.3
zwe,2018,0.6
