global,time,percit_300_500k
world,1950,1.97
world,1955,2.02
world,1960,2.35
world,1965,2.38
world,1970,2.34
world,1975,2.42
world,1980,2.55
world,1985,2.71
world,1990,2.98
world,1995,3.09
world,2000,3.25
world,2005,3.42
world,2010,3.53
world,2015,3.66
world,2020,3.58
world,2025,3.73
world,2030,3.74
world,2035,3.69
