country,time,un_peakeeper_rate
alb,2010,2
alb,2011,0
alb,2013,0
alb,2014,0
alb,2015,0
alb,2019,0
alb,2020,0
alb,2021,0
arg,2010,3
arg,2011,3
arg,2012,2
arg,2013,2
arg,2014,2
arg,2015,2
arg,2016,1
arg,2017,1
arg,2018,1
arg,2019,1
arg,2020,1
arg,2021,1
arm,2012,0
arm,2013,0
arm,2014,1
arm,2015,1
arm,2016,2
arm,2017,1
arm,2018,1
arm,2019,1
arm,2020,1
arm,2021,4
aus,2010,0
aus,2011,1
aus,2012,0
aus,2013,0
aus,2014,0
aus,2015,0
aus,2016,0
aus,2017,0
aus,2018,0
aus,2019,0
aus,2020,0
aus,2021,0
aut,2010,5
aut,2011,6
aut,2012,7
aut,2013,7
aut,2014,3
aut,2015,3
aut,2016,2
aut,2017,2
aut,2018,3
aut,2019,3
aut,2020,3
aut,2021,2
aze,2018,0
aze,2019,0
aze,2020,0
aze,2021,0
bdi,2010,1
bdi,2011,1
bdi,2012,1
bdi,2013,2
bdi,2014,13
bdi,2015,13
bdi,2016,12
bdi,2017,8
bdi,2018,7
bdi,2019,7
bdi,2020,6
bdi,2021,6
bel,2010,2
bel,2011,1
bel,2012,1
bel,2013,2
bel,2014,1
bel,2015,0
bel,2016,0
bel,2017,0
bel,2018,1
bel,2019,1
bel,2020,0
bel,2021,0
ben,2010,15
ben,2011,11
ben,2012,11
ben,2013,13
ben,2014,12
ben,2015,14
ben,2016,14
ben,2017,9
ben,2018,8
ben,2019,5
ben,2020,4
ben,2021,4
bfa,2010,7
bfa,2011,7
bfa,2012,7
bfa,2013,12
bfa,2014,11
bfa,2015,16
bfa,2016,16
bfa,2017,16
bfa,2018,11
bfa,2019,10
bfa,2020,7
bfa,2021,7
bgd,2010,7
bgd,2011,7
bgd,2012,7
bgd,2013,6
bgd,2014,6
bgd,2015,6
bgd,2016,5
bgd,2017,5
bgd,2018,4
bgd,2019,4
bgd,2020,4
bgd,2021,4
bgr,2010,0
bgr,2011,0
bgr,2012,0
bgr,2013,0
bgr,2014,0
bgr,2015,0
bgr,2016,0
bgr,2017,0
bgr,2018,0
bgr,2019,0
bgr,2020,0
bgr,2021,0
bih,2010,1
bih,2011,1
bih,2012,1
bih,2013,2
bih,2014,2
bih,2015,2
bih,2016,1
bih,2017,1
bih,2018,1
bih,2019,1
bih,2020,1
bih,2021,1
blr,2011,0
blr,2012,0
blr,2013,0
blr,2014,0
blr,2015,0
blr,2016,0
blr,2017,0
blr,2018,0
blr,2019,0
blr,2020,0
blr,2021,0
bol,2010,4
bol,2011,2
bol,2012,2
bol,2013,2
bol,2014,2
bol,2015,2
bol,2016,0
bol,2017,1
bol,2018,0
bol,2019,0
bol,2020,0
bol,2021,0
bra,2010,1
bra,2011,1
bra,2012,1
bra,2013,1
bra,2014,1
bra,2015,1
bra,2016,1
bra,2017,1
bra,2018,0
bra,2019,0
bra,2020,0
bra,2021,0
brb,2018,0
brn,2010,5
brn,2011,8
brn,2012,8
brn,2013,7
brn,2014,7
brn,2015,7
brn,2016,7
brn,2017,7
brn,2018,7
brn,2019,7
brn,2020,7
brn,2021,14
btn,2014,1
btn,2015,4
btn,2016,7
btn,2017,6
btn,2018,6
btn,2019,6
btn,2020,4
btn,2021,4
bwa,2021,0
caf,2010,1
caf,2011,1
caf,2012,1
caf,2013,0
caf,2014,0
caf,2015,0
caf,2017,0
caf,2018,0
can,2010,1
can,2011,1
can,2012,1
can,2013,0
can,2014,0
can,2015,0
can,2016,0
can,2017,0
can,2018,0
can,2019,1
can,2020,0
can,2021,0
che,2010,0
che,2011,0
che,2012,0
che,2013,0
che,2014,0
che,2015,0
che,2016,0
che,2017,0
che,2018,0
che,2019,0
che,2020,0
che,2021,0
chl,2010,3
chl,2011,4
chl,2012,3
chl,2013,3
chl,2014,3
chl,2015,2
chl,2016,3
chl,2017,3
chl,2018,0
chl,2019,0
chl,2020,0
chl,2021,0
chn,2010,0
chn,2011,0
chn,2012,0
chn,2013,0
chn,2014,0
chn,2015,0
chn,2016,0
chn,2017,0
chn,2018,0
chn,2019,0
chn,2020,0
chn,2021,0
civ,2010,1
civ,2011,1
civ,2012,1
civ,2013,1
civ,2014,1
civ,2015,1
civ,2016,0
civ,2017,1
civ,2018,1
civ,2019,1
civ,2020,3
civ,2021,3
cmr,2010,1
cmr,2011,1
cmr,2012,1
cmr,2013,0
cmr,2014,6
cmr,2015,6
cmr,2016,6
cmr,2017,5
cmr,2018,5
cmr,2019,4
cmr,2020,4
cmr,2021,4
cod,2010,0
cod,2011,0
cod,2012,0
cod,2013,0
cod,2014,1
cod,2015,1
cod,2016,1
cod,2017,0
cod,2018,0
cod,2019,0
cod,2020,0
cog,2010,0
cog,2014,21
cog,2015,21
cog,2016,18
cog,2017,16
cog,2018,3
cog,2019,3
cog,2020,3
cog,2021,3
col,2010,0
col,2011,0
col,2012,0
col,2013,0
col,2014,0
col,2015,0
col,2016,0
col,2017,0
col,2018,0
col,2019,0
col,2020,0
col,2021,0
cpv,2017,0
cpv,2018,0
