country,time,legs_sexhw
afg,1970,No
afg,1971,No
afg,1972,No
afg,1973,No
afg,1974,No
afg,1975,No
afg,1976,No
afg,1977,No
afg,1978,No
afg,1979,No
afg,1980,No
afg,1981,No
afg,1982,No
afg,1983,No
afg,1984,No
afg,1985,No
afg,1986,No
afg,1987,No
afg,1988,No
afg,1989,No
afg,1990,No
afg,1991,No
afg,1992,No
afg,1993,No
afg,1994,No
afg,1995,No
afg,1996,No
afg,1997,No
afg,1998,No
afg,1999,No
afg,2000,No
afg,2001,No
afg,2002,No
afg,2003,No
afg,2004,No
afg,2005,No
afg,2006,No
afg,2007,No
afg,2008,No
afg,2009,No
afg,2010,No
afg,2011,No
afg,2012,No
afg,2013,No
afg,2014,No
afg,2015,No
afg,2016,Yes
afg,2017,Yes
afg,2018,Yes
afg,2019,Yes
afg,2020,Yes
ago,1970,No
ago,1971,No
ago,1972,No
ago,1973,No
ago,1974,No
ago,1975,No
ago,1976,No
ago,1977,No
ago,1978,No
ago,1979,No
ago,1980,No
ago,1981,No
ago,1982,No
ago,1983,No
ago,1984,No
ago,1985,No
ago,1986,No
ago,1987,No
ago,1988,No
ago,1989,No
ago,1990,No
ago,1991,No
ago,1992,No
ago,1993,No
ago,1994,No
ago,1995,No
ago,1996,No
ago,1997,No
ago,1998,No
ago,1999,No
ago,2000,No
ago,2001,No
ago,2002,No
ago,2003,No
ago,2004,No
ago,2005,No
ago,2006,No
ago,2007,No
ago,2008,No
ago,2009,No
ago,2010,No
ago,2011,No
ago,2012,No
ago,2013,No
ago,2014,No
ago,2015,No
ago,2016,No
ago,2017,No
ago,2018,No
ago,2019,No
ago,2020,No
alb,1970,No
alb,1971,No
alb,1972,No
alb,1973,No
alb,1974,No
alb,1975,No
alb,1976,No
alb,1977,No
alb,1978,No
alb,1979,No
alb,1980,No
alb,1981,No
alb,1982,No
alb,1983,No
alb,1984,No
alb,1985,No
alb,1986,No
alb,1987,No
alb,1988,No
alb,1989,No
alb,1990,No
alb,1991,No
alb,1992,No
alb,1993,No
alb,1994,No
alb,1995,No
alb,1996,Yes
alb,1997,Yes
alb,1998,Yes
alb,1999,Yes
alb,2000,Yes
alb,2001,Yes
alb,2002,Yes
alb,2003,Yes
alb,2004,Yes
alb,2005,Yes
alb,2006,Yes
alb,2007,Yes
alb,2008,Yes
alb,2009,Yes
alb,2010,Yes
alb,2011,Yes
alb,2012,Yes
alb,2013,Yes
alb,2014,Yes
alb,2015,Yes
alb,2016,Yes
alb,2017,Yes
alb,2018,Yes
alb,2019,Yes
alb,2020,Yes
are,1970,No
are,1971,No
are,1972,No
are,1973,No
are,1974,No
are,1975,No
are,1976,No
are,1977,No
are,1978,No
are,1979,No
are,1980,No
are,1981,No
are,1982,No
are,1983,No
are,1984,No
are,1985,No
are,1986,No
are,1987,No
are,1988,No
are,1989,No
are,1990,No
are,1991,No
are,1992,No
are,1993,No
are,1994,No
are,1995,No
are,1996,No
are,1997,No
are,1998,No
are,1999,No
are,2000,No
are,2001,No
are,2002,No
are,2003,No
are,2004,No
are,2005,No
are,2006,No
are,2007,No
are,2008,No
are,2009,No
are,2010,No
are,2011,No
are,2012,No
are,2013,No
are,2014,No
are,2015,No
are,2016,No
are,2017,No
are,2018,No
are,2019,Yes
are,2020,Yes
arg,1970,No
arg,1971,No
arg,1972,No
arg,1973,No
arg,1974,No
arg,1975,No
arg,1976,No
arg,1977,No
arg,1978,No
arg,1979,No
arg,1980,No
arg,1981,No
arg,1982,No
arg,1983,No
arg,1984,No
arg,1985,No
arg,1986,No
arg,1987,No
arg,1988,No
arg,1989,No
arg,1990,No
arg,1991,No
arg,1992,No
arg,1993,No
arg,1994,No
arg,1995,No
arg,1996,No
arg,1997,No
arg,1998,No
arg,1999,No
arg,2000,No
arg,2001,No
arg,2002,No
arg,2003,No
arg,2004,No
arg,2005,No
arg,2006,No
arg,2007,No
arg,2008,No
arg,2009,Yes
arg,2010,Yes
arg,2011,Yes
arg,2012,Yes
arg,2013,Yes
arg,2014,Yes
arg,2015,Yes
arg,2016,Yes
arg,2017,Yes
arg,2018,Yes
arg,2019,Yes
arg,2020,Yes
arm,1970,No
arm,1971,No
arm,1972,No
arm,1973,No
arm,1974,No
arm,1975,No
arm,1976,No
arm,1977,No
arm,1978,No
arm,1979,No
arm,1980,No
arm,1981,No
arm,1982,No
arm,1983,No
arm,1984,No
arm,1985,No
arm,1986,No
arm,1987,No
arm,1988,No
arm,1989,No
arm,1990,No
arm,1991,No
arm,1992,No
arm,1993,No
arm,1994,No
arm,1995,No
arm,1996,No
arm,1997,No
arm,1998,No
arm,1999,No
arm,2000,No
arm,2001,No
arm,2002,No
arm,2003,No
arm,2004,No
arm,2005,Yes
arm,2006,Yes
arm,2007,Yes
arm,2008,Yes
arm,2009,Yes
arm,2010,Yes
arm,2011,No
arm,2012,No
arm,2013,No
arm,2014,No
arm,2015,No
arm,2016,No
arm,2017,No
arm,2018,No
arm,2019,No
arm,2020,No
atg,1970,No
atg,1971,No
atg,1972,No
atg,1973,No
atg,1974,No
atg,1975,No
atg,1976,No
atg,1977,No
atg,1978,No
atg,1979,No
atg,1980,No
atg,1981,No
atg,1982,No
atg,1983,No
atg,1984,No
atg,1985,No
atg,1986,No
atg,1987,No
atg,1988,No
atg,1989,No
atg,1990,No
atg,1991,No
atg,1992,No
atg,1993,No
atg,1994,No
atg,1995,No
atg,1996,No
atg,1997,No
atg,1998,No
atg,1999,No
atg,2000,No
atg,2001,No
atg,2002,No
atg,2003,No
atg,2004,No
atg,2005,No
atg,2006,No
atg,2007,No
atg,2008,No
atg,2009,No
atg,2010,No
atg,2011,No
atg,2012,No
atg,2013,No
atg,2014,No
atg,2015,No
atg,2016,No
atg,2017,No
atg,2018,No
atg,2019,No
atg,2020,No
aus,1970,No
aus,1971,No
aus,1972,No
aus,1973,No
aus,1974,No
aus,1975,No
aus,1976,No
aus,1977,No
aus,1978,No
aus,1979,No
aus,1980,No
aus,1981,No
aus,1982,No
aus,1983,No
aus,1984,Yes
aus,1985,Yes
aus,1986,Yes
aus,1987,Yes
aus,1988,Yes
aus,1989,Yes
aus,1990,Yes
aus,1991,Yes
aus,1992,Yes
aus,1993,Yes
aus,1994,Yes
aus,1995,Yes
aus,1996,Yes
aus,1997,Yes
aus,1998,Yes
aus,1999,Yes
aus,2000,Yes
aus,2001,Yes
aus,2002,Yes
aus,2003,Yes
aus,2004,Yes
aus,2005,Yes
aus,2006,Yes
aus,2007,Yes
aus,2008,Yes
aus,2009,Yes
aus,2010,Yes
aus,2011,Yes
aus,2012,Yes
aus,2013,Yes
aus,2014,Yes
aus,2015,Yes
aus,2016,Yes
aus,2017,Yes
aus,2018,Yes
aus,2019,Yes
aus,2020,Yes
aut,1970,No
aut,1971,No
aut,1972,No
aut,1973,No
aut,1974,No
aut,1975,No
aut,1976,No
aut,1977,No
aut,1978,No
aut,1979,No
aut,1980,No
aut,1981,No
aut,1982,No
aut,1983,No
aut,1984,No
aut,1985,No
aut,1986,No
aut,1987,No
aut,1988,No
aut,1989,No
aut,1990,No
aut,1991,No
aut,1992,No
aut,1993,Yes
aut,1994,Yes
aut,1995,Yes
aut,1996,Yes
aut,1997,Yes
aut,1998,Yes
aut,1999,Yes
aut,2000,Yes
aut,2001,Yes
aut,2002,Yes
aut,2003,Yes
aut,2004,Yes
aut,2005,Yes
aut,2006,Yes
aut,2007,Yes
aut,2008,Yes
aut,2009,Yes
aut,2010,Yes
aut,2011,Yes
aut,2012,Yes
aut,2013,Yes
aut,2014,Yes
aut,2015,Yes
aut,2016,Yes
aut,2017,Yes
aut,2018,Yes
aut,2019,Yes
aut,2020,Yes
aze,1970,No
aze,1971,No
aze,1972,No
aze,1973,No
aze,1974,No
aze,1975,No
aze,1976,No
aze,1977,No
aze,1978,No
aze,1979,No
aze,1980,No
aze,1981,No
aze,1982,No
aze,1983,No
aze,1984,No
aze,1985,No
aze,1986,No
aze,1987,No
aze,1988,No
aze,1989,No
aze,1990,No
aze,1991,No
aze,1992,No
aze,1993,No
aze,1994,No
aze,1995,No
aze,1996,No
aze,1997,No
aze,1998,No
aze,1999,No
aze,2000,No
aze,2001,No
aze,2002,No
aze,2003,No
aze,2004,No
aze,2005,No
aze,2006,No
aze,2007,Yes
aze,2008,Yes
aze,2009,Yes
aze,2010,Yes
aze,2011,Yes
aze,2012,Yes
aze,2013,Yes
aze,2014,Yes
aze,2015,Yes
aze,2016,Yes
aze,2017,Yes
aze,2018,Yes
aze,2019,Yes
aze,2020,Yes
bdi,1970,No
bdi,1971,No
bdi,1972,No
bdi,1973,No
bdi,1974,No
bdi,1975,No
bdi,1976,No
bdi,1977,No
bdi,1978,No
bdi,1979,No
bdi,1980,No
bdi,1981,No
bdi,1982,No
bdi,1983,No
bdi,1984,No
bdi,1985,No
bdi,1986,No
bdi,1987,No
bdi,1988,No
bdi,1989,No
bdi,1990,No
bdi,1991,No
bdi,1992,No
bdi,1993,No
bdi,1994,No
bdi,1995,No
bdi,1996,No
bdi,1997,No
bdi,1998,No
bdi,1999,No
bdi,2000,No
bdi,2001,No
bdi,2002,No
bdi,2003,No
bdi,2004,No
bdi,2005,No
bdi,2006,No
bdi,2007,No
bdi,2008,No
bdi,2009,Yes
bdi,2010,Yes
bdi,2011,Yes
bdi,2012,Yes
bdi,2013,Yes
bdi,2014,Yes
bdi,2015,Yes
bdi,2016,Yes
bdi,2017,Yes
bdi,2018,Yes
bdi,2019,Yes
bdi,2020,Yes
bel,1970,No
bel,1971,No
bel,1972,No
bel,1973,No
bel,1974,No
bel,1975,No
bel,1976,No
bel,1977,No
bel,1978,No
bel,1979,No
bel,1980,No
bel,1981,No
bel,1982,No
bel,1983,No
bel,1984,No
bel,1985,No
bel,1986,No
bel,1987,No
bel,1988,No
bel,1989,No
bel,1990,No
bel,1991,No
bel,1992,No
bel,1993,No
bel,1994,No
bel,1995,No
bel,1996,No
bel,1997,No
bel,1998,No
bel,1999,No
bel,2000,No
bel,2001,No
bel,2002,No
bel,2003,Yes
bel,2004,Yes
bel,2005,Yes
bel,2006,Yes
bel,2007,Yes
bel,2008,Yes
bel,2009,Yes
bel,2010,Yes
bel,2011,Yes
bel,2012,Yes
bel,2013,Yes
bel,2014,Yes
bel,2015,Yes
bel,2016,Yes
bel,2017,Yes
bel,2018,Yes
bel,2019,Yes
bel,2020,Yes
ben,1970,No
ben,1971,No
ben,1972,No
ben,1973,No
ben,1974,No
ben,1975,No
ben,1976,No
ben,1977,No
ben,1978,No
ben,1979,No
ben,1980,No
ben,1981,No
ben,1982,No
ben,1983,No
ben,1984,No
ben,1985,No
ben,1986,No
ben,1987,No
ben,1988,No
ben,1989,No
ben,1990,No
ben,1991,No
ben,1992,No
ben,1993,No
ben,1994,No
ben,1995,No
ben,1996,No
ben,1997,No
ben,1998,No
ben,1999,No
ben,2000,No
ben,2001,No
ben,2002,No
ben,2003,No
ben,2004,No
ben,2005,No
ben,2006,No
ben,2007,Yes
ben,2008,Yes
ben,2009,Yes
ben,2010,Yes
ben,2011,Yes
ben,2012,Yes
ben,2013,Yes
ben,2014,Yes
ben,2015,Yes
ben,2016,Yes
ben,2017,Yes
ben,2018,Yes
ben,2019,Yes
ben,2020,Yes
bfa,1970,No
bfa,1971,No
bfa,1972,No
bfa,1973,No
bfa,1974,No
bfa,1975,No
bfa,1976,No
bfa,1977,No
bfa,1978,No
bfa,1979,No
bfa,1980,No
bfa,1981,No
bfa,1982,No
bfa,1983,No
bfa,1984,No
bfa,1985,No
bfa,1986,No
bfa,1987,No
bfa,1988,No
bfa,1989,No
bfa,1990,No
bfa,1991,No
bfa,1992,No
bfa,1993,No
bfa,1994,No
bfa,1995,No
bfa,1996,No
bfa,1997,No
bfa,1998,No
bfa,1999,No
bfa,2000,No
bfa,2001,No
bfa,2002,No
bfa,2003,No
bfa,2004,No
bfa,2005,Yes
bfa,2006,Yes
bfa,2007,Yes
bfa,2008,Yes
bfa,2009,Yes
bfa,2010,Yes
bfa,2011,Yes
bfa,2012,Yes
bfa,2013,Yes
bfa,2014,Yes
bfa,2015,Yes
bfa,2016,Yes
bfa,2017,Yes
bfa,2018,Yes
bfa,2019,Yes
bfa,2020,Yes
bgd,1970,No
bgd,1971,No
bgd,1972,No
bgd,1973,No
bgd,1974,No
bgd,1975,No
bgd,1976,No
bgd,1977,No
bgd,1978,No
bgd,1979,No
bgd,1980,No
bgd,1981,No
bgd,1982,No
bgd,1983,No
bgd,1984,No
bgd,1985,No
bgd,1986,No
bgd,1987,No
bgd,1988,No
bgd,1989,No
bgd,1990,No
bgd,1991,No
bgd,1992,No
bgd,1993,No
bgd,1994,No
bgd,1995,No
bgd,1996,No
bgd,1997,No
bgd,1998,No
bgd,1999,No
bgd,2000,No
bgd,2001,No
bgd,2002,No
bgd,2003,No
bgd,2004,No
bgd,2005,No
bgd,2006,No
bgd,2007,No
bgd,2008,No
bgd,2009,Yes
bgd,2010,Yes
bgd,2011,Yes
bgd,2012,Yes
bgd,2013,Yes
bgd,2014,Yes
bgd,2015,Yes
bgd,2016,Yes
bgd,2017,Yes
bgd,2018,Yes
bgd,2019,Yes
bgd,2020,Yes
bgr,1970,No
bgr,1971,No
bgr,1972,No
bgr,1973,No
bgr,1974,No
bgr,1975,No
bgr,1976,No
bgr,1977,No
bgr,1978,No
bgr,1979,No
bgr,1980,No
bgr,1981,No
bgr,1982,No
bgr,1983,No
bgr,1984,No
bgr,1985,No
bgr,1986,No
bgr,1987,No
bgr,1988,No
bgr,1989,No
bgr,1990,No
bgr,1991,No
bgr,1992,No
bgr,1993,No
bgr,1994,No
bgr,1995,No
bgr,1996,No
bgr,1997,No
bgr,1998,No
bgr,1999,No
bgr,2000,No
bgr,2001,No
bgr,2002,No
bgr,2003,No
bgr,2004,Yes
bgr,2005,Yes
bgr,2006,Yes
bgr,2007,Yes
bgr,2008,Yes
bgr,2009,Yes
bgr,2010,Yes
bgr,2011,Yes
bgr,2012,Yes
bgr,2013,Yes
bgr,2014,Yes
bgr,2015,Yes
bgr,2016,Yes
bgr,2017,Yes
bgr,2018,Yes
bgr,2019,Yes
bgr,2020,Yes
bhr,1970,No
bhr,1971,No
bhr,1972,No
bhr,1973,No
bhr,1974,No
bhr,1975,No
bhr,1976,No
bhr,1977,No
bhr,1978,No
bhr,1979,No
bhr,1980,No
bhr,1981,No
