country,time,civsocpart_idea
afg,1975,35.00413
afg,1976,35.00413
afg,1977,35.00413
afg,1978,32.54779
afg,1979,23.1143
afg,1980,26.56631
afg,1981,26.56631
afg,1982,26.56631
afg,1983,26.56631
afg,1984,26.56631
afg,1985,26.56631
afg,1986,26.56631
afg,1987,26.56631
afg,1988,26.56631
afg,1989,26.56631
afg,1990,26.56631
afg,1991,26.56631
afg,1992,29.60139
afg,1993,29.60139
afg,1994,29.60139
afg,1995,26.56631
afg,1996,14.43722
afg,1997,14.43722
afg,1998,14.43722
afg,1999,14.43722
afg,2000,14.43722
afg,2001,23.49121
afg,2002,52.26561
afg,2003,53.16516
afg,2004,53.16516
afg,2005,57.07687
afg,2006,58.65447
afg,2007,58.316
afg,2008,58.316
afg,2009,58.316
afg,2010,58.09837
afg,2011,58.09837
afg,2012,58.09837
afg,2013,56.8699
afg,2014,56.24714
afg,2015,59.8392
afg,2016,53.95818
afg,2017,53.60481
afg,2018,55.5702
afg,2019,52.71676
ago,1975,15.66276
ago,1976,15.66276
ago,1977,15.66276
ago,1978,15.66276
ago,1979,15.66276
ago,1980,15.66276
ago,1981,15.66276
ago,1982,15.66276
ago,1983,15.66276
ago,1984,15.66276
ago,1985,15.66276
ago,1986,15.66276
ago,1987,15.66276
ago,1988,15.66276
ago,1989,15.66276
ago,1990,15.66276
ago,1991,28.39662
ago,1992,39.65402
ago,1993,43.14785
ago,1994,43.14785
ago,1995,43.14785
ago,1996,43.14785
ago,1997,43.14785
ago,1998,43.14785
ago,1999,43.14785
ago,2000,43.14785
ago,2001,43.14785
ago,2002,39.06056
ago,2003,36.47071
ago,2004,36.47071
ago,2005,36.47071
ago,2006,36.47071
ago,2007,36.47071
ago,2008,36.47071
ago,2009,36.47071
ago,2010,36.47071
ago,2011,36.47071
ago,2012,36.47071
ago,2013,31.37651
ago,2014,31.37651
ago,2015,31.37651
ago,2016,32.93026
ago,2017,31.64422
ago,2018,39.7556
ago,2019,38.52722
alb,1975,11.28146
alb,1976,11.28146
alb,1977,11.28146
alb,1978,11.28146
alb,1979,11.28146
alb,1980,11.28146
alb,1981,11.28146
alb,1982,11.28146
alb,1983,11.28146
alb,1984,11.28146
alb,1985,11.28146
alb,1986,11.28146
alb,1987,11.28146
alb,1988,17.27683
alb,1989,17.27683
alb,1990,26.94429
alb,1991,39.58294
alb,1992,44.9416
alb,1993,46.64814
alb,1994,46.0946
alb,1995,45.78175
alb,1996,45.78175
alb,1997,45.78175
alb,1998,49.24266
alb,1999,51.98149
alb,2000,53.78513
alb,2001,54.27862
alb,2002,54.27862
alb,2003,53.0754
alb,2004,58.33195
alb,2005,60.08159
alb,2006,60.08159
alb,2007,58.33195
alb,2008,58.33195
alb,2009,58.33195
alb,2010,58.33195
alb,2011,58.33195
alb,2012,58.33195
alb,2013,48.295
alb,2014,48.82088
alb,2015,49.35886
alb,2016,49.35886
alb,2017,49.08564
alb,2018,49.08564
alb,2019,49.63564
are,1975,25.00254
are,1976,25.00254
are,1977,25.00254
are,1978,25.75474
are,1979,25.75474
are,1980,25.75474
are,1981,25.75474
are,1982,25.75474
are,1983,25.75474
are,1984,27.10797
are,1985,27.10797
are,1986,27.10797
are,1987,27.10797
are,1988,27.10797
are,1989,31.71578
are,1990,32.57057
are,1991,32.57057
are,1992,31.34814
are,1993,31.34814
are,1994,31.34814
are,1995,31.34814
are,1996,31.34814
are,1997,31.34814
are,1998,31.34814
are,1999,31.34814
are,2000,33.55046
are,2001,33.55046
are,2002,33.55046
are,2003,33.55046
are,2004,33.55046
are,2005,29.63282
are,2006,29.63282
are,2007,29.63282
are,2008,30.01632
are,2009,30.01632
are,2010,31.4881
are,2011,31.4881
are,2012,33.21317
are,2013,33.21317
are,2014,34.86542
are,2015,34.86542
are,2016,34.86542
are,2017,34.86542
are,2018,32.80629
are,2019,32.80629
arg,1975,64.21602
arg,1976,33.65415
arg,1977,32.7826
arg,1978,32.7826
arg,1979,32.7826
arg,1980,32.7826
arg,1981,32.7826
arg,1982,32.7826
arg,1983,38.13348
arg,1984,69.09252
arg,1985,69.09252
arg,1986,69.09252
arg,1987,69.09252
arg,1988,69.09252
arg,1989,69.09252
arg,1990,68.09902
arg,1991,69.09252
arg,1992,69.09252
arg,1993,69.09252
arg,1994,69.09252
arg,1995,69.09252
arg,1996,69.09252
arg,1997,69.09252
arg,1998,69.09252
arg,1999,69.09252
arg,2000,69.09252
arg,2001,69.09252
arg,2002,69.09252
arg,2003,68.09902
arg,2004,68.09902
arg,2005,68.09902
arg,2006,68.09902
arg,2007,68.09902
arg,2008,68.09902
arg,2009,68.09902
arg,2010,64.32606
arg,2011,64.32606
arg,2012,64.32606
arg,2013,66.68875
arg,2014,66.68875
arg,2015,66.68875
arg,2016,65.02837
arg,2017,65.02837
arg,2018,62.87379
arg,2019,64.93209
arm,1991,44.91978
arm,1992,42.69196
arm,1993,42.01509
arm,1994,41.66118
arm,1995,44.60347
arm,1996,44.48581
arm,1997,40.63588
arm,1998,40.20403
arm,1999,40.20403
arm,2000,40.20403
arm,2001,40.41134
arm,2002,41.03031
arm,2003,41.63032
arm,2004,41.63032
arm,2005,41.63032
arm,2006,41.63032
arm,2007,43.13416
arm,2008,43.30566
arm,2009,46.52187
arm,2010,48.91709
arm,2011,48.91709
arm,2012,48.91709
arm,2013,46.41395
arm,2014,46.41395
arm,2015,46.57816
arm,2016,47.88767
arm,2017,49.5506
arm,2018,53.58137
arm,2019,61.84905
aus,1975,76.6145
aus,1976,76.6145
aus,1977,76.6145
aus,1978,76.6145
aus,1979,76.6145
aus,1980,76.6145
aus,1981,76.6145
aus,1982,76.6145
aus,1983,76.6145
aus,1984,76.6145
aus,1985,76.6145
aus,1986,76.6145
aus,1987,76.6145
aus,1988,76.6145
aus,1989,76.6145
aus,1990,76.6145
aus,1991,76.6145
aus,1992,76.6145
aus,1993,76.6145
aus,1994,76.6145
aus,1995,76.6145
aus,1996,71.21495
aus,1997,69.84935
aus,1998,69.84935
aus,1999,69.84935
aus,2000,70.44807
aus,2001,70.44807
aus,2002,70.44807
aus,2003,70.44807
aus,2004,70.44807
aus,2005,70.44807
aus,2006,70.44807
aus,2007,71.21495
aus,2008,74.72848
aus,2009,74.72848
aus,2010,74.72848
aus,2011,74.72848
aus,2012,74.72848
aus,2013,68.34953
aus,2014,67.36256
aus,2015,66.3189
aus,2016,66.3189
aus,2017,65.38093
aus,2018,64.82096
aus,2019,65.30616
aut,1975,78.86045
aut,1976,78.86045
aut,1977,78.86045
aut,1978,78.86045
aut,1979,79.47736
aut,1980,79.78995
aut,1981,79.78995
aut,1982,79.78995
aut,1983,79.78995
aut,1984,80.01478
aut,1985,80.01478
aut,1986,80.01478
aut,1987,80.01478
aut,1988,80.01478
aut,1989,80.01478
aut,1990,79.35432
aut,1991,79.35432
aut,1992,79.35432
aut,1993,79.35432
aut,1994,79.35432
aut,1995,80.70528
aut,1996,76.8196
aut,1997,76.8196
aut,1998,76.8196
aut,1999,76.8196
aut,2000,70.47765
aut,2001,70.47765
aut,2002,70.47765
aut,2003,70.47765
aut,2004,70.47765
aut,2005,70.47765
aut,2006,71.53393
aut,2007,71.53393
aut,2008,72.59017
aut,2009,73.87041
aut,2010,75.75339
aut,2011,75.75339
aut,2012,75.75339
aut,2013,78.25325
aut,2014,78.25325
aut,2015,76.76746
aut,2016,75.21233
aut,2017,74.19187
aut,2018,74.19187
aut,2019,68.63223
aze,1991,29.51082
aze,1992,29.88254
aze,1993,34.38038
aze,1994,32.84797
aze,1995,31.99423
aze,1996,31.20081
aze,1997,31.20081
aze,1998,30.68965
aze,1999,30.68965
aze,2000,30.15345
aze,2001,30.15345
aze,2002,30.15345
aze,2003,29.00037
aze,2004,29.6112
aze,2005,29.6112
aze,2006,30.06571
aze,2007,29.49714
aze,2008,28.95706
aze,2009,28.63858
aze,2010,26.31207
aze,2011,26.31207
aze,2012,26.31207
aze,2013,25.56689
aze,2014,16.93471
aze,2015,16.93471
aze,2016,21.98306
aze,2017,23.52195
aze,2018,21.60608
aze,2019,22.47957
bdi,1975,34.98805
bdi,1976,36.07051
bdi,1977,37.12084
bdi,1978,37.12084
bdi,1979,37.12084
bdi,1980,37.12084
bdi,1981,37.12084
bdi,1982,37.12084
bdi,1983,37.12084
bdi,1984,37.12084
bdi,1985,37.12084
bdi,1986,37.12084
bdi,1987,37.12084
bdi,1988,37.12084
bdi,1989,41.74638
bdi,1990,41.74638
bdi,1991,44.67519
bdi,1992,48.34328
bdi,1993,53.09371
bdi,1994,50.37502
bdi,1995,50.37502
bdi,1996,50.37502
bdi,1997,49.50598
bdi,1998,49.50598
bdi,1999,49.50598
bdi,2000,50.37502
bdi,2001,50.37502
bdi,2002,50.37502
bdi,2003,51.45039
bdi,2004,53.95851
bdi,2005,50.00273
bdi,2006,48.45378
bdi,2007,48.45378
bdi,2008,48.45378
bdi,2009,48.45378
bdi,2010,46.22743
bdi,2011,46.22743
bdi,2012,46.22743
bdi,2013,45.0945
bdi,2014,43.1431
bdi,2015,34.1142
bdi,2016,24.98753
bdi,2017,26.41976
bdi,2018,26.41976
bdi,2019,26.52314
bel,1975,68.06149
bel,1976,68.9123
bel,1977,68.9123
bel,1978,68.9123
bel,1979,68.9123
bel,1980,67.19649
bel,1981,67.19649
bel,1982,67.19649
bel,1983,67.19649
bel,1984,67.19649
bel,1985,66.60198
bel,1986,72.26688
bel,1987,72.26688
bel,1988,72.26688
bel,1989,72.26688
bel,1990,71.51394
bel,1991,71.51394
bel,1992,71.51394
bel,1993,71.51394
bel,1994,71.51394
bel,1995,71.51394
bel,1996,71.51394
bel,1997,71.51394
bel,1998,71.51394
bel,1999,71.51394
bel,2000,70.76939
bel,2001,70.76939
bel,2002,70.76939
bel,2003,70.76939
bel,2004,70.76939
bel,2005,70.76939
bel,2006,70.76939
bel,2007,70.76939
bel,2008,70.76939
bel,2009,70.76939
bel,2010,70.76939
bel,2011,71.58555
bel,2012,71.58555
bel,2013,71.58555
bel,2014,71.58555
bel,2015,71.58555
bel,2016,70.09513
bel,2017,70.09513
bel,2018,68.61454
bel,2019,69.44985
ben,1975,46.85912
ben,1976,46.85912
ben,1977,46.85912
ben,1978,46.85912
ben,1979,46.85912
ben,1980,46.85912
ben,1981,46.85912
ben,1982,46.85912
ben,1983,46.85912
ben,1984,46.85912
ben,1985,46.85912
ben,1986,46.85912
