country,time,female_hos
afg,1953,Never had a female head of state
afg,1954,Never had a female head of state
afg,1955,Never had a female head of state
afg,1956,Never had a female head of state
afg,1957,Never had a female head of state
afg,1958,Never had a female head of state
afg,1959,Never had a female head of state
afg,1960,Never had a female head of state
afg,1961,Never had a female head of state
afg,1962,Never had a female head of state
afg,1963,Never had a female head of state
afg,1964,Never had a female head of state
afg,1965,Never had a female head of state
afg,1966,Never had a female head of state
afg,1967,Never had a female head of state
afg,1968,Never had a female head of state
afg,1969,Never had a female head of state
afg,1970,Never had a female head of state
afg,1971,Never had a female head of state
afg,1972,Never had a female head of state
afg,1973,Never had a female head of state
afg,1974,Never had a female head of state
afg,1975,Never had a female head of state
afg,1976,Never had a female head of state
afg,1977,Never had a female head of state
afg,1978,Never had a female head of state
afg,1979,Never had a female head of state
afg,1980,Never had a female head of state
afg,1981,Never had a female head of state
afg,1982,Never had a female head of state
afg,1983,Never had a female head of state
afg,1984,Never had a female head of state
afg,1985,Never had a female head of state
afg,1986,Never had a female head of state
afg,1987,Never had a female head of state
afg,1988,Never had a female head of state
afg,1989,Never had a female head of state
afg,1990,Never had a female head of state
afg,1991,Never had a female head of state
afg,1992,Never had a female head of state
afg,1993,Never had a female head of state
afg,1994,Never had a female head of state
afg,1995,Never had a female head of state
afg,1996,Never had a female head of state
afg,1997,Never had a female head of state
afg,1998,Never had a female head of state
afg,1999,Never had a female head of state
afg,2000,Never had a female head of state
afg,2001,Never had a female head of state
afg,2002,Never had a female head of state
afg,2003,Never had a female head of state
afg,2004,Never had a female head of state
afg,2005,Never had a female head of state
afg,2006,Never had a female head of state
afg,2007,Never had a female head of state
afg,2008,Never had a female head of state
afg,2009,Never had a female head of state
afg,2010,Never had a female head of state
afg,2011,Never had a female head of state
afg,2012,Never had a female head of state
afg,2013,Never had a female head of state
afg,2014,Never had a female head of state
afg,2015,Never had a female head of state
afg,2016,Never had a female head of state
afg,2017,Never had a female head of state
afg,2018,Never had a female head of state
afg,2019,Never had a female head of state
afg,2020,Never had a female head of state
afg,2021,Never had a female head of state
ago,1953,Never had a female head of state
ago,1954,Never had a female head of state
ago,1955,Never had a female head of state
ago,1956,Never had a female head of state
ago,1957,Never had a female head of state
ago,1958,Never had a female head of state
ago,1959,Never had a female head of state
ago,1960,Never had a female head of state
ago,1961,Never had a female head of state
ago,1962,Never had a female head of state
ago,1963,Never had a female head of state
ago,1964,Never had a female head of state
ago,1965,Never had a female head of state
ago,1966,Never had a female head of state
ago,1967,Never had a female head of state
ago,1968,Never had a female head of state
ago,1969,Never had a female head of state
ago,1970,Never had a female head of state
ago,1971,Never had a female head of state
ago,1972,Never had a female head of state
ago,1973,Never had a female head of state
ago,1974,Never had a female head of state
ago,1975,Never had a female head of state
ago,1976,Never had a female head of state
ago,1977,Never had a female head of state
ago,1978,Never had a female head of state
ago,1979,Never had a female head of state
ago,1980,Never had a female head of state
ago,1981,Never had a female head of state
ago,1982,Never had a female head of state
ago,1983,Never had a female head of state
ago,1984,Never had a female head of state
ago,1985,Never had a female head of state
ago,1986,Never had a female head of state
ago,1987,Never had a female head of state
ago,1988,Never had a female head of state
ago,1989,Never had a female head of state
ago,1990,Never had a female head of state
ago,1991,Never had a female head of state
ago,1992,Never had a female head of state
ago,1993,Never had a female head of state
ago,1994,Never had a female head of state
ago,1995,Never had a female head of state
ago,1996,Never had a female head of state
ago,1997,Never had a female head of state
ago,1998,Never had a female head of state
ago,1999,Never had a female head of state
ago,2000,Never had a female head of state
ago,2001,Never had a female head of state
ago,2002,Never had a female head of state
ago,2003,Never had a female head of state
ago,2004,Never had a female head of state
ago,2005,Never had a female head of state
ago,2006,Never had a female head of state
ago,2007,Never had a female head of state
ago,2008,Never had a female head of state
ago,2009,Never had a female head of state
ago,2010,Never had a female head of state
ago,2011,Never had a female head of state
ago,2012,Never had a female head of state
ago,2013,Never had a female head of state
ago,2014,Never had a female head of state
ago,2015,Never had a female head of state
ago,2016,Never had a female head of state
ago,2017,Never had a female head of state
ago,2018,Never had a female head of state
ago,2019,Never had a female head of state
ago,2020,Never had a female head of state
ago,2021,Never had a female head of state
alb,1953,Never had a female head of state
alb,1954,Never had a female head of state
alb,1955,Never had a female head of state
alb,1956,Never had a female head of state
alb,1957,Never had a female head of state
alb,1958,Never had a female head of state
alb,1959,Never had a female head of state
alb,1960,Never had a female head of state
alb,1961,Never had a female head of state
alb,1962,Never had a female head of state
alb,1963,Never had a female head of state
alb,1964,Never had a female head of state
alb,1965,Never had a female head of state
alb,1966,Never had a female head of state
alb,1967,Never had a female head of state
alb,1968,Never had a female head of state
alb,1969,Never had a female head of state
alb,1970,Never had a female head of state
alb,1971,Never had a female head of state
alb,1972,Never had a female head of state
alb,1973,Never had a female head of state
alb,1974,Never had a female head of state
alb,1975,Never had a female head of state
alb,1976,Never had a female head of state
alb,1977,Never had a female head of state
alb,1978,Never had a female head of state
alb,1979,Never had a female head of state
alb,1980,Never had a female head of state
alb,1981,Never had a female head of state
alb,1982,Never had a female head of state
alb,1983,Never had a female head of state
alb,1984,Never had a female head of state
alb,1985,Never had a female head of state
alb,1986,Never had a female head of state
alb,1987,Never had a female head of state
alb,1988,Never had a female head of state
alb,1989,Never had a female head of state
alb,1990,Never had a female head of state
alb,1991,Never had a female head of state
alb,1992,Never had a female head of state
alb,1993,Never had a female head of state
alb,1994,Never had a female head of state
alb,1995,Never had a female head of state
alb,1996,Never had a female head of state
alb,1997,Never had a female head of state
alb,1998,Never had a female head of state
alb,1999,Never had a female head of state
alb,2000,Never had a female head of state
alb,2001,Never had a female head of state
alb,2002,Never had a female head of state
alb,2003,Never had a female head of state
alb,2004,Never had a female head of state
alb,2005,Never had a female head of state
alb,2006,Never had a female head of state
