world_4region,time,immigrant_n
africa,1990,15614361
africa,1995,16250496
africa,2000,14902128
africa,2005,15857781
africa,2010,17606150
africa,2015,22646641
africa,2020,25140294
americas,1990,34122871
americas,1995,39320857
americas,2000,46147746
americas,2005,51764091
americas,2010,58476713
americas,2015,64243149
americas,2020,72642744
asia,1990,50019546
asia,1995,48542440
asia,2000,51540186
asia,2005,56474022
asia,2010,70586851
asia,2015,79604146
asia,2020,87593112
europe,1990,52030152
europe,1995,55849559
europe,2000,59166439
europe,2005,65748797
europe,2010,72614014
europe,2015,79673121
europe,2020,93325902
