global,time,matfootp
world,1990,43128655277.3
world,1991,42702048889
world,1992,44516249818.1
world,1993,44697692546.7
world,1994,46359585074.5
world,1995,47996530268.9
world,1996,49306967216.5
world,1997,50534083807.8
world,1998,51726108642.3
world,1999,52625343976.2
world,2000,53830376989.6
world,2001,54814995231.8
world,2002,55532190824
world,2003,58452181088
world,2004,61820712212
world,2005,64573435345
world,2006,67530988432
world,2007,70550170773
world,2008,71760169184
world,2009,72133086567
world,2010,76532873175
world,2011,80470591815
world,2012,81650881155
world,2013,84208815730
world,2014,85550641607
world,2015,87435823397
world,2016,89703138505
world,2017,91974566539
