country,time,npl
ago,2009,2.17
alb,2012,3.8
arm,2011,3.87
aus,2010,28.14
aut,2011,27.02
aze,2001,5.19
bdi,2006,1.54
bel,2010,26.85
ben,2011,1.44
bfa,2009,1.64
bgr,2011,7.95
bih,2007,9.79
blr,2011,7.59
bol,2011,7.63
bra,2011,3.05
btn,2012,2.97
bwa,2009,1.97
caf,2008,1.72
can,2010,23.48
che,2011,31.51
chl,2011,7.17
chn,2011,1.78
civ,2008,2.41
cmr,2007,2.35
cod,2012,1.4
cog,2011,2.75
col,2011,5.42
com,2004,3.89
cri,2011,7.04
cze,2011,12.98
deu,2011,26.39
dnk,2011,26.44
dom,2011,6.66
ecu,2011,4.68
esp,2011,18.63
est,2011,11.07
eth,2011,1.8
fin,2011,26.06
fji,2009,4.49
fra,2011,24.69
gab,2005,3.63
gbr,2011,21.29
geo,2011,1.89
gha,2006,2.23
gin,2012,2.53
gmb,2003,2.45
gnb,2010,2.01
grc,2011,12.85
gtm,2011,5.51
hnd,2011,6.43
hrv,2011,9.62
hti,2012,2.15
hun,2011,9.59
idn,2011,1.85
ind,2012,1.91
irl,2011,20.33
isl,2011,22.7
isr,2010,13.76
ita,2011,20.72
jam,2004,4.07
kaz,2011,4.9
ken,2005,2.39
kgz,2011,3.88
lbr,2007,1.75
lka,2010,2.6
lso,2010,1.76
ltu,2011,9.16
lux,2011,32.39
lva,2011,8.26
mar,2007,2.55
mda,2011,4.86
mdg,2010,1.62
mex,2012,8.02
mkd,2006,4.69
mli,2006,1.82
mne,2011,6.06
mng,2011,5.56
moz,2009,1.45
mrt,2008,3.7
mwi,2010,1.27
mys,2009,3.38
nam,2010,2.14
ner,2011,1.86
nga,2010,1.65
nic,2009,4.49
nld,2012,26.31
nor,2011,35.12
npl,2010,2.2
pak,2006,2.05
pan,2011,6.96
per,2011,5.52
phl,2012,2.44
png,2010,1.92
pol,2011,8
prt,2011,12.81
pry,2011,6.32
pse,2009,6.06
rou,2011,5.24
rus,2011,8.3
rwa,2011,1.46
sdn,2009,3.5
sen,2011,2.21
sle,2011,1.91
slv,2011,5.42
srb,2010,5.42
stp,2001,2.73
svk,2011,15.69
svn,2011,19.37
swe,2011,29.09
swz,2009,3.08
syc,2006,10.08
tcd,2011,2.24
tgo,2011,2.1
tha,2011,5.43
tjk,2009,4.46
tun,2010,3.97
tur,2011,2.82
tza,2012,1.44
uga,2012,1.46
ukr,2011,5.94
ury,2011,6.92
usa,2010,21.7
ven,2006,6.28
vnm,2012,3.35
zaf,2009,5.62
zmb,2007,1.83
