global,time,oil_sp_tot_num
world,1970,36
world,1971,32
world,1972,75
world,1973,59
world,1974,117
world,1975,116
world,1976,93
world,1977,86
world,1978,82
world,1979,92
world,1980,65
world,1981,61
world,1982,50
world,1983,65
world,1984,34
world,1985,41
world,1986,34
world,1987,38
world,1988,21
world,1989,45
world,1990,64
world,1991,37
world,1992,41
world,1993,42
world,1994,35
world,1995,23
world,1996,23
world,1997,38
world,1998,30
world,1999,25
world,2000,25
world,2001,21
world,2002,14
world,2003,23
world,2004,25
world,2005,25
world,2006,16
world,2007,15
world,2008,8
world,2009,9
world,2010,9
world,2011,5
world,2012,7
world,2013,8
world,2014,5
world,2015,8
world,2016,5
world,2017,6
world,2018,7
world,2019,3
world,2020,3
