country,time,popcit_500k_1m
bhs,1995,0
bhs,2000,0
bhs,2005,0
bhs,2010,0
bhs,2015,0
bhs,2020,0
bhs,2025,0
bhs,2030,0
bhs,2035,0
bih,1950,0
bih,1955,0
bih,1960,0
bih,1965,0
bih,1970,0
bih,1975,0
bih,1980,0
bih,1985,0
bih,1990,0
bih,1995,0
bih,2000,0
bih,2005,0
bih,2010,0
bih,2015,0
bih,2020,0
bih,2025,0
bih,2030,0
bih,2035,0
blr,1950,0
blr,1955,0
blr,1960,550710
blr,1965,718938
blr,1970,931566
blr,1975,0
blr,1980,0
blr,1985,0
blr,1990,0
blr,1995,0
blr,2000,0
blr,2005,0
blr,2010,0
blr,2015,523818
blr,2020,557589
blr,2025,575827
blr,2030,581211
blr,2035,581326
blz,1950,0
blz,1955,0
blz,1960,0
blz,1965,0
blz,1970,0
blz,1975,0
blz,1980,0
blz,1985,0
blz,1990,0
blz,1995,0
blz,2000,0
blz,2005,0
blz,2010,0
blz,2015,0
blz,2020,0
blz,2025,0
blz,2030,0
blz,2035,0
bol,1950,0
bol,1955,0
bol,1960,0
bol,1965,516628
bol,1970,606294
bol,1975,711523
bol,1980,821704
bol,1985,943809
bol,1990,616172
bol,1995,1427245
bol,2000,734909
bol,2005,855143
bol,2010,985799
bol,2015,0
bol,2020,0
bol,2025,0
bol,2030,0
bol,2035,0
bra,1950,660569
bra,1955,2585828
bra,1960,2334447
bra,1965,1505990
bra,1970,3786851
bra,1975,4510476
bra,1980,3832475
bra,1985,6269445
bra,1990,5530579
bra,1995,7648743
bra,2000,7793259
bra,2005,8110259
bra,2010,7819511
bra,2015,8493804
bra,2020,8168038
bra,2025,10171068
bra,2030,11078066
bra,2035,9374813
brb,1950,0
brb,1955,0
brb,1960,0
brb,1965,0
brb,1970,0
brb,1975,0
brb,1980,0
brb,1985,0
brb,1990,0
brb,1995,0
brb,2000,0
brb,2005,0
brb,2010,0
brb,2015,0
brb,2020,0
brb,2025,0
brb,2030,0
brb,2035,0
brn,1950,0
brn,1955,0
brn,1960,0
brn,1965,0
brn,1970,0
brn,1975,0
brn,1980,0
brn,1985,0
brn,1990,0
brn,1995,0
brn,2000,0
brn,2005,0
brn,2010,0
brn,2015,0
brn,2020,0
brn,2025,0
brn,2030,0
brn,2035,0
btn,1950,0
btn,1955,0
btn,1960,0
btn,1965,0
btn,1970,0
btn,1975,0
btn,1980,0
btn,1985,0
btn,1990,0
btn,1995,0
btn,2000,0
btn,2005,0
btn,2010,0
btn,2015,0
btn,2020,0
btn,2025,0
btn,2030,0
btn,2035,0
bwa,1950,0
bwa,1955,0
bwa,1960,0
bwa,1965,0
bwa,1970,0
bwa,1975,0
bwa,1980,0
bwa,1985,0
bwa,1990,0
bwa,1995,0
bwa,2000,0
bwa,2005,0
bwa,2010,0
bwa,2015,0
bwa,2020,0
bwa,2025,0
bwa,2030,0
bwa,2035,0
caf,1950,0
caf,1955,0
caf,1960,0
caf,1965,0
caf,1970,0
caf,1975,0
caf,1980,0
caf,1985,0
caf,1990,0
caf,1995,519706
caf,2000,578530
caf,2005,643975
caf,2010,716845
caf,2015,797960
caf,2020,889231
caf,2025,0
caf,2030,0
caf,2035,0
can,1950,556369
