country,time,cc_somw_t_per
afg,2019,40.1
afg,2021,44.7
alb,2019,28.6
alb,2021,22.3
are,2019,25.3
are,2021,23.4
arg,2019,15.3
arg,2021,18.7
arm,2019,38.9
arm,2021,30.5
aus,2019,27.3
aus,2021,27.7
aut,2019,26.2
aut,2021,25.7
aze,2019,37.2
bel,2019,35
bel,2021,39.5
ben,2019,25.9
ben,2021,21.4
bfa,2019,21.4
bfa,2021,28.8
bgd,2019,25.7
bgd,2021,17.9
bgr,2019,38.6
bgr,2021,32.4
bhr,2019,26.8
bih,2019,36.6
bih,2021,24
blr,2019,29.8
bol,2019,19.5
bol,2021,15.8
bra,2019,8.3
bra,2021,12.5
bwa,2019,10.4
can,2019,29.3
can,2021,23.8
che,2019,35.1
che,2021,37
chl,2019,8.1
chl,2021,6.9
chn,2019,35.7
chn,2021,40.8
civ,2019,15.6
civ,2021,25
cmr,2019,29.7
cmr,2021,28.3
cog,2019,20.9
cog,2021,16.9
col,2019,14
col,2021,13
cri,2019,11.1
cri,2021,11.8
cyp,2019,12.6
cyp,2021,13.3
cze,2021,39.2
deu,2019,35.8
deu,2021,32
dnk,2019,48
dnk,2021,49.4
dom,2019,16.8
dom,2021,13
dza,2019,47.4
dza,2021,40.7
ecu,2019,15.6
ecu,2021,18.1
egy,2019,39.2
egy,2021,36.5
esp,2019,11
esp,2021,14.7
est,2019,43.5
est,2021,49.9
eth,2019,32.8
fin,2019,55.1
fin,2021,54
fra,2019,35
fra,2021,33.4
gab,2019,20.9
gab,2021,36
gbr,2019,20.2
gbr,2021,21.8
geo,2019,34.5
geo,2021,24.4
gha,2019,28.3
gha,2021,27.8
gin,2019,24.1
gin,2021,24.8
gmb,2019,12.1
grc,2019,16.3
grc,2021,13.2
gtm,2019,13.9
hkg,2019,55.4
hkg,2021,58.5
hnd,2019,14.9
hnd,2021,13
hrv,2019,41.4
hrv,2021,21.9
hun,2019,28.1
hun,2021,27.5
idn,2019,22.2
idn,2021,24.8
ind,2019,26.5
ind,2021,23.8
irl,2019,22.4
irl,2021,26.7
irn,2019,27.6
irn,2021,26.9
irq,2019,34.4
irq,2021,24.9
isl,2021,44.2
isr,2019,42.5
isr,2021,40.3
ita,2019,23.3
ita,2021,26.2
jam,2019,12.2
jam,2021,8.3
jor,2019,39.8
jor,2021,32.2
jpn,2019,34.3
jpn,2021,35
kaz,2019,25.6
kaz,2021,27.5
ken,2019,15.8
ken,2021,18.9
kgz,2019,25.8
kgz,2021,31.8
khm,2019,23.4
khm,2021,33.3
kor,2019,39.6
kor,2021,29.6
kwt,2019,24.9
lao,2019,11.9
lao,2021,15.2
lbn,2019,51.5
lbn,2021,45
lbr,2019,10.4
lby,2019,26.7
lka,2019,36.4
lka,2021,34.3
lso,2019,4
ltu,2019,37.2
ltu,2021,49.9
lux,2019,37.5
lva,2019,41
lva,2021,38.4
mar,2019,10.8
mar,2021,13.7
mda,2019,31.8
mda,2021,30.7
mdg,2019,35
mex,2019,17.2
mex,2021,17.9
mkd,2019,31.1
mkd,2021,19.7
mli,2019,20
mli,2021,23.2
mlt,2019,23.3
mlt,2021,21.5
mmr,2019,37.1
mmr,2021,39.6
mne,2019,42.9
mng,2019,39.7
mng,2021,41.8
moz,2019,15.1
moz,2021,12.2
mrt,2019,30
mus,2019,30.7
mus,2021,37.3
mwi,2019,8.7
mys,2019,30.8
mys,2021,28.1
nam,2019,12.8
nam,2021,15.5
ner,2019,18.2
nga,2019,23.3
nga,2021,22.8
nic,2019,21.8
nic,2021,11.5
nld,2019,44.8
nld,2021,39.7
nor,2019,42.9
nor,2021,39.4
npl,2019,13.2
npl,2021,17.9
nzl,2019,35.6
nzl,2021,34.7
pak,2019,41.9
pak,2021,35.3
pan,2019,18.5
pan,2021,15.8
per,2019,18.1
per,2021,20.8
phl,2019,18.2
phl,2021,17.8
pol,2019,34.1
pol,2021,15.8
prt,2019,10.3
prt,2021,15.1
pry,2019,16.2
pry,2021,20.4
pse,2019,44.8
rou,2019,11.9
rou,2021,9.2
rus,2019,22.7
rus,2021,30.6
rwa,2019,16.2
sau,2019,28.6
sau,2021,21.4
sen,2019,32.3
sen,2021,27.1
sgp,2019,19.9
sgp,2021,27.3
sle,2019,18.2
sle,2021,9.9
slv,2019,19
slv,2021,13.1
srb,2019,35.6
srb,2021,22.1
svk,2019,48.1
svk,2021,26.7
svn,2019,36.2
svn,2021,31.6
swe,2019,44
swe,2021,39.4
swz,2019,14
tcd,2019,23.3
tgo,2019,27.3
tgo,2021,27.9
tha,2019,34.2
tha,2021,37.2
tjk,2019,23.7
tjk,2021,28.7
tkm,2019,33.2
tun,2019,26.6
tun,2021,29.6
tur,2019,25
tur,2021,18.7
twn,2019,33.5
twn,2021,35.3
tza,2019,18.9
tza,2021,19.2
uga,2019,16.2
uga,2021,18.6
ukr,2019,25.6
ukr,2021,25
ury,2019,15.6
ury,2021,23.1
usa,2019,25.3
usa,2021,22.2
uzb,2019,32.3
uzb,2021,36
ven,2019,21.7
ven,2021,17.7
vnm,2019,20.7
vnm,2021,25.4
yem,2019,31.6
zaf,2019,11.6
zaf,2021,17.3
zmb,2019,9.8
zmb,2021,15.2
zwe,2019,15.5
zwe,2021,24.8
