global,time,popcit_5_10m
world,1950,32171681
world,1955,57007156
world,1960,59505799
world,1965,86212553
world,1970,107259766
world,1975,107966049
world,1980,139605527
world,1985,128399796
world,1990,156171978
world,1995,162655412
world,2000,213794333
world,2005,247683468
world,2010,269408067
world,2015,310164526
world,2020,348132322
world,2025,403943544
world,2030,447814675
world,2035,492676623
