global,time,matfootp_cap
world,1990,8.18
world,1991,8.02
world,1992,8.21
world,1993,8.09
world,1994,8.27
world,1995,8.44
world,1996,8.55
world,1997,8.64
world,1998,8.73
world,1999,8.77
world,2000,8.86
world,2001,8.91
world,2002,8.91
world,2003,9.26
world,2004,9.68
world,2005,9.98
world,2006,10.3
world,2007,10.63
world,2008,10.66
world,2009,10.59
world,2010,11.1
world,2011,11.61
world,2012,11.58
world,2013,11.8
world,2014,11.85
world,2015,11.97
world,2016,12.02
world,2017,12.19
