country,time,legslav_status
afg,1800,Legal
afg,1801,Legal
afg,1802,Legal
afg,1803,Legal
afg,1804,Legal
afg,1805,Legal
afg,1806,Legal
afg,1807,Legal
afg,1808,Legal
afg,1809,Legal
afg,1810,Legal
afg,1811,Legal
afg,1812,Legal
afg,1813,Legal
afg,1814,Legal
afg,1815,Legal
afg,1816,Legal
afg,1817,Legal
afg,1818,Legal
afg,1819,Legal
afg,1820,Legal
afg,1821,Legal
afg,1822,Legal
afg,1823,Legal
afg,1824,Legal
afg,1825,Legal
afg,1826,Legal
afg,1827,Legal
afg,1828,Legal
afg,1829,Legal
afg,1830,Legal
afg,1831,Legal
afg,1832,Legal
afg,1833,Legal
afg,1834,Legal
afg,1835,Legal
afg,1836,Legal
afg,1837,Legal
afg,1838,Legal
afg,1839,Legal
afg,1840,Legal
afg,1841,Legal
afg,1842,Legal
afg,1843,Legal
afg,1844,Legal
afg,1845,Legal
afg,1846,Legal
afg,1847,Legal
afg,1848,Legal
afg,1849,Legal
afg,1850,Legal
afg,1851,Legal
afg,1852,Legal
afg,1853,Legal
afg,1854,Legal
afg,1855,Legal
afg,1856,Legal
afg,1857,Legal
afg,1858,Legal
afg,1859,Legal
afg,1860,Legal
afg,1861,Legal
afg,1862,Legal
afg,1863,Legal
afg,1864,Legal
afg,1865,Legal
afg,1866,Legal
afg,1867,Legal
afg,1868,Legal
afg,1869,Legal
afg,1870,Legal
afg,1871,Legal
afg,1872,Legal
afg,1873,Legal
afg,1874,Legal
afg,1875,Legal
afg,1876,Legal
afg,1877,Legal
afg,1878,Legal
afg,1879,Legal
afg,1880,Legal
afg,1881,Legal
afg,1882,Legal
afg,1883,Legal
afg,1884,Legal
afg,1885,Legal
afg,1886,Legal
afg,1887,Legal
afg,1888,Legal
afg,1889,Legal
afg,1890,Legal
afg,1891,Legal
afg,1892,Legal
afg,1893,Legal
afg,1894,Legal
afg,1895,Legal
afg,1896,Legal
afg,1897,Legal
afg,1898,Legal
afg,1899,Legal
afg,1900,Legal
afg,1901,Legal
afg,1902,Legal
afg,1903,Legal
afg,1904,Legal
afg,1905,Legal
afg,1906,Legal
afg,1907,Legal
afg,1908,Legal
afg,1909,Legal
afg,1910,Legal
afg,1911,Legal
afg,1912,Legal
afg,1913,Legal
afg,1914,Legal
afg,1915,Legal
afg,1916,Legal
afg,1917,Legal
afg,1918,Legal
afg,1919,Legal
afg,1920,Legal
afg,1921,Legal
afg,1922,Legal
afg,1923,Illegal
afg,1924,Illegal
afg,1925,Illegal
afg,1926,Illegal
afg,1927,Illegal
afg,1928,Illegal
afg,1929,Illegal
afg,1930,Illegal
afg,1931,Illegal
afg,1932,Illegal
afg,1933,Illegal
afg,1934,Illegal
afg,1935,Illegal
afg,1936,Illegal
afg,1937,Illegal
afg,1938,Illegal
afg,1939,Illegal
afg,1940,Illegal
afg,1941,Illegal
afg,1942,Illegal
afg,1943,Illegal
afg,1944,Illegal
afg,1945,Illegal
afg,1946,Illegal
afg,1947,Illegal
afg,1948,Illegal
afg,1949,Illegal
afg,1950,Illegal
afg,1951,Illegal
afg,1952,Illegal
afg,1953,Illegal
afg,1954,Illegal
afg,1955,Illegal
afg,1956,Illegal
afg,1957,Illegal
afg,1958,Illegal
afg,1959,Illegal
afg,1960,Illegal
afg,1961,Illegal
afg,1962,Illegal
afg,1963,Illegal
afg,1964,Illegal
afg,1965,Illegal
afg,1966,Illegal
afg,1967,Illegal
afg,1968,Illegal
afg,1969,Illegal
afg,1970,Illegal
afg,1971,Illegal
afg,1972,Illegal
afg,1973,Illegal
afg,1974,Illegal
afg,1975,Illegal
afg,1976,Illegal
afg,1977,Illegal
afg,1978,Illegal
afg,1979,Illegal
afg,1980,Illegal
afg,1981,Illegal
afg,1982,Illegal
afg,1983,Illegal
afg,1984,Illegal
afg,1985,Illegal
afg,1986,Illegal
afg,1987,Illegal
afg,1988,Illegal
afg,1989,Illegal
afg,1990,Illegal
afg,1991,Illegal
afg,1992,Illegal
afg,1993,Illegal
afg,1994,Illegal
afg,1995,Illegal
afg,1996,Illegal
afg,1997,Illegal
afg,1998,Illegal
afg,1999,Illegal
afg,2000,Illegal
afg,2001,Illegal
afg,2002,Illegal
afg,2003,Illegal
afg,2004,Illegal
afg,2005,Illegal
afg,2006,Illegal
afg,2007,Illegal
afg,2008,Illegal
afg,2009,Illegal
afg,2010,Illegal
afg,2011,Illegal
afg,2012,Illegal
afg,2013,Illegal
afg,2014,Illegal
afg,2015,Illegal
afg,2016,Illegal
afg,2017,Illegal
afg,2018,Illegal
afg,2019,Illegal
afg,2020,Illegal
ago,1800,Legal
ago,1801,Legal
ago,1802,Legal
ago,1803,Legal
ago,1804,Legal
ago,1805,Legal
ago,1806,Legal
ago,1807,Legal
ago,1808,Legal
ago,1809,Legal
ago,1810,Legal
ago,1811,Legal
ago,1812,Legal
ago,1813,Legal
ago,1814,Legal
ago,1815,Legal
ago,1816,Legal
ago,1817,Legal
ago,1818,Legal
ago,1819,Legal
ago,1820,Legal
ago,1821,Legal
ago,1822,Legal
ago,1823,Legal
ago,1824,Legal
ago,1825,Legal
ago,1826,Legal
ago,1827,Legal
ago,1828,Legal
ago,1829,Legal
ago,1830,Legal
ago,1831,Legal
ago,1832,Legal
ago,1833,Legal
ago,1834,Legal
ago,1835,Legal
ago,1836,Legal
ago,1837,Legal
ago,1838,Legal
ago,1839,Legal
ago,1840,Legal
ago,1841,Legal
ago,1842,Legal
ago,1843,Legal
ago,1844,Legal
ago,1845,Legal
ago,1846,Legal
ago,1847,Legal
ago,1848,Legal
ago,1849,Legal
ago,1850,Legal
ago,1851,Legal
ago,1852,Legal
ago,1853,Legal
ago,1854,Legal
ago,1855,Legal
ago,1856,Legal
ago,1857,Legal
ago,1858,Legal
ago,1859,Legal
ago,1860,Legal
ago,1861,Legal
ago,1862,Legal
ago,1863,Legal
ago,1864,Legal
ago,1865,Legal
ago,1866,Legal
ago,1867,Legal
ago,1868,Legal
ago,1869,Legal
ago,1870,Legal
ago,1871,Legal
ago,1872,Legal
ago,1873,Legal
ago,1874,Legal
ago,1875,Legal
ago,1876,Legal
ago,1877,Legal
ago,1878,Legal
ago,1879,Legal
ago,1880,Legal
ago,1881,Legal
ago,1882,Legal
ago,1883,Legal
ago,1884,Legal
ago,1885,Legal
ago,1886,Legal
ago,1887,Legal
ago,1888,Legal
ago,1889,Legal
ago,1890,Legal
ago,1891,Legal
ago,1892,Legal
ago,1893,Legal
ago,1894,Legal
ago,1895,Legal
ago,1896,Legal
ago,1897,Legal
ago,1898,Legal
ago,1899,Legal
ago,1900,Legal
ago,1901,Legal
ago,1902,Legal
ago,1903,Legal
ago,1904,Legal
ago,1905,Legal
ago,1906,Legal
ago,1907,Legal
ago,1908,Legal
ago,1909,Legal
ago,1910,Legal
ago,1911,Legal
ago,1912,Legal
ago,1913,Legal
ago,1914,Legal
ago,1915,Legal
ago,1916,Legal
ago,1917,Legal
ago,1918,Legal
ago,1919,Legal
ago,1920,Legal
ago,1921,Legal
ago,1922,Legal
ago,1923,Legal
ago,1924,Legal
ago,1925,Legal
ago,1926,Legal
ago,1927,Legal
ago,1928,Legal
ago,1929,Legal
ago,1930,Legal
ago,1931,Legal
ago,1932,Legal
ago,1933,Legal
ago,1934,Legal
ago,1935,Legal
ago,1936,Legal
ago,1937,Legal
ago,1938,Legal
ago,1939,Legal
ago,1940,Legal
ago,1941,Legal
ago,1942,Legal
ago,1943,Legal
ago,1944,Legal
ago,1945,Legal
ago,1946,Legal
ago,1947,Legal
ago,1948,Legal
ago,1949,Legal
ago,1950,Legal
ago,1951,Legal
ago,1952,Legal
ago,1953,Legal
ago,1954,Legal
ago,1955,Legal
ago,1956,Legal
ago,1957,Legal
ago,1958,Legal
ago,1959,Legal
ago,1960,Legal
ago,1961,Legal
ago,1962,Legal
ago,1963,Legal
ago,1964,Legal
ago,1965,Legal
ago,1966,Legal
ago,1967,Legal
ago,1968,Legal
ago,1969,Legal
ago,1970,Legal
ago,1971,Legal
ago,1972,Legal
ago,1973,Legal
ago,1974,Legal
ago,1975,Legal
ago,1976,Illegal
ago,1977,Illegal
ago,1978,Illegal
ago,1979,Illegal
ago,1980,Illegal
ago,1981,Illegal
ago,1982,Illegal
ago,1983,Illegal
ago,1984,Illegal
ago,1985,Illegal
ago,1986,Illegal
ago,1987,Illegal
ago,1988,Illegal
ago,1989,Illegal
ago,1990,Illegal
ago,1991,Illegal
ago,1992,Illegal
ago,1993,Illegal
ago,1994,Illegal
ago,1995,Illegal
ago,1996,Illegal
ago,1997,Illegal
ago,1998,Illegal
ago,1999,Illegal
ago,2000,Illegal
ago,2001,Illegal
ago,2002,Illegal
ago,2003,Illegal
ago,2004,Illegal
ago,2005,Illegal
ago,2006,Illegal
ago,2007,Illegal
ago,2008,Illegal
ago,2009,Illegal
ago,2010,Illegal
ago,2011,Illegal
ago,2012,Illegal
ago,2013,Illegal
ago,2014,Illegal
ago,2015,Illegal
ago,2016,Illegal
ago,2017,Illegal
ago,2018,Illegal
ago,2019,Illegal
ago,2020,Illegal
alb,1800,Legal
alb,1801,Legal
alb,1802,Legal
alb,1803,Legal
alb,1804,Legal
alb,1805,Legal
alb,1806,Legal
alb,1807,Legal
alb,1808,Legal
alb,1809,Legal
alb,1810,Legal
alb,1811,Legal
alb,1812,Legal
alb,1813,Legal
alb,1814,Legal
alb,1815,Legal
alb,1816,Legal
alb,1817,Legal
alb,1818,Legal
alb,1819,Legal
alb,1820,Legal
alb,1821,Legal
alb,1822,Legal
alb,1823,Legal
alb,1824,Legal
alb,1825,Legal
alb,1826,Legal
alb,1827,Legal
alb,1828,Legal
alb,1829,Legal
alb,1830,Legal
alb,1831,Legal
alb,1832,Legal
alb,1833,Legal
alb,1834,Legal
alb,1835,Legal
alb,1836,Legal
alb,1837,Legal
alb,1838,Legal
alb,1839,Legal
alb,1840,Legal
alb,1841,Legal
alb,1842,Legal
alb,1843,Legal
alb,1844,Legal
alb,1845,Legal
alb,1846,Legal
alb,1847,Legal
alb,1848,Legal
alb,1849,Legal
alb,1850,Legal
alb,1851,Legal
alb,1852,Legal
alb,1853,Legal
alb,1854,Legal
alb,1855,Legal
alb,1856,Legal
alb,1857,Legal
alb,1858,Legal
alb,1859,Legal
alb,1860,Legal
alb,1861,Legal
alb,1862,Legal
alb,1863,Legal
alb,1864,Legal
alb,1865,Legal
alb,1866,Legal
alb,1867,Legal
alb,1868,Legal
alb,1869,Legal
alb,1870,Legal
alb,1871,Legal
alb,1872,Legal
alb,1873,Legal
alb,1874,Legal
alb,1875,Legal
alb,1876,Legal
alb,1877,Legal
alb,1878,Legal
alb,1879,Legal
alb,1880,Legal
alb,1881,Legal
alb,1882,Legal
alb,1883,Legal
alb,1884,Legal
alb,1885,Legal
alb,1886,Legal
alb,1887,Legal
alb,1888,Legal
alb,1889,Legal
alb,1890,Legal
alb,1891,Legal
alb,1892,Legal
alb,1893,Legal
alb,1894,Legal
alb,1895,Legal
alb,1896,Legal
alb,1897,Legal
alb,1898,Legal
alb,1899,Legal
alb,1900,Legal
alb,1901,Legal
alb,1902,Legal
alb,1903,Legal
alb,1904,Legal
alb,1905,Legal
alb,1906,Legal
alb,1907,Legal
alb,1908,Legal
alb,1909,Legal
alb,1910,Legal
alb,1911,Legal
alb,1912,Legal
alb,1913,Legal
alb,1914,Legal
alb,1915,Legal
