country,time,gendereq_idea
afg,1975,4.35995
afg,1976,4.35995
afg,1977,4.35995
afg,1978,1.52873
afg,1979,9.85626
afg,1980,9.85626
afg,1981,6.4801
afg,1982,9.78248
afg,1983,9.78248
afg,1984,9.78248
afg,1985,9.78248
afg,1986,9.78248
afg,1987,9.78248
afg,1988,12.18233
afg,1989,12.18233
afg,1990,12.18233
afg,1991,9.52907
afg,1992,11.64446
afg,1993,4.35995
afg,1994,4.35995
afg,1995,4.35995
afg,1996,0
afg,1997,0
afg,1998,0
afg,1999,0
afg,2000,0
afg,2001,0
afg,2002,15.206
afg,2003,24.13649
afg,2004,27.22948
afg,2005,29.49403
afg,2006,29.49403
afg,2007,30.64528
afg,2008,29.49403
afg,2009,29.49403
afg,2010,29.49403
afg,2011,29.49403
afg,2012,29.49403
afg,2013,28.65746
afg,2014,28.65746
afg,2015,28.65746
afg,2016,25.58198
afg,2017,24.86531
afg,2018,28.51681
afg,2019,30.78361
ago,1975,27.72264
ago,1976,34.7319
ago,1977,34.7319
ago,1978,34.7319
ago,1979,34.7319
ago,1980,36.61284
ago,1981,37.47776
ago,1982,37.35872
ago,1983,37.35872
ago,1984,37.47776
ago,1985,37.47776
ago,1986,38.16196
ago,1987,38.53801
ago,1988,38.45016
ago,1989,38.45016
ago,1990,38.45016
ago,1991,38.67352
ago,1992,37.10581
ago,1993,38.89531
ago,1994,37.41754
ago,1995,37.41754
ago,1996,37.41754
ago,1997,37.41754
ago,1998,37.96159
ago,1999,38.23524
ago,2000,39.76944
ago,2001,39.76944
ago,2002,41.39313
ago,2003,46.13067
ago,2004,46.13067
ago,2005,46.13067
ago,2006,46.13067
ago,2007,46.13067
ago,2008,45.45922
ago,2009,46.42521
ago,2010,48.74495
ago,2011,50.70571
ago,2012,50.70571
ago,2013,49.50508
ago,2014,49.50508
ago,2015,49.50508
ago,2016,47.95751
ago,2017,53.37093
ago,2018,53.48506
ago,2019,63.78396
alb,1975,48.63922
alb,1976,50.49319
alb,1977,50.49319
alb,1978,50.49319
alb,1979,50.49319
alb,1980,49.23275
alb,1981,49.16398
alb,1982,49.05362
alb,1983,49.05362
alb,1984,49.05362
alb,1985,49.05362
alb,1986,49.05362
alb,1987,49.05362
alb,1988,49.38527
alb,1989,49.38527
alb,1990,51.07052
alb,1991,43.306
alb,1992,45.66632
alb,1993,46.94049
alb,1994,48.17946
alb,1995,48.17946
alb,1996,49.32796
