world_4region,time,percit_300_500k
africa,1950,0.93
africa,1955,0.69
africa,1960,0.91
africa,1965,1.67
africa,1970,1.8
africa,1975,2.03
africa,1980,2.64
africa,1985,2.56
africa,1990,2.64
africa,1995,2.3
africa,2000,2.3
africa,2005,2.5
africa,2010,2.43
africa,2015,2.93
africa,2020,2.7
africa,2025,2.55
africa,2030,2.66
africa,2035,2.47
americas,1950,3.17
americas,1955,3.66
americas,1960,4.08
americas,1965,3.67
americas,1970,3.41
americas,1975,3.55
americas,1980,3.68
americas,1985,4.1
americas,1990,4.12
americas,1995,3.84
americas,2000,3.97
americas,2005,4.55
americas,2010,4.79
americas,2015,5.45
americas,2020,5.18
americas,2025,5.52
americas,2030,5.63
americas,2035,5.95
asia,1950,1.02
asia,1955,1.24
asia,1960,1.5
asia,1965,1.41
asia,1970,1.36
asia,1975,1.52
asia,1980,1.53
asia,1985,1.73
asia,1990,2.08
asia,1995,2.45
asia,2000,2.74
asia,2005,2.89
asia,2010,3.1
asia,2015,3.06
asia,2020,3.11
asia,2025,3.36
asia,2030,3.35
asia,2035,3.27
europe,1950,3.87
europe,1955,3.54
europe,1960,4.07
europe,1965,4.5
europe,1970,4.79
europe,1975,4.72
europe,1980,5.16
europe,1985,5.34
europe,1990,5.85
europe,1995,5.82
europe,2000,5.74
europe,2005,5.71
europe,2010,5.66
europe,2015,5.68
europe,2020,5.58
europe,2025,5.74
europe,2030,5.75
europe,2035,5.85
