country,time,non_net_users_num
afg,1990,12412311
afg,1991,13299016
afg,1992,14485543
afg,1993,15816601
afg,1994,17075728
afg,1995,18110662
afg,2001,21605972
afg,2002,22599743
afg,2003,23660058
afg,2004,24700526
afg,2005,25340227
afg,2006,25876082
afg,2007,26585632
afg,2008,27212191
afg,2009,27386790
afg,2010,28018091
afg,2011,28611540
afg,2012,29461665
afg,2013,30365686
afg,2014,31034848
afg,2015,31571039
afg,2016,31420129
afg,2017,31396136
afg,2018,32153713
afg,2019,32906120
ago,1990,11848385
ago,1991,12248901
ago,1992,12657361
ago,1993,13075044
ago,1994,13503753
ago,1995,13945205
ago,1996,14400610
ago,1997,14870728
ago,1998,15356766
ago,1999,15855453
ago,2000,16378254
ago,2001,16922704
ago,2002,17472050
ago,2003,18054304
ago,2004,18670947
ago,2005,19211406
ago,2006,19847656
ago,2007,20549969
ago,2008,21283419
ago,2009,21996447
ago,2010,22702272
ago,2011,23469820
ago,2012,23475910
ago,2013,23700381
ago,2014,21176234
ago,2015,24426717
ago,2016,25092959
ago,2017,25541313
ago,2018,26391941
ago,2019,27261838
alb,1990,3286070
alb,1991,3280397
alb,1992,3245887
alb,1993,3195196
alb,1994,3146518
alb,1995,3112575
alb,1996,3097701
alb,1997,3098241
alb,1998,3108676
alb,1999,3120157
alb,2000,3125676
alb,2001,3119504
alb,2002,3113988
alb,2003,3087713
alb,2004,3029742
alb,2005,2900247
alb,2006,2768665
alb,2007,2577799
alb,2008,2286243
alb,2009,1748150
alb,2010,1621416
alb,2011,1493587
alb,2012,1321365
alb,2013,1242821
alb,2014,1155626
alb,2015,1062184
alb,2016,970896
alb,2017,811980
alb,2018,811576
alb,2019,874562
and,1990,54508
and,1991,56666
and,1992,58882
and,1993,60974
and,1994,62676
and,1995,63860
and,1996,63380
and,1997,62356
and,1998,59723
and,1999,59453
and,2000,58499
and,2001,60247
and,2002,62160
and,2003,63267
and,2004,55786
and,2005,49211
and,2006,41359
and,2007,24085
and,2008,25124
and,2009,18134
and,2010,16046
and,2011,15912
and,2012,11182
and,2013,4846
and,2014,3248
and,2015,2410
and,2016,1600
and,2017,6493
and,2018,6494
and,2019,6505
are,1990,1828437
are,1991,1937159
are,1992,2052892
are,1993,2173135
are,1994,2294377
are,1995,2412613
are,1996,2529589
are,1997,2583324
are,1998,2618869
are,1999,2522824
are,2000,2393634
are,2001,2435037
are,2002,2493703
are,2003,2617728
are,2004,2842662
are,2005,2752933
are,2006,2544083
are,2007,2405850
are,2008,2623110
are,2009,2850252
are,2010,2735999
are,2011,1968291
are,2012,1371240
are,2013,1103749
are,2014,884561
are,2015,879975
are,2016,879932
are,2017,491447
are,2018,149280
are,2019,83049
arg,1990,32618648
arg,1991,33079002
arg,1992,33528317
arg,1993,33960073
arg,1994,34387633
arg,1995,34798119
arg,1996,35196342
arg,1997,35557476
arg,1998,35763848
arg,1999,35269460
arg,2000,34275579
arg,2001,33629784
arg,2002,33581178
arg,2003,33550192
arg,2004,32319128
arg,2005,32000865
arg,2006,31067605
arg,2007,29387576
arg,2008,28812584
arg,2009,26718639
arg,2010,22492663
arg,2011,20247044
arg,2012,18455793
arg,2013,16920610
arg,2014,15051040
arg,2015,13765568
arg,2016,12630941
arg,2017,11294087
arg,2018,11403078
arg,2019,11510917
arm,1990,3538164
arm,1991,3505249
arm,1992,3442820
arm,1993,3363111
arm,1994,3283365
arm,1995,3215652
arm,1996,3165217
arm,1997,3129583
arm,1998,3104691
arm,1999,3059034
arm,2000,3029678
arm,2001,3000927
arm,2002,2974498
arm,2003,2879861
arm,2004,2853710
