country,time,pisec_idea
afg,1975,27.84354
afg,1976,29.27179
afg,1977,29.27179
afg,1978,22.99005
afg,1979,23.3098
afg,1980,23.3098
afg,1981,21.77231
afg,1982,21.77231
afg,1983,21.77231
afg,1984,21.77231
afg,1985,21.77231
afg,1986,21.77231
afg,1987,21.77231
afg,1988,21.77231
afg,1989,21.77231
afg,1990,20.58195
afg,1991,16.33515
afg,1992,10.32661
afg,1993,10.32661
afg,1994,10.48696
afg,1995,10.48696
afg,1996,8.71964
afg,1997,8.71964
afg,1998,8.71964
afg,1999,8.71964
afg,2000,8.71964
afg,2001,22.61103
afg,2002,39.15956
afg,2003,39.97132
afg,2004,39.68806
afg,2005,39.6509
afg,2006,39.6509
afg,2007,39.6509
afg,2008,39.05554
afg,2009,39.05554
afg,2010,39.34246
afg,2011,38.65559
afg,2012,38.9428
afg,2013,35.51153
afg,2014,35.99421
afg,2015,35.37588
afg,2016,34.22422
afg,2017,35.52334
afg,2018,37.63103
afg,2019,33.2028
ago,1975,24.75333
ago,1976,22.27221
ago,1977,21.46428
ago,1978,22.27221
ago,1979,22.92268
ago,1980,22.27221
ago,1981,23.68532
ago,1982,22.33275
ago,1983,20.43938
ago,1984,21.94278
ago,1985,20.67058
ago,1986,20.4221
ago,1987,20.02726
ago,1988,21.33188
ago,1989,19.87308
ago,1990,24.33322
ago,1991,25.95531
ago,1992,25.33216
ago,1993,24.32108
ago,1994,24.32108
ago,1995,24.24333
ago,1996,24.38688
ago,1997,24.74281
ago,1998,23.78328
ago,1999,24.32108
ago,2000,24.24333
ago,2001,25.22878
ago,2002,26.10074
ago,2003,32.45293
ago,2004,33.15872
ago,2005,35.60602
ago,2006,38.06686
ago,2007,37.07764
ago,2008,37.98028
ago,2009,37.07764
ago,2010,38.95227
ago,2011,38.5453
ago,2012,38.5453
ago,2013,37.63249
ago,2014,37.63249
ago,2015,38.20588
ago,2016,38.20588
ago,2017,36.83662
ago,2018,40.79551
ago,2019,40.64392
alb,1975,2.97977
alb,1976,6.06492
alb,1977,8.19608
alb,1978,8.19608
alb,1979,8.19608
alb,1980,8.19608
alb,1981,9.27974
alb,1982,10.49963
alb,1983,10.49963
alb,1984,11.43172
alb,1985,21.2894
