country,time,percit_less_300k
afg,1950,6
afg,1955,7.11
afg,1960,8.4
afg,1965,6.18
afg,1970,7.37
afg,1975,8.22
afg,1980,8.54
afg,1985,8.36
afg,1990,8.42
afg,1995,9.77
afg,2000,9.79
afg,2005,9.55
afg,2010,9.61
afg,2015,9.74
afg,2020,9.61
afg,2025,10.15
afg,2030,10.84
afg,2035,11.06
ago,1950,7.58
ago,1955,9.03
ago,1960,10.79
ago,1965,7.98
ago,1970,9.41
ago,1975,12.4
ago,1980,16.77
ago,1985,21.92
ago,1990,22.96
ago,1995,27.4
ago,2000,28.28
ago,2005,28.17
ago,2010,25.8
ago,2015,23.81
ago,2020,24.85
ago,2025,25.98
ago,2030,26.76
ago,2035,27.45
alb,1950,20.53
alb,1955,26.86
alb,1960,30.7
alb,1965,31.23
alb,1970,31.74
alb,1975,32.71
alb,1980,33.74
alb,1985,35.05
alb,1990,36.38
alb,1995,38.83
alb,2000,30.93
alb,2005,34.57
alb,2010,38.17
alb,2015,42.54
alb,2020,46.34
alb,2025,49.75
alb,2030,52.85
alb,2035,55.45
are,1950,54.49
are,1955,64.57
are,1960,73.67
are,1965,77.99
are,1970,80.14
are,1975,80.68
are,1980,82.52
are,1985,56.03
are,1990,36.48
are,1995,23.37
are,2000,21.14
are,2005,25.45
are,2010,33.81
are,2015,23.15
are,2020,15.1
are,2025,11.46
are,2030,11.69
are,2035,12.36
arg,1950,29.67
arg,1955,30.89
arg,1960,29.83
arg,1965,30.96
arg,1970,30.29
arg,1975,30.91
arg,1980,32.09
arg,1985,32.75
arg,1990,34.99
arg,1995,35.8
arg,2000,35.13
arg,2005,34.74
arg,2010,33.17
arg,2015,33.43
arg,2020,34.12
arg,2025,33.11
arg,2030,33.21
arg,2035,33.37
arm,1950,15.11
arm,1955,18.35
arm,1960,22.58
arm,1965,26.33
arm,1970,29.05
arm,1975,31.45
arm,1980,32.45
arm,1985,33.43
arm,1990,34.22
arm,1995,30.55
arm,2000,28.46
arm,2005,27.47
arm,2010,26.41
arm,2015,26.28
arm,2020,26.13
arm,2025,26.26
arm,2030,26.69
arm,2035,27.35
atg,1950,30.59
atg,1955,37.17
atg,1960,40.54
atg,1965,37.91
atg,1970,35.35
atg,1975,39.1
atg,1980,41.1
atg,1985,39.55
atg,1990,37.78
atg,1995,36.41
atg,2000,35.33
atg,2005,32.01
atg,2010,28.21
atg,2015,26.7
atg,2020,26.23
atg,2025,26.37
atg,2030,27.09
atg,2035,28.4
aus,1950,25.6
aus,1955,26.79
aus,1960,27.53
aus,1965,27.43
aus,1970,23.09
aus,1975,22.42
aus,1980,23.4
aus,1985,23.92
aus,1990,22.45
aus,1995,18.61
aus,2000,19.27
aus,2005,19.68
aus,2010,18.53
aus,2015,16.31
aus,2020,14.24
aus,2025,14.2
aus,2030,14.31
aus,2035,14.46
aut,1950,40.31
aut,1955,40.85
aut,1960,41.71
aut,1965,42.78
aut,1970,43.7
aut,1975,44.62
aut,1980,45.17
aut,1985,44.15
aut,1990,43.03
aut,1995,42.27
aut,2000,41.01
aut,2005,38.93
aut,2010,36.82
aut,2015,36.57
aut,2020,35.86
aut,2025,33.17
aut,2030,34.08
aut,2035,35.15
aze,1950,15.06
aze,1955,21.81
aze,1960,26.86
aze,1965,26.52
aze,1970,25.41
aze,1975,26.71
aze,1980,27.18
aze,1985,28.59
aze,1990,29.82
aze,1995,29.5
aze,2000,25.46
