country,time,sdi
afg,1990,32.5
afg,1991,33.1
afg,1992,34
afg,1993,33.5
afg,1994,33
afg,1995,35.6
afg,1996,36
afg,1997,36.6
afg,1998,37.1
afg,1999,37.5
afg,2000,37.7
afg,2001,38
afg,2002,41.4
afg,2003,42.4
afg,2004,44
afg,2005,45
afg,2006,46.2
afg,2007,48.2
afg,2008,48.1
afg,2009,49.6
afg,2010,50.8
afg,2011,51.4
afg,2012,52.7
afg,2013,53.4
afg,2014,53.8
afg,2015,53.8
afg,2016,54.1
afg,2017,54.5
afg,2018,54.9
afg,2019,55.1
ago,1999,42.1
ago,2000,43.1
ago,2001,44.2
ago,2002,45.8
ago,2003,46.8
ago,2004,48.1
ago,2005,49.5
ago,2006,50.9
ago,2007,52.6
ago,2008,53.9
ago,2009,55.5
ago,2010,55.8
ago,2011,57.4
ago,2012,58.6
ago,2013,59.8
ago,2014,60.8
ago,2015,61.6
ago,2016,62.2
ago,2017,62.7
ago,2018,62.7
ago,2019,62.6
alb,1990,69.9
alb,1991,68
alb,1992,66.2
alb,1993,66.5
alb,1994,67.2
alb,1995,68.6
alb,1996,69.5
alb,1997,69.5
alb,1998,70.6
alb,1999,71.6
alb,2000,72.3
alb,2001,73
alb,2002,73.7
alb,2003,74.5
alb,2004,74.7
alb,2005,75.5
alb,2006,76.3
alb,2007,77.3
alb,2008,77.7
alb,2009,77.9
alb,2010,79.6
alb,2011,81.1
alb,2012,82.2
alb,2013,82.6
alb,2014,82.6
alb,2015,82.3
alb,2016,82.1
alb,2017,82.1
alb,2018,82.3
alb,2019,82.6
are,1990,46.9
are,1991,29.2
are,1992,19.4
are,1993,12.8
are,1994,10.6
are,1995,11.1
are,1996,9.9
are,1997,10.2
are,1998,10.7
are,1999,10.4
are,2000,10.5
are,2001,13.1
are,2002,12.1
are,2003,12.4
are,2004,10.9
are,2005,11.3
are,2006,12
are,2007,11.4
are,2008,12
are,2009,14.6
are,2010,14.7
are,2011,13.6
are,2012,13.2
are,2013,11.9
are,2014,11.5
are,2015,11
are,2016,10.8
are,2017,10.9
are,2018,11
are,2019,11
arg,1990,77.1
arg,1991,77.1
arg,1992,77.1
arg,1993,77.5
arg,1994,77.4
arg,1995,77.8
arg,1996,78
arg,1997,78.3
arg,1998,78
arg,1999,79.1
arg,2000,80.3
arg,2001,81.5
arg,2002,83.4
arg,2003,83.3
arg,2004,82.5
arg,2005,81.8
arg,2006,83.7
arg,2007,82.5
arg,2008,82
arg,2009,83
arg,2010,81.6
arg,2011,80.6
arg,2012,80.3
arg,2013,78.7
arg,2014,78.2
arg,2015,77.6
arg,2016,77.2
arg,2017,77.2
arg,2018,77.2
arg,2019,77.7
arm,1991,69.9
arm,1992,66.5
arm,1993,66.4
arm,1994,66.8
arm,1995,67.5
arm,1996,68.3
arm,1997,69.5
arm,1998,70.7
arm,1999,71.5
arm,2000,72
arm,2001,72.4
arm,2002,73.4
arm,2003,74.4
arm,2004,75.4
arm,2005,76.7
arm,2006,78.2
arm,2007,79.9
arm,2008,79.9
arm,2009,80
arm,2010,80.4
arm,2011,80.8
arm,2012,81.3
arm,2013,81.8
arm,2014,82
arm,2015,82.1
arm,2016,81.7
arm,2017,82
arm,2018,82.2
arm,2019,82.7
atg,2005,51.2
atg,2006,40
atg,2007,41.8
atg,2008,53.7
atg,2009,66.2
atg,2010,65.9
atg,2011,63
atg,2012,64.9
atg,2013,63.5
atg,2014,62.1
atg,2015,62
atg,2016,61.7
atg,2017,61.6
atg,2018,61.9
atg,2019,62.2
aus,1990,33.6
aus,1991,32.7
aus,1992,35.1
aus,1993,35.4
aus,1994,33.7
aus,1995,30.1
aus,1996,28.5
aus,1997,27.3
aus,1998,24.3
aus,1999,23.7
aus,2000,24.3
aus,2001,24
aus,2002,22.7
aus,2003,20.5
aus,2004,19.3
aus,2005,18.8
aus,2006,20
aus,2007,16.4
aus,2008,19.9
aus,2009,17.5
aus,2010,18
aus,2011,17.2
aus,2012,16.7
aus,2013,16.4
aus,2014,15.8
aus,2015,15.3
aus,2016,15.1
aus,2017,15
aus,2018,15
aus,2019,15
aut,1990,68
aut,1991,64.4
aut,1992,60.3
aut,1993,61.7
aut,1994,58
aut,1995,55.3
aut,1996,53.8
aut,1997,53.8
aut,1998,49.3
aut,1999,50.3
aut,2000,49.4
aut,2001,48.1
aut,2002,45.3
aut,2003,38.3
aut,2004,34
aut,2005,32.7
aut,2006,31.3
aut,2007,30.3
aut,2008,29.2
aut,2009,31.8
aut,2010,30.2
aut,2011,28.5
aut,2012,28.1
aut,2013,27.2
aut,2014,26.9
aut,2015,26
aut,2016,25.5
aut,2017,25.1
aut,2018,25.2
aut,2019,25.2
aze,1995,64.5
aze,1996,64.8
aze,1997,65.4
aze,1998,66.5
aze,1999,67.5
aze,2000,68.2
aze,2001,69.1
aze,2002,69.8
aze,2003,70.5
aze,2004,71.2
aze,2005,72
aze,2006,74.9
aze,2007,75.6
aze,2008,76.3
aze,2009,77.7
aze,2010,77.6
aze,2011,77.4
aze,2012,77.6
aze,2013,77.8
aze,2014,78.1
aze,2015,78.3
aze,2016,79.1
aze,2017,79.4
aze,2018,79.4
aze,2019,79.6
bdi,1990,32.2
bdi,1991,32.6
bdi,1992,32.2
bdi,1993,32.2
bdi,1994,31.9
bdi,1995,31.5
bdi,1996,31.1
bdi,1997,31.2
bdi,1998,31.7
bdi,1999,31.7
bdi,2000,32.3
bdi,2001,32.4
bdi,2002,33.5
bdi,2003,34.4
bdi,2004,35.5
bdi,2005,36.3
bdi,2006,38.7
bdi,2007,40
bdi,2008,41.3
bdi,2009,43.1
bdi,2010,44.2
bdi,2011,45.2
bdi,2012,45.8
bdi,2013,46.5
bdi,2014,47.2
bdi,2015,47.1
bdi,2016,47.1
bdi,2017,46.8
bdi,2018,46.4
bdi,2019,46.7
bel,1990,74.5
bel,1991,72
bel,1992,67.5
bel,1993,68.8
bel,1994,65.8
bel,1995,64.6
bel,1996,64
bel,1997,67.1
bel,1998,61.9
bel,1999,61.3
bel,2000,56.1
bel,2001,60
bel,2002,59.1
bel,2003,55.6
bel,2004,52.3
bel,2005,51.1
bel,2006,49.9
bel,2007,47.4
bel,2008,43.8
bel,2009,49
bel,2010,49.8
bel,2011,53.5
bel,2012,52.2
bel,2013,49.3
bel,2014,47.8
bel,2015,45.1
bel,2016,43.8
bel,2017,42.8
bel,2018,42.9
bel,2019,42.9
ben,1990,39.2
ben,1991,40
ben,1992,40.4
ben,1993,41.1
ben,1994,41.5
ben,1995,42
ben,1996,42.5
ben,1997,43
ben,1998,43.4
ben,1999,44
ben,2000,44.8
ben,2001,46.2
ben,2002,47.2
ben,2003,47.9
ben,2004,48.8
ben,2005,49.5
ben,2006,50.3
ben,2007,51.1
ben,2008,51.9
ben,2009,52.6
ben,2010,53.2
ben,2011,53.8
ben,2012,54.9
ben,2013,56.2
ben,2014,56.7
ben,2015,57.3
ben,2016,57.4
ben,2017,57.7
ben,2018,58.2
ben,2019,58.7
bfa,2000,31.6
bfa,2001,32.1
bfa,2002,32.7
bfa,2003,33.4
bfa,2004,34.5
bfa,2005,35.7
bfa,2006,36.7
bfa,2007,37.9
bfa,2008,39.2
bfa,2009,40.2
bfa,2010,41.3
bfa,2011,42.4
bfa,2012,43.4
bfa,2013,44.2
bfa,2014,44.5
bfa,2015,45.4
bfa,2016,46.1
bfa,2017,47.2
bfa,2018,47.7
bfa,2019,48.7
bgd,1990,42.4
bgd,1991,43.3
bgd,1992,44.1
bgd,1993,45
bgd,1994,45.8
bgd,1995,46.7
bgd,1996,47.7
bgd,1997,48.7
bgd,1998,49.6
bgd,1999,50.5
bgd,2000,51.4
bgd,2001,52.4
bgd,2002,53
bgd,2003,53.8
bgd,2004,54.5
bgd,2005,55.3
bgd,2006,56.1
bgd,2007,56.9
bgd,2008,57.2
bgd,2009,58.4
bgd,2010,59.9
bgd,2011,61
bgd,2012,61.9
bgd,2013,62.3
bgd,2014,62.4
bgd,2015,64.1
bgd,2016,65.3
bgd,2017,66.4
bgd,2018,67.3
bgd,2019,68.1
bgr,1990,73.4
bgr,1991,74.1
bgr,1992,74.7
bgr,1993,73.9
bgr,1994,74.5
bgr,1995,74.9
bgr,1996,76.2
bgr,1997,75.9
bgr,1998,76
bgr,1999,76
bgr,2000,76.4
bgr,2001,77
bgr,2002,77.6
bgr,2003,77.8
bgr,2004,78
bgr,2005,77.6
bgr,2006,76.6
bgr,2007,75.3
bgr,2008,74.4
bgr,2009,76.9
bgr,2010,78.2
bgr,2011,76.9
bgr,2012,77.3
bgr,2013,78.6
bgr,2014,77.7
bgr,2015,75.9
bgr,2016,75.3
bgr,2017,74.5
bgr,2018,74.3
bgr,2019,74.4
bhr,1990,25
bhr,1991,18.6
bhr,1992,22.8
bhr,1993,24.8
bhr,1994,25.4
bhr,1995,29.5
bhr,1996,28.5
bhr,1997,35.4
bhr,1998,28.6
bhr,1999,30.5
bhr,2000,39.4
bhr,2001,38.7
bhr,2002,35.8
bhr,2003,41.1
bhr,2004,49.7
bhr,2005,46.6
bhr,2006,55
bhr,2007,54.5
bhr,2008,55.9
bhr,2009,53.9
bhr,2010,56.4
bhr,2011,57.2
bhr,2012,56
bhr,2013,49.9
bhr,2014,49.4
bhr,2015,48.5
bhr,2016,48.3
bhr,2017,48.7
bhr,2018,48.7
bhr,2019,48.8
bhs,2000,25.7
bhs,2001,30.3
bhs,2002,31
bhs,2003,33.2
bhs,2004,33.6
bhs,2005,29.2
bhs,2006,27.8
bhs,2007,31.3
bhs,2008,34.6
bhs,2009,35.7
bhs,2010,31.8
bhs,2011,32.4
bhs,2012,31.4
bhs,2013,29.3
bhs,2014,27
bhs,2015,26.7
bhs,2016,26.8
bhs,2017,27
bhs,2018,27
bhs,2019,27.1
bih,2000,72.2
bih,2001,72.6
bih,2002,73
bih,2003,73.4
bih,2004,73.7
bih,2005,73.9
bih,2006,73.6
bih,2007,73.6
bih,2008,73
bih,2009,73.1
bih,2010,72.9
bih,2011,72.1
bih,2012,73.9
bih,2013,73.6
bih,2014,73.5
bih,2015,71.6
bih,2016,71.6
bih,2017,70.9
bih,2018,71.2
bih,2019,71.5
blz,1990,65.5
blz,1991,59.6
blz,1992,65.7
blz,1993,66.1
blz,1994,66.1
blz,1995,66.5
blz,1996,66.3
blz,1997,66.6
blz,1998,67.1
blz,1999,67.4
blz,2000,67.7
blz,2001,66.8
blz,2002,68.3
blz,2003,68.7
blz,2004,70
blz,2005,70.2
blz,2006,71.3
blz,2007,71.2
blz,2008,71.6
blz,2009,72.6
blz,2010,74
blz,2011,73.8
blz,2012,74.2
blz,2013,74.1
blz,2014,74.2
blz,2015,74.7
blz,2016,75.4
blz,2017,75.2
blz,2018,75.1
blz,2019,75.3
bol,1990,59.3
bol,1991,60.2
bol,1992,60.9
bol,1993,61.7
bol,1994,62.6
bol,1995,63.4
bol,1996,64.1
bol,1997,64.4
bol,1998,65.7
bol,1999,66.7
bol,2000,67.6
