global,time,legslav_numc
world,1800,194
world,1801,194
world,1802,194
world,1803,193
world,1804,192
world,1805,192
world,1806,192
world,1807,192
world,1808,192
world,1809,192
world,1810,192
world,1811,192
world,1812,192
world,1813,191
world,1814,191
world,1815,191
world,1816,190
world,1817,189
world,1818,189
world,1819,189
world,1820,189
world,1821,186
world,1822,185
world,1823,184
world,1824,183
world,1825,183
world,1826,183
world,1827,181
world,1828,181
world,1829,180
world,1830,180
world,1831,179
world,1832,179
world,1833,179
world,1834,176
world,1835,176
world,1836,176
world,1837,176
world,1838,175
world,1839,175
world,1840,174
world,1841,174
world,1842,173
world,1843,173
world,1844,173
world,1845,173
world,1846,172
world,1847,171
world,1848,168
world,1849,168
world,1850,168
world,1851,168
world,1852,168
world,1853,168
world,1854,167
world,1855,166
world,1856,166
world,1857,166
world,1858,166
world,1859,166
world,1860,165
world,1861,165
world,1862,165
world,1863,163
world,1864,162
world,1865,161
world,1866,161
world,1867,161
world,1868,161
world,1869,161
world,1870,161
world,1871,161
world,1872,161
world,1873,161
world,1874,160
world,1875,160
world,1876,160
world,1877,160
world,1878,160
world,1879,160
world,1880,160
world,1881,160
world,1882,160
world,1883,160
world,1884,160
world,1885,160
world,1886,159
world,1887,159
world,1888,158
world,1889,158
world,1890,158
world,1891,158
world,1892,158
world,1893,158
world,1894,158
world,1895,158
world,1896,158
world,1897,158
world,1898,158
world,1899,158
world,1900,158
world,1901,158
world,1902,158
world,1903,158
world,1904,158
world,1905,158
world,1906,158
world,1907,158
world,1908,158
world,1909,158
world,1910,158
world,1911,158
world,1912,157
world,1913,157
world,1914,157
world,1915,157
world,1916,157
world,1917,157
world,1918,157
world,1919,157
world,1920,157
world,1921,157
world,1922,156
world,1923,155
world,1924,154
world,1925,154
world,1926,153
world,1927,153
world,1928,151
world,1929,151
world,1930,150
world,1931,149
world,1932,147
world,1933,147
world,1934,147
world,1935,147
world,1936,146
world,1937,146
world,1938,146
world,1939,146
world,1940,145
world,1941,145
world,1942,144
world,1943,144
world,1944,143
world,1945,143
world,1946,140
world,1947,140
world,1948,140
world,1949,140
world,1950,138
world,1951,137
world,1952,136
world,1953,136
world,1954,136
world,1955,133
world,1956,129
world,1957,123
world,1958,121
world,1959,120
world,1960,102
world,1961,99
world,1962,95
world,1963,90
world,1964,85
world,1965,84
world,1966,79
world,1967,78
world,1968,77
world,1969,76
world,1970,75
world,1971,75
world,1972,74
world,1973,72
world,1974,70
world,1975,67
world,1976,64
world,1977,63
world,1978,58
world,1979,55
world,1980,54
world,1981,53
world,1982,52
world,1983,51
world,1984,51
world,1985,49
world,1986,48
world,1987,46
world,1988,45
world,1989,44
world,1990,41
world,1991,39
world,1992,36
world,1993,29
world,1994,26
world,1995,25
world,1996,24
world,1997,20
world,1998,18
world,1999,18
world,2000,15
world,2001,13
world,2002,13
world,2003,10
world,2004,10
world,2005,7
world,2006,5
world,2007,5
world,2008,4
world,2009,4
world,2010,4
world,2011,4
world,2012,4
world,2013,4
world,2014,4
world,2015,4
world,2016,3
world,2017,3
world,2018,3
world,2019,3
world,2020,3
