global,time,popcit_less_300k
world,1950,450308570
world,1955,514945888
world,1960,582014945
world,1965,661847447
world,1970,730299490
world,1975,812202969
world,1980,908414901
world,1985,1030322896
world,1990,1147140458
world,1995,1254260207
world,2000,1314606972
world,2005,1446456210
world,2010,1577869042
world,2015,1691359603
world,2020,1787004906
world,2025,1870186392
world,2030,1971214678
world,2035,2083006214
