global,time,oil_sp_med_num
world,1970,7
world,1971,18
world,1972,48
world,1973,28
world,1974,90
world,1975,96
world,1976,67
world,1977,70
world,1978,59
world,1979,60
world,1980,52
world,1981,54
world,1982,46
world,1983,52
world,1984,26
world,1985,33
world,1986,27
world,1987,27
world,1988,11
world,1989,32
world,1990,50
world,1991,30
world,1992,31
world,1993,31
world,1994,26
world,1995,20
world,1996,20
world,1997,28
world,1998,25
world,1999,20
world,2000,21
world,2001,18
world,2002,11
world,2003,19
world,2004,20
world,2005,22
world,2006,12
world,2007,12
world,2008,7
world,2009,7
world,2010,5
world,2011,4
world,2012,7
world,2013,5
world,2014,4
world,2015,6
world,2016,4
world,2017,4
world,2018,4
world,2019,2
world,2020,3
