country,time,popcit_less_300k
afg,1950,465127
afg,1955,587818
afg,1960,755797
afg,1965,615541
afg,1970,823542
afg,1975,1043168
afg,1980,1141254
afg,1985,998507
afg,1990,1044627
afg,1995,1768876
afg,2000,2035173
afg,2005,2449912
afg,2010,2805786
afg,2015,3351101
afg,2020,3740821
afg,2025,4418819
afg,2030,5211501
afg,2035,5813839
ago,1950,344543
ago,1955,455428
ago,1960,588842
ago,1965,460559
ago,1970,554306
ago,1975,871011
ago,1980,1398461
ago,1985,2183906
ago,1990,2720794
ago,1995,3820640
ago,2000,4636017
ago,2005,5473666
ago,2010,6024987
ago,2015,6639605
ago,2020,8166970
ago,2025,9997988
ago,2030,11996812
ago,2035,14260356
alb,1950,259305
alb,1955,381458
alb,1960,502359
alb,1965,592158
alb,1970,682607
alb,1975,788758
alb,1980,905234
alb,1985,1040849
alb,1990,1195379
alb,1995,1208874
alb,2000,967801
alb,2005,1067130
alb,2010,1125163
alb,2015,1229713
alb,2020,1333650
alb,2025,1413129
alb,2030,1472944
alb,2035,1508791
are,1950,37925
are,1955,51385
are,1960,68086
are,1965,116866
are,1970,187928
are,1975,442351
are,1980,841303
are,1985,765500
are,1990,666946
are,1995,564520
are,2000,662409
are,2005,1167818
are,2010,2890617
are,2015,2144447
are,2020,1493382
are,2025,1183497
are,2030,1246481
are,2035,1322568
arg,1950,5055934
arg,1955,5804324
arg,1960,6108802
arg,1965,6861588
arg,1970,7233236
arg,1975,7994403
arg,1980,8952174
arg,1985,9896562
arg,1990,11412926
arg,1995,12468072
arg,2000,12952371
arg,2005,13509890
arg,2010,13565171
arg,2015,14401534
arg,2020,15419867
arg,2025,15623842
arg,2030,16292808
arg,2035,16937766
arm,1950,204557
arm,1955,286959
arm,1960,423200
arm,1965,582265
arm,1970,733457
arm,1975,890760
arm,1980,1005785
arm,1985,1115225
arm,1990,1210934
arm,1995,982810
arm,2000,873689
arm,2005,819014
arm,2010,759768
arm,2015,768886
arm,2020,774279
arm,2025,781918
arm,2030,791868
arm,2035,804100
atg,1950,13921
atg,1955,18455
atg,1960,21945
atg,1965,22252
atg,1970,22692
atg,1975,24503
atg,1980,25424
atg,1985,24438
atg,1990,23628
atg,1995,25002
atg,2000,26853
atg,2005,26078
atg,2010,24837
atg,2015,24981
atg,2020,25682
atg,2025,26823
atg,2030,28408
atg,2035,30468
aus,1950,2093145
aus,1955,2455939
aus,1960,2819280
aus,1965,3103054
aus,1970,2953674
aus,1975,3087332
aus,1980,3413297
aus,1985,3746896
aus,1990,3807032
aus,1995,3348110
aus,2000,3660441
aus,2005,3970516
aus,2010,4106033
aus,2015,3902938
aus,2020,3631445
aus,2025,3816946
aus,2030,4032378
aus,2035,4251907
aut,1950,2796257
aut,1955,2840418
aut,1960,2949463
aut,1965,3124862
aut,1970,3284379
aut,1975,3407920
aut,1980,3437343
aut,1985,3361851
aut,1990,3323925
aut,1995,3377505
aut,2000,3309486
aut,2005,3213255
aut,2010,3096616
aut,2015,3173948
aut,2020,3229416
aut,2025,3020278
aut,2030,3127461
aut,2035,3237822
aze,1950,441048
aze,1955,726018
aze,1960,1046145
aze,1965,1217742
aze,1970,1316126
aze,1975,1515626
aze,1980,1671858
aze,1985,1905975
aze,1990,2159459
aze,1995,2293699
aze,2000,2067654
aze,2005,2300104
aze,2010,2133660
aze,2015,2395508
aze,2020,2659489
aze,2025,2867140
aze,2030,3047080
aze,2035,3229168
bdi,1950,39974
bdi,1955,48001
bdi,1960,57866
bdi,1965,70605
bdi,1970,98327
bdi,1975,129408
bdi,1980,178649
bdi,1985,245514
bdi,1990,339609
bdi,1995,429900
bdi,2000,197988
bdi,2005,283914
bdi,2010,376645
bdi,2015,481000
bdi,2020,623590
bdi,2025,796547
bdi,2030,1020143
bdi,2035,1306022
bel,1950,4349785
bel,1955,4549804
bel,1960,4775902
bel,1965,5032816
bel,1970,5218029
bel,1975,5349553
bel,1980,5467120
bel,1985,5530192
bel,1990,5628102
bel,1995,5807425
bel,2000,5818266
bel,2005,5982563
bel,2010,6265488
bel,2015,6501776
bel,2020,6716086
bel,2025,6820342
bel,2030,6931974
bel,2035,7031349
ben,1950,111784
ben,1955,156746
ben,1960,225522
ben,1965,329541
ben,1970,486086
ben,1975,715214
ben,1980,679123
ben,1985,905590
ben,1990,1213180
ben,1995,1593403
ben,2000,1989485
ben,2005,2180670
ben,2010,2747680
ben,2015,3393025
ben,2020,3419583
ben,2025,3755974
ben,2030,4487656
ben,2035,5315533
bfa,1950,164385
bfa,1955,191862
bfa,1960,226977
bfa,1965,268985
bfa,1970,323163
bfa,1975,390628
bfa,1980,600776
bfa,1985,529623
bfa,1990,679767
bfa,1995,859847
