country,time,fisfod_cons_pc
afg,1961,0.03
afg,1962,0.03
afg,1963,0.03
afg,1964,0.03
afg,1965,0.03
afg,1966,0.03
afg,1967,0.04
afg,1968,0.04
afg,1969,0.04
afg,1970,0.04
afg,1971,0.05
afg,1972,0.05
afg,1973,0.05
afg,1974,0.05
afg,1975,0.05
afg,1976,0.06
afg,1977,0.06
afg,1978,0.06
afg,1979,0.06
afg,1980,0.07
afg,1981,0.07
afg,1982,0.07
afg,1983,0.08
afg,1984,0.08
afg,1985,0.08
afg,1986,0.09
afg,1987,0.11
afg,1988,0.11
afg,1989,0.1
afg,1990,0.12
afg,1991,0.11
afg,1992,0.11
afg,1993,0.1
afg,1994,0.1
afg,1995,0.09
afg,1996,0.09
afg,1997,0.08
afg,1998,0.08
afg,1999,0.08
afg,2000,0.06
afg,2001,0.06
afg,2002,0.06
afg,2003,0.06
afg,2004,0.06
afg,2005,0.06
afg,2006,0.06
afg,2007,0.08
afg,2008,0.08
afg,2009,0.07
afg,2010,0.07
afg,2011,0.07
afg,2012,0.07
afg,2013,0.07
afg,2014,0.19
afg,2015,0.21
afg,2016,0.23
afg,2017,0.25
afg,2018,0.24
ago,1961,7.17
ago,1962,9.77
ago,1963,8.84
ago,1964,11.93
ago,1965,10.52
ago,1966,11.08
ago,1967,13.64
ago,1968,14.13
ago,1969,12.67
ago,1970,14.67
ago,1971,11.1
ago,1972,6.17
ago,1973,5.81
ago,1974,7.67
ago,1975,4.49
ago,1976,9.04
ago,1977,14.72
ago,1978,14.01
ago,1979,12.58
ago,1980,8.52
ago,1981,13.28
ago,1982,22.32
ago,1983,22.18
ago,1984,24.59
ago,1985,26.51
ago,1986,25.78
ago,1987,24.94
ago,1988,24.99
ago,1989,22.98
ago,1990,19.41
ago,1991,11.97
ago,1992,11.14
ago,1993,11.63
ago,1994,11.54
ago,1995,10.43
ago,1996,11.51
ago,1997,10.39
ago,1998,8.72
ago,1999,11.77
ago,2000,12.06
ago,2001,15.21
ago,2002,16
ago,2003,13.24
ago,2004,13.34
ago,2005,12.01
ago,2006,13.92
ago,2007,16.78
ago,2008,17.07
ago,2009,16.17
ago,2010,16.19
ago,2011,16.32
ago,2012,15.82
ago,2013,15.34
ago,2014,26.36
ago,2015,22.72
ago,2016,19.52
ago,2017,20.22
ago,2018,19.56
alb,1961,1.92
alb,1962,1.63
alb,1963,1.69
alb,1964,1.65
alb,1965,2.13
alb,1966,2.08
alb,1967,2.53
alb,1968,2.95
alb,1969,3.36
alb,1970,3.74
alb,1971,3.64
alb,1972,3.55
alb,1973,3.46
alb,1974,3.59
alb,1975,3.5
alb,1976,3.42
alb,1977,3.34
alb,1978,3.45
alb,1979,3.37
alb,1980,3.29
alb,1981,3.35
alb,1982,3.21
alb,1983,3.3
alb,1984,2.59
alb,1985,3.7
alb,1986,2.88
alb,1987,3.24
alb,1988,3.35
alb,1989,2.56
alb,1990,2.19
alb,1991,0.59
alb,1992,0.71
alb,1993,0.8
alb,1994,0.88
alb,1995,1.39
alb,1996,1.02
alb,1997,1.15
alb,1998,1.71
alb,1999,2.66
alb,2000,3.28
alb,2001,3.28
alb,2002,4.55
alb,2003,4.35
alb,2004,4.64
alb,2005,4.8
alb,2006,4.77
alb,2007,5.24
alb,2008,5.48
alb,2009,5.9
alb,2010,5.73
alb,2011,5.86
alb,2012,4.97
alb,2013,4.87
alb,2014,5.34
alb,2015,5.35
alb,2016,5.36
alb,2017,5.36
alb,2018,8.64
are,1961,19.1
are,1962,18.61
are,1963,18.97
are,1964,18.34
are,1965,19.57
are,1966,18.2
are,1967,17.79
are,1968,17.68
are,1969,16.92
are,1970,16.81
are,1971,17.23
are,1972,17.44
are,1973,17.45
are,1974,17.71
are,1975,18.54
are,1976,19.35
are,1977,19.42
are,1978,18.85
are,1979,21.25
are,1980,23.3
are,1981,22.51
are,1982,21.77
are,1983,21.37
are,1984,21.73
are,1985,20.04
are,1986,20.56
are,1987,20.73
are,1988,20.13
are,1989,20.08
are,1990,20.42
are,1991,20.05
are,1992,21.68
are,1993,22.54
are,1994,24.98
are,1995,23.75
are,1996,23.93
are,1997,23.82
are,1998,24.13
are,1999,26.5
are,2000,25.37
are,2001,26.44
are,2002,25.41
are,2003,26.17
are,2004,27.62
are,2005,23.88
are,2006,24.01
are,2007,24.5
are,2008,23.52
are,2009,24.75
are,2010,23.96
are,2011,23.85
are,2012,23.13
are,2013,22.78
are,2014,25.44
are,2015,25.3
are,2016,25.04
are,2017,24.71
are,2018,26.05
arg,1961,4.17
arg,1962,4.13
arg,1963,5.13
arg,1964,6.83
arg,1965,6.64
arg,1966,6.06
arg,1967,5.21
arg,1968,5.59
arg,1969,5.06
arg,1970,5.28
arg,1971,6.54
arg,1972,5.86
arg,1973,5.54
arg,1974,6.27
arg,1975,4.73
arg,1976,3.33
arg,1977,4.55
arg,1978,7.01
arg,1979,7.65
arg,1980,6.01
arg,1981,6.04
arg,1982,5.87
arg,1983,5.89
arg,1984,5.02
arg,1985,6.81
arg,1986,5.76
arg,1987,5.25
arg,1988,6.59
arg,1989,5.42
arg,1990,5.97
arg,1991,6.44
arg,1992,8.71
arg,1993,9.28
arg,1994,8.09
arg,1995,10.05
arg,1996,11.8
arg,1997,11.99
arg,1998,11.61
arg,1999,10.23
arg,2000,8.54
arg,2001,10.04
arg,2002,7.25
arg,2003,7.34
arg,2004,6.83
arg,2005,6.71
arg,2006,9.06
arg,2007,7.29
arg,2008,7.8
arg,2009,6.1
arg,2010,5.85
arg,2011,6.02
arg,2012,5.88
arg,2013,7.05
arg,2014,5.88
arg,2015,7.21
arg,2016,6.07
arg,2017,7.29
arg,2018,7.22
arm,1992,1.29
arm,1993,1.22
arm,1994,0.94
arm,1995,0.99
arm,1996,0.53
arm,1997,0.52
arm,1998,0.58
arm,1999,0.81
arm,2000,1.1
arm,2001,1.22
arm,2002,1.09
arm,2003,0.79
arm,2004,0.49
arm,2005,2.42
arm,2006,1.44
arm,2007,2.26
arm,2008,3.19
arm,2009,3.4
arm,2010,2.6
arm,2011,3.22
arm,2012,3.42
arm,2013,4.38
arm,2014,5.5
arm,2015,6.59
arm,2016,6.54
arm,2017,5.83
arm,2018,5.82
atg,1961,36.83
atg,1962,36.61
atg,1963,35.96
atg,1964,36.02
atg,1965,37.09
atg,1966,36.48
atg,1967,31.86
atg,1968,25.8
atg,1969,34.77
atg,1970,30.39
atg,1971,29.93
atg,1972,33.96
atg,1973,37.87
atg,1974,35.15
atg,1975,41.26
atg,1976,43.6
atg,1977,43.15
atg,1978,37.02
atg,1979,40.67
atg,1980,42.95
atg,1981,37.63
atg,1982,30.18
atg,1983,31.27
atg,1984,40.74
atg,1985,51.85
atg,1986,54.79
atg,1987,50.76
atg,1988,46.16
atg,1989,50.05
atg,1990,31.4
atg,1991,30.91
atg,1992,49.49
atg,1993,41.3
atg,1994,38.77
atg,1995,38.91
atg,1996,35.64
atg,1997,40.3
atg,1998,36.23
atg,1999,40.89
atg,2000,44.49
atg,2001,42.33
atg,2002,44.93
atg,2003,51.23
atg,2004,51.95
atg,2005,54.03
atg,2006,55.72
atg,2007,57.04
atg,2008,57.42
atg,2009,56.22
atg,2010,55.2
atg,2011,54.57
atg,2012,53.96
atg,2013,53.36
atg,2014,54.17
atg,2015,53.59
atg,2016,53.04
atg,2017,52.54
atg,2018,55.14
aus,1961,12.82
aus,1962,11.7
aus,1963,8.84
aus,1964,12.65
aus,1965,12.78
aus,1966,14.21
aus,1967,13.28
aus,1968,12.91
aus,1969,13.02
aus,1970,12.79
aus,1971,14.12
aus,1972,12.49
aus,1973,13.15
aus,1974,15.97
aus,1975,13.58
aus,1976,12.95
aus,1977,14.57
aus,1978,13.53
aus,1979,12.53
aus,1980,13.98
aus,1981,16.13
aus,1982,16.74
aus,1983,15.03
aus,1984,16.89
aus,1985,17.41
aus,1986,17.71
aus,1987,18.72
aus,1988,19.04
aus,1989,18.71
aus,1990,19.84
aus,1991,20.05
aus,1992,21.21
aus,1993,20.1
aus,1994,20.53
aus,1995,18.83
aus,1996,20.81
aus,1997,20.5
aus,1998,20.46
aus,1999,21.1
aus,2000,21.59
aus,2001,21.2
aus,2002,22.78
aus,2003,24.77
aus,2004,27.6
aus,2005,25.34
aus,2006,25.48
aus,2007,25.89
aus,2008,26.05
aus,2009,25.09
aus,2010,26.67
aus,2011,25.96
aus,2012,25.97
aus,2013,26.09
aus,2014,26.41
aus,2015,24.82
aus,2016,25.7
aus,2017,25.87
aus,2018,26.38
aut,1961,7.03
aut,1962,7.3
aut,1963,7.18
aut,1964,7.32
aut,1965,7.75
aut,1966,7.26
aut,1967,7.55
aut,1968,7.59
aut,1969,7.5
aut,1970,7.69
aut,1971,7.85
aut,1972,7.56
aut,1973,8
aut,1974,7.27
aut,1975,6.8
aut,1976,6.09
aut,1977,5.73
aut,1978,5.66
aut,1979,6.38
aut,1980,6.32
aut,1981,6.3
aut,1982,6.29
aut,1983,6.8
aut,1984,6.6
aut,1985,6.85
aut,1986,7.26
aut,1987,7.78
aut,1988,8.03
aut,1989,9.06
aut,1990,9.11
aut,1991,9.34
aut,1992,10.32
aut,1993,9.93
aut,1994,11.91
aut,1995,8.65
aut,1996,10.64
aut,1997,10.52
aut,1998,10.61
aut,1999,10.67
aut,2000,9.54
aut,2001,10.87
aut,2002,10.3
aut,2003,10.98
aut,2004,12.06
aut,2005,13.5
aut,2006,13.33
aut,2007,15.29
aut,2008,14.51
aut,2009,13.69
aut,2010,13.47
aut,2011,14.18
aut,2012,13.7
aut,2013,13.88
aut,2014,14
aut,2015,14.03
aut,2016,14.05
aut,2017,14.09
aut,2018,13.98
aze,1992,4.3
aze,1993,3.03
aze,1994,2.33
aze,1995,1.38
aze,1996,0.95
aze,1997,0.67
aze,1998,1.02
aze,1999,2.55
aze,2000,2.59
aze,2001,1.66
aze,2002,2.05
aze,2003,1.36
aze,2004,1.6
aze,2005,1.88
aze,2006,1.78
aze,2007,1.72
aze,2008,2.17
aze,2009,2.18
aze,2010,2.23
aze,2011,2.18
aze,2012,2.16
aze,2013,2.13
aze,2014,1.93
aze,2015,1.37
aze,2016,2.19
aze,2017,3.2
aze,2018,3.16
bel,2000,23.7
bel,2001,21.94
bel,2002,21.58
bel,2003,24.72
bel,2004,24.46
bel,2005,24.4
bel,2006,23.83
bel,2007,25.11
bel,2008,26.28
bel,2009,24.36
bel,2010,25.22
bel,2011,26.08
bel,2012,25.1
bel,2013,25.03
bel,2014,26.19
bel,2015,24.72
bel,2016,23.75
bel,2017,23.01
bel,2018,22.89
ben,1961,8.5
ben,1962,10.75
ben,1963,9.75
ben,1964,11.02
ben,1965,9.92
ben,1966,8.09
ben,1967,13.83
ben,1968,14.52
ben,1969,13.56
ben,1970,15.96
ben,1971,16.05
ben,1972,15.33
ben,1973,14.93
ben,1974,14.61
ben,1975,14.6
ben,1976,12.79
ben,1977,12.29
ben,1978,12.37
ben,1979,12.03
ben,1980,11.32
ben,1981,11.21
ben,1982,11.16
ben,1983,9.7
ben,1984,9.9
ben,1985,10.16
ben,1986,10.63
ben,1987,10.53
ben,1988,9.21
ben,1989,9.23
ben,1990,8.31
ben,1991,8.86
ben,1992,8.65
ben,1993,10.4
ben,1994,8.87
ben,1995,9.95
ben,1996,8.77
ben,1997,8.71
ben,1998,7.81
ben,1999,8.41
ben,2000,7.95
ben,2001,6.99
ben,2002,8.52
ben,2003,9.45
ben,2004,8.88
ben,2005,9.91
ben,2006,12.44
ben,2007,12.78
ben,2008,14.3
ben,2009,13.34
ben,2010,13.39
ben,2011,13.16
ben,2012,12.79
