country,time,vccin_effect_dag
afg,2015,5.8
afg,2018,1.8
alb,2018,9
are,2018,3.4
arg,2015,1.3
arg,2018,2.9
arm,2015,13.9
arm,2018,12.5
aus,2015,4.3
aus,2018,4.1
aut,2015,11.8
aut,2018,11.3
aze,2015,13.3
aze,2018,8.4
bdi,2018,3.5
bel,2015,5.1
bel,2018,5.3
ben,2018,6.6
bfa,2018,8.6
bgd,2015,5.1
bgd,2018,0.4
bgr,2015,7.1
bgr,2018,6.4
bih,2015,26
bih,2018,6.2
blr,2018,9.8
bol,2018,8.7
bra,2015,4.5
bra,2018,6.7
bwa,2018,4.1
can,2015,10.5
can,2018,5.8
che,2018,7.7
chl,2018,6.5
chn,2015,12.6
chn,2018,2.8
civ,2018,7.8
cmr,2018,9.5
cod,2015,8.8
cog,2018,3.4
col,2015,5.9
col,2018,8
com,2018,2.6
cri,2018,5.3
cyp,2018,6.2
cze,2015,7.3
cze,2018,3.1
deu,2015,8
deu,2018,3.2
dnk,2015,4.2
dnk,2018,4.1
dom,2018,2.8
dza,2015,7.8
dza,2018,7.7
ecu,2015,2.1
ecu,2018,5.8
egy,2018,0.6
esp,2015,7.1
esp,2018,5.9
est,2018,6.6
eth,2015,2.1
eth,2018,1.9
fin,2015,3.5
fin,2018,4.2
fji,2015,11.6
fra,2015,17.3
fra,2018,18.3
gab,2018,11.6
gbr,2015,7
gbr,2018,2.7
geo,2018,5.1
gha,2015,8.4
gha,2018,6
gin,2018,7.3
gmb,2018,5.2
grc,2015,16.9
grc,2018,2.5
gtm,2018,7.4
hkg,2015,13.5
hnd,2018,4.7
hrv,2018,4
hti,2018,10.2
hun,2018,1.3
idn,2015,7
idn,2018,11.6
ind,2015,7.8
ind,2018,1.8
irl,2015,6.2
irl,2018,4.3
irn,2015,8.4
irn,2018,2.6
irq,2015,0
irq,2018,3.9
isl,2015,2.2
isl,2018,1.2
isr,2015,0
isr,2018,2.1
ita,2015,17.7
ita,2018,5.6
jor,2018,2.3
jpn,2015,9.9
jpn,2018,3.3
kaz,2018,4.9
ken,2018,7.7
kgz,2018,7.2
khm,2018,2
kor,2015,6.4
kor,2018,2.4
kwt,2018,3.1
lao,2018,1.4
lbn,2015,8
lbn,2018,1.1
lbr,2018,27.6
lby,2018,5.6
lka,2018,3.5
ltu,2018,4.2
lux,2018,6.9
lva,2015,14.3
lva,2018,9.8
mar,2015,5.2
mar,2018,4.3
mda,2018,7.3
mdg,2018,5
mex,2015,14
mex,2018,4.8
mkd,2015,11.4
mkd,2018,9
mli,2018,4.7
mlt,2018,5.2
mmr,2018,3.1
mne,2018,7
mng,2015,6.6
mng,2018,5.2
moz,2018,9.2
mrt,2018,5.2
mus,2018,5.4
mwi,2018,1.7
mys,2018,4.1
nam,2018,15.7
ner,2018,3.4
nga,2015,11.3
nga,2018,16
nic,2018,3.8
nld,2015,6.7
nld,2018,10.8
nor,2018,2.7
npl,2018,6.8
nzl,2018,6.6
pak,2015,12.6
pak,2018,4.4
pan,2015,5.1
pan,2018,5.6
per,2015,8
per,2018,15.4
phl,2015,2.2
phl,2018,8.9
png,2015,9.9
pol,2015,10.3
pol,2018,4
prt,2015,4.4
prt,2018,8.3
pry,2018,8.3
pse,2015,10.9
pse,2018,2.9
rou,2015,15.6
rou,2018,6
rus,2015,18.4
rus,2018,12
rwa,2018,0.6
sau,2015,2.4
sau,2018,3.9
sen,2018,9.4
sgp,2018,2.9
sle,2018,3.6
slv,2018,8.2
srb,2015,14.1
srb,2018,5.2
svk,2018,2.4
svn,2015,16.4
svn,2018,8
swe,2015,5.9
swe,2018,3.1
swz,2018,8.1
tcd,2018,7.1
tgo,2018,12.2
tha,2015,6.5
tha,2018,2.3
tjk,2018,0.8
tkm,2018,5.3
tun,2015,4.3
tun,2018,3.3
tur,2015,8.3
tur,2018,3.6
twn,2018,5.8
tza,2018,4.3
uga,2018,13.6
ukr,2015,15.4
ukr,2018,7.1
ury,2018,6.8
usa,2015,9.6
usa,2018,5.8
uzb,2018,1.1
ven,2018,2.5
vnm,2015,4.6
vnm,2018,3.6
yem,2018,3.2
zaf,2015,9.9
zaf,2018,10.8
zmb,2018,8.2
zwe,2018,1.9
