global,time,percit_1_5m
world,1950,5.03
world,1955,4.93
world,1960,5.83
world,1965,6.2
world,1970,6.6
world,1975,7.22
world,1980,7.54
world,1985,8.05
world,1990,8.77
world,1995,9.36
world,2000,10.19
world,2005,10.33
world,2010,10.93
world,2015,11.72
world,2020,12.53
world,2025,13.49
world,2030,13.84
world,2035,14.21
