global,time,popcit_300_500k
world,1950,49853773
world,1955,56063298
world,1960,71229868
world,1965,79383956
world,1970,86556467
world,1975,98833399
world,1980,113703073
world,1985,132241646
world,1990,158963698
world,1995,177776014
world,2000,199622942
world,2005,223632838
world,2010,245568889
world,2015,269751309
world,2020,278899723
world,2025,305522641
world,2030,319826656
world,2035,327830103
