country,time,sorigeq_idea
afg,1975,12.76438
afg,1976,12.72689
afg,1977,12.39537
afg,1978,12.71114
afg,1979,16.02962
afg,1980,13.66263
afg,1981,12.36093
afg,1982,13.5087
afg,1983,13.5587
afg,1984,13.88378
afg,1985,14.07404
afg,1986,13.09666
afg,1987,13.30047
afg,1988,14.62041
afg,1989,14.97024
afg,1990,15.05792
afg,1991,12.80048
afg,1992,13.65498
afg,1993,8.6562
afg,1994,8.53296
afg,1995,9.06402
afg,1996,6.92501
afg,1997,7.90026
afg,1998,7.67304
afg,1999,7.79497
afg,2000,6.79942
afg,2001,9.31317
afg,2002,19.93711
afg,2003,23.47241
afg,2004,25.18589
afg,2005,27.77806
afg,2006,27.72999
afg,2007,28.13257
afg,2008,27.96971
afg,2009,28.25768
afg,2010,28.48742
afg,2011,28.02423
afg,2012,29.08096
afg,2013,28.02273
afg,2014,27.92398
afg,2015,27.94889
afg,2016,26.73196
afg,2017,25.56054
afg,2018,25.92954
afg,2019,28.4558
ago,1975,8.39196
ago,1976,14.20016
ago,1977,14.5619
ago,1978,14.31402
ago,1979,14.56191
ago,1980,14.4206
ago,1981,14.93186
ago,1982,14.68537
ago,1983,15.09155
ago,1984,14.71284
ago,1985,14.70394
ago,1986,14.8433
ago,1987,15.27367
ago,1988,15.26011
ago,1989,14.95685
ago,1990,16.35754
ago,1991,16.81244
ago,1992,18.72842
ago,1993,17.11549
ago,1994,16.42036
ago,1995,16.62313
ago,1996,16.95608
ago,1997,16.83456
ago,1998,17.10738
ago,1999,18.03645
ago,2000,18.59854
ago,2001,18.57239
ago,2002,20.02652
ago,2003,26.22589
ago,2004,26.2305
ago,2005,26.93879
ago,2006,27.14426
ago,2007,26.86944
ago,2008,26.90859
ago,2009,27.26589
ago,2010,30.71653
ago,2011,31.72504
ago,2012,31.66265
ago,2013,31.71331
ago,2014,31.7104
ago,2015,31.89824
ago,2016,31.36709
ago,2017,33.31995
ago,2018,34.65566
ago,2019,34.38384
alb,1975,41.25993
alb,1976,42.45397
alb,1977,42.78471
alb,1978,42.56734
alb,1979,42.40493
alb,1980,42.18998
alb,1981,42.29602
alb,1982,42.13296
alb,1983,42.4205
alb,1984,41.93872
alb,1985,42.00193
alb,1986,42.49853
alb,1987,42.19579
alb,1988,42.50894
alb,1989,42.72869
alb,1990,45.05766
alb,1991,43.09782
alb,1992,45.45538
alb,1993,45.71958
alb,1994,47.40781
alb,1995,47.56883
alb,1996,47.31801
alb,1997,47.16317
alb,1998,47.7825
alb,1999,47.56444
alb,2000,49.90565
alb,2001,49.81558
alb,2002,50.94774
alb,2003,51.12417
alb,2004,51.18281
alb,2005,52.00765
alb,2006,52.63688
alb,2007,53.15115
alb,2008,52.53414
alb,2009,53.55215
alb,2010,53.09892
alb,2011,53.46398
alb,2012,53.55072
alb,2013,54.64682
alb,2014,55.45909
alb,2015,56.10825
alb,2016,56.81746
alb,2017,54.98615
alb,2018,55.80865
alb,2019,58.71102
are,1975,16.30271
are,1976,16.8871
are,1977,17.6425
are,1978,17.13148
are,1979,17.15185
are,1980,17.49841
are,1981,16.59787
are,1982,19.6528
are,1983,19.8578
are,1984,20.74018
are,1985,22.04223
are,1986,21.85996
are,1987,20.71151
are,1988,23.91885
are,1989,22.7193
are,1990,26.40155
are,1991,27.40765
are,1992,28.63924
are,1993,28.6602
are,1994,30.3225
are,1995,30.00487
are,1996,30.97175
are,1997,31.84769
are,1998,32.23559
are,1999,32.22532
are,2000,33.99631
are,2001,34.75583
are,2002,33.76113
are,2003,34.03785
are,2004,32.38384
are,2005,35.54719
are,2006,34.49346
are,2007,36.47598
are,2008,38.49344
are,2009,38.50786
are,2010,38.05613
are,2011,39.99284
are,2012,40.40932
are,2013,40.3874
are,2014,40.09319
are,2015,41.27389
are,2016,38.96277
are,2017,40.16625
are,2018,39.91821
are,2019,39.15405
arg,1975,48.57948
arg,1976,42.70009
arg,1977,41.74839
arg,1978,42.0593
arg,1979,42.45908
arg,1980,42.40726
arg,1981,42.40316
arg,1982,41.49888
arg,1983,49.82743
arg,1984,55.84925
arg,1985,57.41711
arg,1986,57.07673
arg,1987,58.77468
arg,1988,58.85703
arg,1989,58.34431
arg,1990,57.92643
arg,1991,57.23718
arg,1992,58.94948
arg,1993,60.16911
arg,1994,59.71251
arg,1995,60.37681
arg,1996,60.08819
arg,1997,60.3826
arg,1998,60.76732
arg,1999,60.59309
arg,2000,60.42522
arg,2001,61.40973
arg,2002,61.81314
arg,2003,63.01159
arg,2004,63.42135
arg,2005,63.71678
arg,2006,62.95496
arg,2007,64.64029
arg,2008,65.68199
arg,2009,66.18021
arg,2010,66.21125
arg,2011,66.21645
arg,2012,65.99405
arg,2013,63.16328
arg,2014,63.7149
arg,2015,63.85787
arg,2016,64.82025
arg,2017,62.27254
arg,2018,62.13249
arg,2019,62.14344
arm,1991,54.50581
arm,1992,53.18574
arm,1993,53.93705
arm,1994,54.97948
arm,1995,52.68907
arm,1996,52.14153
arm,1997,52.42757
arm,1998,52.33535
arm,1999,52.63838
arm,2000,50.67192
arm,2001,51.45484
arm,2002,51.68176
arm,2003,50.56258
arm,2004,50.54332
arm,2005,50.95843
arm,2006,52.43196
arm,2007,53.59777
arm,2008,52.08204
arm,2009,51.93972
arm,2010,52.232
arm,2011,52.35178
arm,2012,52.37906
arm,2013,51.29981
arm,2014,52.50568
arm,2015,52.63222
arm,2016,52.94413
arm,2017,54.35203
arm,2018,57.84077
arm,2019,61.25761
aus,1975,66.43416
aus,1976,66.4596
aus,1977,66.21092
aus,1978,69.30364
aus,1979,69.17451
aus,1980,69.38297
aus,1981,69.21534
aus,1982,69.12546
aus,1983,70.35648
aus,1984,71.22003
aus,1985,71.29359
aus,1986,72.42906
aus,1987,77.15313
aus,1988,75.13292
aus,1989,75.75849
aus,1990,74.698
aus,1991,74.65548
aus,1992,75.20906
aus,1993,75.39398
aus,1994,75.09886
aus,1995,74.9349
aus,1996,75.72201
aus,1997,75.91695
aus,1998,76.2388
aus,1999,76.0899
aus,2000,77.4712
aus,2001,78.20936
aus,2002,78.25209
aus,2003,79.14925
aus,2004,79.26165
aus,2005,79.38983
aus,2006,79.70499
aus,2007,79.76122
aus,2008,80.49697
aus,2009,81.1485
aus,2010,80.74173
aus,2011,79.8128
aus,2012,79.9054
aus,2013,81.19698
aus,2014,81.7443
aus,2015,80.75616
aus,2016,80.4155
aus,2017,80.72305
aus,2018,80.24661
aus,2019,69.06135
aut,1975,64.48632
aut,1976,66.30993
aut,1977,66.52455
aut,1978,66.63674
aut,1979,66.6951
aut,1980,69.57132
aut,1981,69.93599
aut,1982,69.30842
aut,1983,69.06096
aut,1984,69.70619
aut,1985,69.74357
aut,1986,70.41436
aut,1987,71.77477
aut,1988,71.88423
aut,1989,73.49886
aut,1990,72.43132
aut,1991,71.9834
aut,1992,71.66555
aut,1993,72.0543
aut,1994,72.17212
aut,1995,72.95036
aut,1996,72.91319
aut,1997,73.27221
aut,1998,73.35784
aut,1999,73.25723
aut,2000,74.60686
aut,2001,74.53582
aut,2002,74.95994
aut,2003,74.69113
aut,2004,75.13081
aut,2005,75.16603
aut,2006,75.0689
aut,2007,75.75587
aut,2008,75.09621
aut,2009,74.24071
aut,2010,75.83709
aut,2011,76.85723
aut,2012,76.7117
aut,2013,76.34226
aut,2014,75.40133
aut,2015,75.2826
aut,2016,75.51182
aut,2017,76.27732
aut,2018,77.42687
aut,2019,70.53493
aze,1991,39.41276
aze,1992,41.70809
aze,1993,40.74549
aze,1994,36.04259
aze,1995,37.16633
aze,1996,37.43616
aze,1997,36.80254
aze,1998,36.94627
aze,1999,37.04871
aze,2000,36.30538
aze,2001,37.0832
aze,2002,37.20315
aze,2003,37.71627
aze,2004,36.79942
aze,2005,37.41543
aze,2006,36.97095
aze,2007,36.38498
aze,2008,37.30504
aze,2009,37.16436
aze,2010,37.51346
aze,2011,38.1693
aze,2012,37.8102
aze,2013,38.63528
aze,2014,39.43532
aze,2015,38.7828
aze,2016,36.19431
aze,2017,37.96471
aze,2018,39.27363
aze,2019,38.65879
bdi,1975,16.5701
bdi,1976,17.3692
bdi,1977,18.46226
bdi,1978,19.19655
bdi,1979,19.05112
bdi,1980,19.07811
bdi,1981,20.38184
bdi,1982,23.10593
bdi,1983,22.63101
bdi,1984,23.66313
bdi,1985,25.13748
bdi,1986,25.69493
bdi,1987,24.87901
bdi,1988,24.50521
bdi,1989,25.0337
bdi,1990,25.09154
bdi,1991,25.59193
bdi,1992,26.89056
bdi,1993,29.66622
bdi,1994,31.57958
bdi,1995,32.7492
