country,time,manuf_employ
afg,1991,5.14
afg,1992,5.04
afg,1993,4.79
afg,1994,4.77
afg,1995,4.74
afg,1996,4.57
afg,1997,4.4
afg,1998,4.25
afg,1999,4.07
afg,2000,3.86
afg,2001,3.61
afg,2002,4.04
afg,2003,4.09
afg,2004,3.99
afg,2005,4.13
afg,2006,4.19
afg,2007,4.47
afg,2008,4.56
afg,2009,5.06
afg,2010,5.55
afg,2011,5.74
afg,2012,6.23
afg,2013,6.57
afg,2014,6.85
afg,2015,7.1
afg,2016,7.43
afg,2017,7.88
afg,2018,7.96
afg,2019,8.08
ago,1991,3.42
ago,1992,3.39
ago,1993,3.39
ago,1994,3.37
ago,1995,3.34
ago,1996,3.31
ago,1997,3.31
ago,1998,3.31
ago,1999,3.26
ago,2000,3.23
ago,2001,3.2
ago,2002,3.14
ago,2003,3.09
ago,2004,3.03
ago,2005,2.83
ago,2006,2.63
ago,2007,2.45
ago,2008,2.26
ago,2009,2.09
ago,2010,1.86
ago,2011,1.65
ago,2012,1.57
ago,2013,1.51
ago,2014,1.44
ago,2015,1.39
ago,2016,1.35
ago,2017,1.31
ago,2018,1.28
ago,2019,1.24
alb,1991,5.37
alb,1992,5.22
alb,1993,5.25
alb,1994,5.29
alb,1995,5.37
alb,1996,5.47
alb,1997,5.29
alb,1998,5.4
alb,1999,5.53
alb,2000,5.59
alb,2001,5.72
alb,2002,5.83
alb,2003,5.99
alb,2004,6.15
alb,2005,6.41
alb,2006,6.7
alb,2007,6.87
alb,2008,7.07
alb,2009,8.05
alb,2010,8.23
alb,2011,7.66
alb,2012,7.16
alb,2013,7.52
alb,2014,8.71
alb,2015,9.25
alb,2016,10.19
alb,2017,10.14
alb,2018,10.59
alb,2019,10.95
are,1991,11.11
are,1992,11.07
are,1993,11.01
are,1994,11.01
are,1995,10.96
are,1996,10.94
are,1997,10.95
are,1998,10.95
are,1999,10.96
are,2000,10.97
are,2001,10.97
are,2002,10.97
are,2003,10.92
are,2004,10.93
are,2005,10.98
are,2006,11.02
are,2007,11.06
are,2008,11.13
are,2009,11.17
are,2010,11.21
are,2011,11.24
are,2012,11.17
are,2013,11.09
are,2014,10.96
are,2015,10.84
are,2016,10.74
are,2017,10.67
are,2018,10.63
are,2019,10.54
arg,1991,24.36
arg,1992,24.5
arg,1993,22.61
arg,1994,21.24
arg,1995,20.12
arg,1996,16.5
arg,1997,16.54
arg,1998,15.52
arg,1999,14.52
arg,2000,14.05
arg,2001,13.95
arg,2002,13.21
arg,2003,13.83
arg,2004,14.16
arg,2005,14.31
arg,2006,14.28
arg,2007,14.23
arg,2008,14.14
arg,2009,13.33
arg,2010,13.68
arg,2011,13.45
arg,2012,13.21
arg,2013,13.32
arg,2014,13.23
arg,2015,12.95
arg,2016,12.66
arg,2017,12.35
arg,2018,11.76
arg,2019,11.93
arm,1991,10.39
arm,1992,10.07
arm,1993,9.76
arm,1994,9.48
arm,1995,9.2
arm,1996,8.94
arm,1997,8.68
arm,1998,8.44
arm,1999,8.2
arm,2000,7.98
arm,2001,7.78
arm,2002,7.61
arm,2003,7.46
arm,2004,7.29
arm,2005,7.1
arm,2006,6.92
arm,2007,6.86
arm,2008,6.46
arm,2009,6.08
arm,2010,5.74
arm,2011,6.75
arm,2012,7.98
arm,2013,8.3
arm,2014,8.34
arm,2015,7.85
arm,2016,8.27
arm,2017,9.14
arm,2018,9.95
arm,2019,10.21
aus,1991,13.8
aus,1992,13.77
aus,1993,13.55
aus,1994,13.55
aus,1995,13.11
aus,1996,12.89
aus,1997,13
aus,1998,12.33
aus,1999,11.81
aus,2000,12.09
aus,2001,11.59
aus,2002,11.52
aus,2003,11.02
aus,2004,10.92
aus,2005,10.37
aus,2006,10.01
aus,2007,9.88
aus,2008,10.26
aus,2009,9.26
aus,2010,8.9
aus,2011,8.47
aus,2012,8.38
aus,2013,8.05
aus,2014,7.99
aus,2015,7.55
aus,2016,7.55
aus,2017,7.24
aus,2018,7.42
aus,2019,6.86
aut,1991,23.13
aut,1992,22.76
aut,1993,22.2
aut,1994,21.85
aut,1995,22.03
aut,1996,21.31
aut,1997,20.59
aut,1998,20.46
aut,1999,20.48
aut,2000,20.57
aut,2001,19.94
aut,2002,19.52
aut,2003,19.41
aut,2004,18.43
aut,2005,18.35
aut,2006,18.91
aut,2007,18.19
aut,2008,15.71
aut,2009,14.95
aut,2010,15.24
aut,2011,15.84
aut,2012,15.79
aut,2013,15.66
aut,2014,15.65
aut,2015,15.98
aut,2016,15.95
aut,2017,15.63
aut,2018,16.19
aut,2019,15.93
aze,1991,6.18
aze,1992,5.98
aze,1993,5.73
aze,1994,5.54
aze,1995,5.38
aze,1996,5.19
aze,1997,4.98
aze,1998,4.83
aze,1999,4.88
aze,2000,4.57
aze,2001,4.41
aze,2002,4.55
aze,2003,4.65
aze,2004,4.76
aze,2005,4.9
aze,2006,3.7
aze,2007,4.83
aze,2008,4.82
aze,2009,5.01
aze,2010,4.83
aze,2011,4.81
aze,2012,4.85
aze,2013,4.96
aze,2014,4.93
aze,2015,4.92
aze,2016,5.09
aze,2017,5.17
aze,2018,5.22
aze,2019,5.32
bdi,1991,1.81
bdi,1992,1.79
bdi,1993,1.76
bdi,1994,1.73
bdi,1995,1.69
bdi,1996,1.64
bdi,1997,1.62
bdi,1998,1.61
bdi,1999,1.61
bdi,2000,1.62
bdi,2001,1.62
bdi,2002,1.62
bdi,2003,1.63
bdi,2004,1.61
bdi,2005,1.65
bdi,2006,1.65
bdi,2007,1.68
bdi,2008,1.69
bdi,2009,1.71
bdi,2010,1.71
bdi,2011,1.73
bdi,2012,1.75
bdi,2013,1.76
bdi,2014,1.77
bdi,2015,1.76
bdi,2016,1.76
bdi,2017,1.75
bdi,2018,1.73
bdi,2019,1.7
bel,1991,23.61
bel,1992,23
bel,1993,21.63
bel,1994,20.72
bel,1995,20.13
bel,1996,19.89
bel,1997,19.75
bel,1998,19.42
bel,1999,18.53
bel,2000,18.75
bel,2001,18.32
bel,2002,18.3
bel,2003,17.76
bel,2004,17.45
bel,2005,17.17
bel,2006,16.78
bel,2007,16.54
bel,2008,15.98
bel,2009,14.84
bel,2010,14.55
bel,2011,14.22
bel,2012,13.15
bel,2013,13
bel,2014,12.8
bel,2015,12.95
bel,2016,12.45
bel,2017,12.38
bel,2018,12.83
bel,2019,12.3
ben,1991,17.27
ben,1992,17.24
ben,1993,17.16
ben,1994,17.55
ben,1995,17.42
ben,1996,17.36
ben,1997,17.28
ben,1998,17.14
ben,1999,17.06
ben,2000,16.92
ben,2001,16.78
ben,2002,16.66
ben,2003,16.53
ben,2004,16.34
ben,2005,16.25
ben,2006,16.1
ben,2007,15.89
ben,2008,15.68
ben,2009,15.56
ben,2010,15.43
ben,2011,15.31
ben,2012,15.19
ben,2013,15.13
ben,2014,15.04
ben,2015,15.05
ben,2016,14.86
ben,2017,14.83
ben,2018,14.79
ben,2019,14.78
bfa,1991,2.66
bfa,1992,2.7
bfa,1993,2.74
bfa,1994,2.81
bfa,1995,3.08
bfa,1996,3.36
bfa,1997,3.71
bfa,1998,4.07
bfa,1999,4.49
bfa,2000,4.93
bfa,2001,5.43
bfa,2002,5.99
bfa,2003,6.64
bfa,2004,7.32
bfa,2005,8.01
bfa,2006,8.83
bfa,2007,9.68
bfa,2008,10.47
bfa,2009,11.39
bfa,2010,12.21
bfa,2011,13.06
bfa,2012,13.83
bfa,2013,14.61
bfa,2014,15.3
bfa,2015,15.45
bfa,2016,15.47
bfa,2017,15.43
bfa,2018,15.37
bfa,2019,15.26
bgd,1991,12.37
bgd,1992,11.34
bgd,1993,10.34
bgd,1994,9.36
bgd,1995,8.48
bgd,1996,7.64
bgd,1997,7.64
bgd,1998,7.66
bgd,1999,7.64
bgd,2000,7.62
bgd,2001,8.13
bgd,2002,8.62
bgd,2003,9.16
bgd,2004,9.75
bgd,2005,10.41
bgd,2006,11.03
bgd,2007,11.41
bgd,2008,11.75
bgd,2009,12.05
bgd,2010,12.39
bgd,2011,12.73
bgd,2012,13.07
bgd,2013,13.39
bgd,2014,13.73
bgd,2015,14.08
bgd,2016,14.44
bgd,2017,14.42
bgd,2018,14.61
bgd,2019,14.82
bgr,1991,30.59
bgr,1992,29.63
bgr,1993,28.8
bgr,1994,28.24
bgr,1995,27.63
bgr,1996,27.23
bgr,1997,26.06
bgr,1998,25.58
bgr,1999,24.33
bgr,2000,23.54
bgr,2001,24.09
bgr,2002,23.84
bgr,2003,23.35
bgr,2004,23.92
bgr,2005,24.47
bgr,2006,23.96
bgr,2007,23.56
bgr,2008,22.9
bgr,2009,21.94
bgr,2010,20.53
bgr,2011,20
bgr,2012,20.57
bgr,2013,19.64
bgr,2014,19.61
bgr,2015,19.71
bgr,2016,19.52
bgr,2017,19.1
bgr,2018,19.04
bgr,2019,18.78
bhr,1991,12.68
bhr,1992,13.08
bhr,1993,13.56
bhr,1994,14.06
bhr,1995,14.61
bhr,1996,15.01
bhr,1997,15.5
