country,time,immigrant_pc
afg,1990,0.46
afg,1995,0.39
afg,2000,0.37
afg,2005,0.34
afg,2010,0.35
afg,2015,0.99
afg,2020,0.37
ago,1990,0.28
ago,1995,0.29
ago,2000,0.28
ago,2005,0.32
ago,2010,1.44
ago,2015,2.27
ago,2020,2
alb,1990,2.01
alb,1995,2.29
alb,2000,2.45
alb,2005,2.1
alb,2010,1.79
alb,2015,1.8
alb,2020,1.7
and,1990,71.35
and,1995,69.22
and,2000,64.45
and,2005,63.77
and,2010,61.63
and,2015,54.19
and,2020,58.98
are,1990,71.46
are,1995,75.53
are,2000,78.08
are,2005,71.51
are,2010,85.58
are,2015,86.31
are,2020,88.13
arg,1990,5.06
arg,1995,4.58
arg,2000,4.18
arg,2005,4.3
arg,2010,4.42
arg,2015,4.84
arg,2020,5.05
arm,1990,18.62
arm,1995,21.57
arm,2000,21.43
arm,2005,15.74
arm,2010,7.34
arm,2015,6.54
arm,2020,6.42
atg,1990,19.24
atg,1995,25.56
atg,2000,30.35
atg,2005,30.37
atg,2010,30
atg,2015,30.01
atg,2020,30.01
aus,1990,23.32
aus,1995,23.08
aus,2000,23.1
aus,2005,24.17
aus,2010,26.55
aus,2015,28.12
aus,2020,30.14
aut,1990,10.27
aut,1995,11.2
aut,2000,12.35
aut,2005,13.66
aut,2010,15.16
aut,2015,17.09
aut,2020,19.3
aze,1990,4.98
aze,1995,4.43
aze,2000,4.03
aze,2005,3.53
aze,2010,3.07
aze,2015,2.75
aze,2020,2.49
bdi,1990,6.12
bdi,1995,4.26
bdi,2000,1.97
bdi,2005,2.62
bdi,2010,2.85
bdi,2015,2.94
bdi,2020,2.9
bel,1990,12.8
bel,1995,12.64
bel,2000,12.34
bel,2005,11.84
bel,2010,13.75
bel,2015,15.8
bel,2020,17.3
ben,1990,1.54
ben,1995,1.79
ben,2000,1.96
ben,2005,3.11
ben,2010,3.36
ben,2015,3.46
ben,2020,3.25
bfa,1990,3.97
bfa,1995,4.6
bfa,2000,4.48
bfa,2005,4.45
bfa,2010,4.32
bfa,2015,3.89
bfa,2020,3.46
bgd,1990,0.85
bgd,1995,0.81
bgd,2000,0.77
bgd,2005,0.76
bgd,2010,0.91
bgd,2015,0.91
bgd,2020,1.28
bgr,1990,0.24
bgr,1995,0.39
bgr,2000,0.54
bgr,2005,0.79
bgr,2010,1.03
bgr,2015,1.72
bgr,2020,2.65
bhr,1990,34.93
bhr,1995,36.54
bhr,2000,36.02
bhr,2005,45.44
bhr,2010,53.7
bhr,2015,52.67
bhr,2020,55.01
bhs,1990,10.48
bhs,1995,11.3
bhs,2000,12.23
bhs,2005,14.02
bhs,2010,15.42
bhs,2015,15.83
bhs,2020,16.17
bih,1990,1.25
bih,1995,1.81
bih,2000,2.21
bih,2005,1.26
bih,2010,1.05
bih,2015,1.13
bih,2020,1.1
blr,1990,12.3
blr,1995,11.77
blr,2000,11.38
blr,2005,11.58
blr,2010,11.57
blr,2015,11.47
blr,2020,11.29
blz,1990,16.21
blz,1995,16.16
blz,2000,14.75
blz,2005,14.6
blz,2010,14.39
blz,2015,15.13
blz,2020,15.6
bol,1990,1.07
bol,1995,1.1
bol,2000,1.1
bol,2005,1.17
bol,2010,1.22
bol,2015,1.32
bol,2020,1.41
bra,1990,0.54
bra,1995,0.46
bra,2000,0.39
bra,2005,0.34
bra,2010,0.3
bra,2015,0.35
bra,2020,0.51
brb,1990,9.21
brb,1995,9.86
brb,2000,10.47
brb,2005,11.08
brb,2010,11.63
brb,2015,12.08
brb,2020,12.13
brn,1990,28.29
brn,1995,28.52
brn,2000,28.9
brn,2005,26.96
brn,2010,25.88
brn,2015,24.76
brn,2020,25.59
btn,1990,4.49
btn,1995,5.23
btn,2000,5.44
btn,2005,6.21
btn,2010,7.06
btn,2015,7.02
