global,time,popcit_more_10m
world,1950,23613112
world,1955,26932041
world,1960,41457183
world,1965,48526451
world,1970,54760193
world,1975,69526988
world,1980,86294534
world,1985,132780054
world,1990,153300370
world,1995,207532416
world,2000,245385636
world,2005,307461011
world,2010,387088566
world,2015,462785215
world,2020,556770452
world,2025,635937953
world,2030,751933610
world,2035,862082262
