country,time,cc_vser_somw_t_per
afg,2019,76.9
afg,2021,81.3
alb,2019,83
alb,2021,86.2
are,2019,51.6
are,2021,51.4
arg,2019,89.3
arg,2021,89.4
arm,2019,76
arm,2021,69.7
aus,2019,80.7
aus,2021,81.2
aut,2019,89.4
aut,2021,89.2
aze,2019,69.9
bel,2019,91.6
bel,2021,82.3
ben,2019,69.9
ben,2021,74
bfa,2019,78.1
bfa,2021,79.2
bgd,2019,52.1
bgd,2021,61.3
bgr,2019,83.8
bgr,2021,79.2
bhr,2019,56.5
bih,2019,90.3
bih,2021,81.7
blr,2019,73
bol,2019,89.2
bol,2021,89.4
bra,2019,79.7
bra,2021,89.8
bwa,2019,62.9
can,2019,86.6
can,2021,85.9
che,2019,86.2
che,2021,94.8
chl,2019,95
chl,2021,93.2
chn,2019,58.1
chn,2021,63.4
civ,2019,62.4
civ,2021,77.5
cmr,2019,73.1
cmr,2021,72.5
cog,2019,67.3
cog,2021,58.5
col,2019,88.9
col,2021,82.4
cri,2019,92
cri,2021,85.8
cyp,2019,91
cyp,2021,89
cze,2021,87.7
deu,2019,88.6
deu,2021,93.8
dnk,2019,88.4
dnk,2021,84.6
dom,2019,73.7
dom,2021,61.5
dza,2019,75.3
dza,2021,75.8
ecu,2019,89.4
ecu,2021,83
egy,2019,57
egy,2021,51.8
esp,2019,95.1
esp,2021,94.7
est,2019,78.1
est,2021,79.9
eth,2019,51.2
fin,2019,80.1
fin,2021,88.8
fra,2019,94.7
fra,2021,93.2
gab,2019,73.4
gab,2021,77.9
gbr,2019,88.8
gbr,2021,92.1
geo,2019,92.9
geo,2021,88.8
gha,2019,71.4
gha,2021,71.3
gin,2019,75.5
gin,2021,76.1
gmb,2019,62.1
grc,2019,97.6
grc,2021,94.3
gtm,2019,75.5
hkg,2019,88
hkg,2021,82.4
hnd,2019,80.2
hnd,2021,69
hrv,2019,93.6
hrv,2021,91.9
hun,2019,95.3
hun,2021,91.6
idn,2019,56.2
idn,2021,57.9
ind,2019,60.6
ind,2021,63.9
irl,2019,86.2
irl,2021,91.4
irn,2019,67.8
irn,2021,71.2
irq,2019,62.4
irq,2021,63.6
isl,2021,82.4
isr,2019,80.7
isr,2021,73.2
ita,2019,93.7
ita,2021,94.7
jam,2019,66.5
jam,2021,55
jor,2019,65.1
jor,2021,52.4
jpn,2019,94.5
jpn,2021,93.3
kaz,2019,63.7
kaz,2021,57.8
ken,2019,75.3
ken,2021,74.9
kgz,2019,72.1
kgz,2021,76
khm,2019,47.6
khm,2021,61.8
kor,2019,94
kor,2021,92.7
kwt,2019,59.2
lao,2019,37.7
lao,2021,39.6
lbn,2019,85.8
lbn,2021,70.4
lbr,2019,64.8
lby,2019,52.9
lka,2019,75.6
lka,2021,82
lso,2019,82.2
ltu,2019,65.2
ltu,2021,80.4
lux,2019,90.5
lva,2019,84.2
lva,2021,72.6
mar,2019,56.3
mar,2021,54.3
mda,2019,78.9
mda,2021,75.5
mdg,2019,78.3
mex,2019,86.5
mex,2021,87.2
mkd,2019,91.3
mkd,2021,83.2
mli,2019,73.5
mli,2021,77.3
mlt,2019,85.7
mlt,2021,83.4
mmr,2019,57.5
mmr,2021,61.2
mne,2019,86.3
mng,2019,75.1
mng,2021,71.8
moz,2019,58.5
moz,2021,54.6
mrt,2019,70.7
mus,2019,85.5
mus,2021,85.3
mwi,2019,84.5
mys,2019,71.7
mys,2021,79.4
nam,2019,79.6
nam,2021,62.7
ner,2019,55
nga,2019,69.2
nga,2021,59.8
nic,2019,78.7
nic,2021,67.3
nld,2019,80.5
nld,2021,86.9
nor,2019,82.9
nor,2021,88.5
npl,2019,47.1
npl,2021,60.3
nzl,2019,81.6
nzl,2021,79.1
pak,2019,76.2
pak,2021,65.8
pan,2019,86.6
pan,2021,77.4
per,2019,91.9
per,2021,83.4
phl,2019,76
phl,2021,87.3
pol,2019,86.5
pol,2021,84.9
prt,2019,95.7
prt,2021,93.6
pry,2019,87
pry,2021,70.6
pse,2019,73.7
rou,2019,87.4
rou,2021,87.4
rus,2019,63.1
rus,2021,67.2
rwa,2019,68.8
sau,2019,49.3
sau,2021,29.9
sen,2019,77.7
sen,2021,74.8
sgp,2019,90.1
sgp,2021,78.9
sle,2019,66.5
sle,2021,73.7
slv,2019,82.5
slv,2021,71.2
srb,2019,89.1
srb,2021,85.5
svk,2019,92.7
svk,2021,92.2
svn,2019,87.1
svn,2021,90.1
swe,2019,84.7
swe,2021,89.1
swz,2019,84
tcd,2019,70
tgo,2019,71.5
tgo,2021,81.2
tha,2019,70.7
tha,2021,80.4
tjk,2019,76.5
tjk,2021,65.9
tkm,2019,67.6
tun,2019,60.5
tun,2021,63.7
tur,2019,77.2
tur,2021,86.4
twn,2019,95.8
twn,2021,92
tza,2019,60.1
tza,2021,55.6
uga,2019,72.3
uga,2021,75.9
ukr,2019,79.4
ukr,2021,80.3
ury,2019,90.2
ury,2021,84.4
usa,2019,71.6
usa,2021,72.6
uzb,2019,55
uzb,2021,61.6
ven,2019,84.4
ven,2021,78.4
vnm,2019,83.8
vnm,2021,92.4
yem,2019,46.7
zaf,2019,71.2
zaf,2021,65
zmb,2019,76.5
zmb,2021,66.9
zwe,2019,77.2
zwe,2021,74.9
