global,time,popcit_1_5m
world,1950,127484471
world,1955,136655322
world,1960,176858598
world,1965,207024244
world,1970,244402211
world,1975,294579163
world,1980,335935742
world,1985,392333506
world,1990,467060399
world,1995,537473606
world,2000,625856752
world,2005,676050552
world,2010,760382723
world,2015,865037379
world,2020,976785970
world,2025,1103811784
world,2030,1182838823
world,2035,1262974000
