country,time,mincpcap_cppp
afg,1800,0.9194
afg,1801,0.9194
afg,1802,0.9194
afg,1803,0.9194
afg,1804,0.9194
afg,1805,0.9194
afg,1806,0.9194
afg,1807,0.9194
afg,1808,0.9194
afg,1809,0.9194
afg,1810,0.9207
afg,1811,0.9207
afg,1812,0.9207
afg,1813,0.9207
afg,1814,0.9207
afg,1815,0.9207
afg,1816,0.9207
afg,1817,0.9207
afg,1818,0.9207
afg,1819,0.9207
afg,1820,0.9207
afg,1821,0.9262
afg,1822,0.9289
afg,1823,0.9316
afg,1824,0.9344
afg,1825,0.9385
afg,1826,0.9412
afg,1827,0.9439
afg,1828,0.9466
afg,1829,0.9507
afg,1830,0.9535
afg,1831,0.9562
afg,1832,0.9603
afg,1833,0.9644
afg,1834,0.9671
afg,1835,0.9698
afg,1836,0.9726
afg,1837,0.9767
afg,1838,0.9807
afg,1839,0.9835
afg,1840,0.9862
afg,1841,0.9903
afg,1842,0.993
afg,1843,0.9971
afg,1844,0.9998
afg,1845,1.0039
afg,1846,1.0067
afg,1847,1.0108
afg,1848,1.0135
afg,1849,1.0176
afg,1850,1.0203
afg,1851,1.0244
afg,1852,1.0285
afg,1853,1.0312
afg,1854,1.0339
afg,1855,1.038
afg,1856,1.0421
afg,1857,1.0449
afg,1858,1.0489
afg,1859,1.0517
afg,1860,1.0558
afg,1861,1.0599
afg,1862,1.0626
afg,1863,1.0667
afg,1864,1.0708
afg,1865,1.0735
afg,1866,1.0776
afg,1867,1.0817
afg,1868,1.0844
afg,1869,1.0885
afg,1870,1.0926
afg,1871,1.0967
afg,1872,1.0994
afg,1873,1.1035
afg,1874,1.1076
afg,1875,1.1117
afg,1876,1.1144
afg,1877,1.1199
afg,1878,1.1226
afg,1879,1.1267
afg,1880,1.1294
afg,1881,1.1472
afg,1882,1.1635
afg,1883,1.1799
afg,1884,1.1949
afg,1885,1.2113
afg,1886,1.2263
afg,1887,1.2426
afg,1888,1.2563
afg,1889,1.2713
afg,1890,1.2877
afg,1891,1.3013
afg,1892,1.3149
afg,1893,1.3286
afg,1894,1.3422
afg,1895,1.3572
afg,1896,1.3695
afg,1897,1.3831
afg,1898,1.3968
afg,1899,1.4077
afg,1900,1.42
afg,1901,1.4322
afg,1902,1.4432
afg,1903,1.4554
afg,1904,1.4677
afg,1905,1.4786
afg,1906,1.4882
afg,1907,1.4991
afg,1908,1.5086
afg,1909,1.5195
afg,1910,1.5277
afg,1911,1.5373
afg,1912,1.5468
afg,1913,1.5564
afg,1914,1.5659
afg,1915,1.5768
afg,1916,1.5864
afg,1917,1.5959
afg,1918,1.6055
afg,1919,1.615
afg,1920,1.6232
afg,1921,1.6355
afg,1922,1.645
afg,1923,1.6573
afg,1924,1.6682
afg,1925,1.6764
afg,1926,1.6873
afg,1927,1.6969
afg,1928,1.7064
afg,1929,1.716
afg,1930,1.7241
afg,1931,1.7323
afg,1932,1.7405
afg,1933,1.7487
afg,1934,1.7555
afg,1935,1.7623
afg,1936,1.7678
afg,1937,1.7746
afg,1938,1.7801
afg,1939,1.7842
afg,1940,1.791
afg,1941,1.7951
afg,1942,1.7978
afg,1943,1.8033
afg,1944,1.8046
afg,1945,1.8073
afg,1946,1.8101
afg,1947,1.8114
afg,1948,1.8128
afg,1949,1.8128
afg,1950,1.8142
afg,1951,1.836
afg,1952,1.866
afg,1953,1.9451
afg,1954,1.9533
afg,1955,1.9547
afg,1956,2.0051
afg,1957,1.9656
afg,1958,2.0365
afg,1959,2.0501
afg,1960,2.0802
afg,1961,2.0542
afg,1962,2.0433
afg,1963,2.0365
afg,1964,2.0256
afg,1965,2.0242
afg,1966,1.9956
afg,1967,2.0038
afg,1968,2.0242
afg,1969,2.0051
afg,1970,1.9956
afg,1971,1.941
afg,1972,1.5796
afg,1973,1.5864
afg,1974,1.63
afg,1975,1.6846
afg,1976,1.7337
afg,1977,1.6027
afg,1978,1.6791
afg,1979,1.6055
afg,1980,1.5987
afg,1981,1.7951
afg,1982,1.9929
afg,1983,2.1129
afg,1984,2.0979
afg,1985,2.0461
afg,1986,2.1088
afg,1987,1.9001
afg,1988,1.7269
afg,1989,1.5673
afg,1990,1.5114
afg,1991,1.3818
afg,1992,1.3245
afg,1993,0.9071
afg,1994,0.6725
afg,1995,0.993
afg,1996,0.9412
afg,1997,0.8948
afg,1998,0.8553
afg,1999,0.8143
afg,2000,0.7884
afg,2001,0.768
afg,2002,1.6232
afg,2003,1.686
afg,2004,1.6368
afg,2005,1.7555
afg,2006,1.7951
afg,2007,1.9929
afg,2008,2.0242
afg,2009,2.3993
afg,2010,2.6694
afg,2011,2.5985
afg,2012,2.8304
afg,2013,2.8863
afg,2014,2.8672
afg,2015,2.8208
afg,2016,2.8058
afg,2017,2.8072
afg,2018,2.7745
afg,2019,2.8167
afg,2020,2.6162
afg,2021,2.6599
afg,2022,2.7172
afg,2023,2.7758
afg,2024,2.8222
afg,2025,2.8686
afg,2026,2.9163
afg,2027,2.9654
afg,2028,3.0173
afg,2029,3.0718
afg,2030,3.1305
afg,2031,3.1918
afg,2032,3.256
afg,2033,3.3228
afg,2034,3.3924
afg,2035,3.4647
afg,2036,3.5369
afg,2037,3.612
afg,2038,3.6897
afg,2039,3.7675
afg,2040,3.8479
afg,2041,3.9284
afg,2042,4.013
afg,2043,4.0976
afg,2044,4.1849
afg,2045,4.2735
afg,2046,4.3649
afg,2047,4.4563
afg,2048,4.5518
afg,2049,4.6486
afg,2050,4.7468
ago,1800,2.265
ago,1801,2.2715
ago,1802,2.2846
ago,1803,2.2945
ago,1804,2.301
ago,1805,2.3109
ago,1806,2.324
ago,1807,2.3338
ago,1808,2.3469
ago,1809,2.3535
ago,1810,2.3633
ago,1811,2.3731
ago,1812,2.3863
ago,1813,2.3961
ago,1814,2.4092
ago,1815,2.419
ago,1816,2.4256
ago,1817,2.4354
ago,1818,2.4485
ago,1819,2.4584
ago,1820,2.4715
ago,1821,2.4715
ago,1822,2.4748
ago,1823,2.478
ago,1824,2.478
ago,1825,2.4813
ago,1826,2.4813
ago,1827,2.4846
ago,1828,2.4846
ago,1829,2.4879
ago,1830,2.4879
ago,1831,2.4944
ago,1832,2.4944
ago,1833,2.4977
ago,1834,2.4977
ago,1835,2.4977
ago,1836,2.501
ago,1837,2.501
ago,1838,2.5043
ago,1839,2.5075
ago,1840,2.5075
ago,1841,2.5075
ago,1842,2.5108
ago,1843,2.5141
ago,1844,2.5141
ago,1845,2.5141
ago,1846,2.5174
ago,1847,2.5174
ago,1848,2.5174
ago,1849,2.5206
ago,1850,2.5206
ago,1851,2.5239
ago,1852,2.5239
ago,1853,2.5239
ago,1854,2.5272
ago,1855,2.5272
ago,1856,2.5272
ago,1857,2.5272
ago,1858,2.5305
ago,1859,2.5305
ago,1860,2.5305
ago,1861,2.5305
ago,1862,2.5338
ago,1863,2.5305
ago,1864,2.5338
ago,1865,2.5338
ago,1866,2.5338
ago,1867,2.537
ago,1868,2.5338
ago,1869,2.537
ago,1870,2.537
ago,1871,2.537
ago,1872,2.537
ago,1873,2.537
ago,1874,2.537
ago,1875,2.537
ago,1876,2.537
ago,1877,2.537
ago,1878,2.537
ago,1879,2.537
ago,1880,2.537
ago,1881,2.537
ago,1882,2.537
ago,1883,2.537
ago,1884,2.537
ago,1885,2.5338
ago,1886,2.5338
ago,1887,2.5338
ago,1888,2.5338
ago,1889,2.5338
ago,1890,2.5338
ago,1891,2.5305
ago,1892,2.5305
ago,1893,2.5305
ago,1894,2.5272
ago,1895,2.5272
ago,1896,2.5272
ago,1897,2.5272
ago,1898,2.5272
ago,1899,2.5239
ago,1900,2.5239
ago,1901,2.5206
ago,1902,2.5206
ago,1903,2.5206
ago,1904,2.5174
ago,1905,2.5141
ago,1906,2.5141
ago,1907,2.5108
ago,1908,2.5108
ago,1909,2.5108
ago,1910,2.5075
ago,1911,2.5075
ago,1912,2.5043
ago,1913,2.501
ago,1914,2.5633
ago,1915,2.6255
ago,1916,2.6878
ago,1917,2.7534
ago,1918,2.8189
ago,1919,2.8878
ago,1920,2.9566
ago,1921,3.0353
ago,1922,3.1139
ago,1923,3.1959
ago,1924,3.2811
ago,1925,3.3663
ago,1926,3.4548
ago,1927,3.5433
ago,1928,3.6351
ago,1929,3.7302
ago,1930,3.8285
ago,1931,3.9268
ago,1932,4.0252
ago,1933,4.1301
ago,1934,4.2349
ago,1935,4.3464
ago,1936,4.4578
ago,1937,4.5693
ago,1938,4.6873
ago,1939,4.8086
ago,1940,4.9298
ago,1941,5.0544
