country,time,c_checkgvt_idea
afg,1976,-0.5107
afg,1977,-0.21863
afg,1978,0.96226
afg,1979,0.07238
afg,1980,0.06892
afg,1981,-0.37895
afg,1982,0.21035
afg,1983,0.02303
afg,1984,0.28105
afg,1985,0.15759
afg,1986,-0.19897
afg,1987,-0.51602
afg,1988,13.28744
afg,1989,-0.05475
afg,1990,1.04152
afg,1991,-1.08945
afg,1992,-32.41047
afg,1993,18.89851
afg,1994,0.00862
afg,1995,-0.74218
afg,1996,-3.37151
afg,1997,1.75498
afg,1998,0.01919
afg,1999,-0.2852
afg,2000,0.16611
afg,2001,3.92323
afg,2002,11.75343
afg,2003,0.51136
afg,2004,-32.63653
afg,2005,53.80125
afg,2006,1.60918
afg,2007,0.09113
afg,2008,1.08656
afg,2009,0.89181
afg,2010,-0.15545
afg,2011,0.18001
afg,2012,0.15485
afg,2013,2.39009
afg,2014,-1.83779
afg,2015,0.27297
afg,2016,-2.98147
afg,2017,1.9772
afg,2018,-0.69785
afg,2019,-2.50002
ago,1976,-2.2511
ago,1977,-0.47498
ago,1978,0.04652
ago,1979,0.20296
ago,1980,-0.21937
ago,1981,0.03977
ago,1982,0.31729
ago,1983,-0.19619
ago,1984,-0.23937
ago,1985,0.07716
ago,1986,-0.272
ago,1987,0.09978
ago,1988,0.28419
ago,1989,0.28709
ago,1990,-0.70391
ago,1991,-0.42057
ago,1992,20.09902
ago,1993,-7.91364
ago,1994,-0.13962
ago,1995,-0.11751
ago,1996,0.52952
ago,1997,1.14516
ago,1998,0.73588
ago,1999,-0.31881
ago,2000,0.14717
ago,2001,-0.53397
ago,2002,-0.22801
ago,2003,0.96206
ago,2004,0.11925
ago,2005,-0.10637
ago,2006,0.05991
ago,2007,0.09395
ago,2008,10.83921
ago,2009,-0.42642
ago,2010,-0.42721
ago,2011,-0.31312
ago,2012,-0.01019
ago,2013,-0.28515
ago,2014,0.15573
ago,2015,-0.48778
ago,2016,0.49053
ago,2017,1.7701
ago,2018,7.14148
ago,2019,6.41901
alb,1976,-0.33157
alb,1977,0.60149
alb,1978,-0.52934
alb,1979,-0.07063
alb,1980,0.30849
alb,1981,-1.95225
alb,1982,0.72603
alb,1983,-0.54363
alb,1984,0.49748
alb,1985,-0.23567
alb,1986,-0.0691
alb,1987,0.36171
alb,1988,0.21832
alb,1989,-0.28615
alb,1990,8.28341
alb,1991,28.57293
alb,1992,5.31676
alb,1993,-4.58176
alb,1994,5.38083
alb,1995,-0.43927
alb,1996,0.15893
alb,1997,0.41035
alb,1998,1.69624
alb,1999,-0.26191
alb,2000,1.70111
alb,2001,-0.73542
alb,2002,0.20607
alb,2003,-0.09974
alb,2004,-0.15168
alb,2005,0.48919
alb,2006,-0.03519
alb,2007,0.30526
alb,2008,-0.28625
alb,2009,0.12044
alb,2010,0.20917
alb,2011,-0.22125
alb,2012,0.21851
alb,2013,-5.95264
alb,2014,1.30445
alb,2015,-0.53926
alb,2016,0.37227
alb,2017,-0.15825
alb,2018,-0.12377
alb,2019,1.16359
are,1976,0.0515
are,1977,0.00378
are,1978,-0.60668
are,1979,0.75923
are,1980,-1.15671
are,1981,0.5949
are,1982,-0.2878
are,1983,0.69358
are,1984,1.85051
are,1985,-0.27897
are,1986,0.20133
are,1987,0.35288
are,1988,-0.10384
are,1989,0.11083
are,1990,-0.47024
are,1991,0.49053
are,1992,-0.30302
are,1993,0.37563
are,1994,3.55406
are,1995,-0.0116
are,1996,-0.01633
are,1997,0.01645
are,1998,-0.00212
are,1999,-0.27003
are,2000,0.0469
are,2001,0.08923
are,2002,0.34942
are,2003,-0.27159
are,2004,-3.39988
are,2005,0.14174
are,2006,10.79264
are,2007,0.57734
are,2008,-0.2553
are,2009,-0.31946
are,2010,0.33013
are,2011,1.06065
are,2012,-0.26477
are,2013,0.28277
are,2014,-0.68712
are,2015,-0.42812
are,2016,-0.33826
are,2017,-1.20003
are,2018,0.86777
are,2019,-0.23095
arg,1976,-31.34351
arg,1977,-10.81555
arg,1978,-0.55295
arg,1979,0.52313
arg,1980,1.25517
arg,1981,-1.7001
arg,1982,0.6909
arg,1983,31.83458
arg,1984,18.60647
arg,1985,-0.39435
arg,1986,0.77749
arg,1987,-0.54341
arg,1988,0.43059
arg,1989,0.09539
arg,1990,-5.86174
arg,1991,0.90451
arg,1992,1.03309
arg,1993,0.60301
arg,1994,-0.48986
arg,1995,1.39531
arg,1996,-0.77093
arg,1997,0.36649
arg,1998,0.09787
arg,1999,0.0296
arg,2000,5.80628
arg,2001,0.10078
arg,2002,-2.04736
arg,2003,-1.02648
arg,2004,-0.30908
arg,2005,-1.15467
arg,2006,-0.14018
arg,2007,-0.345
arg,2008,0.0607
arg,2009,-1.26613
arg,2010,0.06949
arg,2011,0.67978
arg,2012,-0.01553
arg,2013,0.33051
arg,2014,-0.0091
arg,2015,-0.19679
arg,2016,1.3088
arg,2017,-0.21748
arg,2018,-0.11751
arg,2019,1.07571
arm,1992,-0.63216
arm,1993,-0.54119
arm,1994,0.20804
arm,1995,-1.32792
arm,1996,-0.93975
arm,1997,-0.83419
arm,1998,-0.45366
arm,1999,-1.38898
arm,2000,-0.2334
arm,2001,-0.29446
arm,2002,-3.16868
arm,2003,1.32462
arm,2004,-0.23103
arm,2005,-0.19066
arm,2006,-0.36517
arm,2007,0.06887
arm,2008,0.51787
arm,2009,-0.23084
arm,2010,1.78953
arm,2011,0.90222
arm,2012,-0.03493
arm,2013,0.37773
arm,2014,0.90528
arm,2015,-1.03192
arm,2016,1.25999
arm,2017,-0.29581
arm,2018,14.74149
arm,2019,3.83252
aus,1976,0.89749
aus,1977,-0.17574
aus,1978,0.17369
aus,1979,0.18167
aus,1980,2.37955
aus,1981,0.01297
aus,1982,-0.09779
aus,1983,0.49798
aus,1984,-0.26717
aus,1985,0.46101
aus,1986,0.17603
aus,1987,-0.68554
aus,1988,0.5322
aus,1989,-0.00059
aus,1990,0.10796
aus,1991,-0.28074
aus,1992,0.0078
aus,1993,0.13197
aus,1994,-0.4654
aus,1995,0.6818
aus,1996,-0.0239
aus,1997,-0.1485
aus,1998,-0.14449
aus,1999,0.09051
aus,2000,0.03489
aus,2001,0.0457
aus,2002,-0.30406
aus,2003,0.20379
aus,2004,0.06697
aus,2005,-0.66538
aus,2006,0.13565
aus,2007,-0.26139
aus,2008,-0.12204
aus,2009,0.05633
aus,2010,0.64087
aus,2011,0.04939
aus,2012,-0.14351
aus,2013,0.66477
aus,2014,-0.25425
aus,2015,-1.33136
aus,2016,0.78147
aus,2017,0.33139
aus,2018,-1.83104
aus,2019,-4.99018
aut,1976,0.83923
aut,1977,-0.73104
aut,1978,0.48577
aut,1979,-0.09924
aut,1980,0.34773
aut,1981,0.36059
aut,1982,0.53767
aut,1983,-0.43508
aut,1984,0.26738
aut,1985,0.7638
aut,1986,-0.08103
aut,1987,1.97516
aut,1988,0.05774
aut,1989,-0.5166
aut,1990,-0.78035
aut,1991,0.54132
aut,1992,0.0235
aut,1993,0.01616
aut,1994,0.26182
aut,1995,-0.19858
aut,1996,-0.12559
aut,1997,-0.07149
aut,1998,-0.01452
aut,1999,0.15206
aut,2000,0.93146
aut,2001,-0.27353
aut,2002,0.26076
aut,2003,0.02089
aut,2004,-0.43275
aut,2005,0.03998
aut,2006,0.00318
aut,2007,1.32464
aut,2008,-0.28277
aut,2009,-0.28355
aut,2010,0.17468
aut,2011,0.10641
aut,2012,-0.01336
aut,2013,-1.42776
aut,2014,0.39766
aut,2015,-0.24491
aut,2016,-0.09738
aut,2017,0.21679
aut,2018,-2.54094
aut,2019,1.66924
aze,1992,6.86013
aze,1993,-7.0565
aze,1994,-3.03971
aze,1995,-1.24616
aze,1996,0.26063
aze,1997,-0.32928
aze,1998,-1.35245
aze,1999,0.57254
aze,2000,0.28559
aze,2001,-0.63781
aze,2002,0.1089
aze,2003,-1.96463
aze,2004,-1.23685
aze,2005,-1.68555
aze,2006,0.05345
aze,2007,0.13658
aze,2008,-0.3011
aze,2009,-0.38216
aze,2010,1.24597
aze,2011,-2.10195
aze,2012,-0.78371
aze,2013,-2.80905
aze,2014,-1.06309
aze,2015,-0.19756
aze,2016,3.43267
aze,2017,-0.12513
aze,2018,-1.15263
aze,2019,0.51486
bdi,1976,0.03213
bdi,1977,1.80535
bdi,1978,0.14824
bdi,1979,-0.30811
bdi,1980,0.06131
bdi,1981,4.57736
bdi,1982,10.3304
bdi,1983,-0.78669
bdi,1984,0.59565
bdi,1985,1.082
bdi,1986,-0.31624
bdi,1987,-5.19594
bdi,1988,-7.5477
bdi,1989,0.68116
bdi,1990,0.5377
bdi,1991,-0.58364
bdi,1992,6.06804
bdi,1993,19.59679
bdi,1994,-13.66845
bdi,1995,0.18409
bdi,1996,1.8893
bdi,1997,0.62156
bdi,1998,0.01203
bdi,1999,0.78047
bdi,2000,0.03391
bdi,2001,-1.70228
bdi,2002,3.302
bdi,2003,1.20168
bdi,2004,0.11453
bdi,2005,13.07512
bdi,2006,-0.85367
bdi,2007,-0.5518
bdi,2008,0.31864
bdi,2009,0.234
bdi,2010,-2.40783
bdi,2011,1.29611
bdi,2012,0.08441
bdi,2013,-3.88668
bdi,2014,0.5647
bdi,2015,-13.36908
bdi,2016,-1.41704
bdi,2017,-6.78571
bdi,2018,-0.2172
bdi,2019,-0.05092
bel,1976,1.07309
bel,1977,-0.30281
bel,1978,-0.09638
bel,1979,0.1577
bel,1980,-0.01249
bel,1981,0.11142
bel,1982,0.61533
bel,1983,-0.13786
bel,1984,0.01883
bel,1985,-0.15117
bel,1986,0.45676
bel,1987,-0.52828
bel,1988,-0.38377
bel,1989,0.43408
bel,1990,2.79186
bel,1991,0.44188
bel,1992,0.71027
bel,1993,0.23985
bel,1994,-0.52538
bel,1995,0.7815
bel,1996,0.12158
bel,1997,-0.05266
bel,1998,0.34571
bel,1999,0.17519
bel,2000,-0.03204
bel,2001,-0.12284
bel,2002,0.57911
bel,2003,-0.38442
bel,2004,0.17811
bel,2005,0.23638
bel,2006,0.13528
bel,2007,0.6235
bel,2008,-1.10731
bel,2009,0.87247
bel,2010,-0.57132
bel,2011,0.30146
bel,2012,-0.2929
bel,2013,1.28357
bel,2014,0.36585
bel,2015,0.16665
bel,2016,-0.65329
bel,2017,-0.80077
bel,2018,-0.08668
bel,2019,2.62025
ben,1976,0.1462
ben,1977,0.05848
ben,1978,0.34473
ben,1979,11.63717
ben,1980,-0.21707
ben,1981,0.05081
ben,1982,0.10583
ben,1983,0.33546
ben,1984,-0.313
ben,1985,0.36413
ben,1986,-0.33299
ben,1987,1.61958
ben,1988,-0.86475
ben,1989,0.13191
ben,1990,-28.24321
ben,1991,61.1781
ben,1992,6.14657
ben,1993,-0.70472
ben,1994,0.19506
ben,1995,0.57198
ben,1996,0.75367
ben,1997,-2.03196
ben,1998,-0.0619
ben,1999,-0.35621
ben,2000,3.63526
ben,2001,-0.41615
ben,2002,1.11621
ben,2003,-0.48442
ben,2004,0.34363
ben,2005,0.09908
ben,2006,-1.25958
ben,2007,-0.24659
ben,2008,-0.22144
ben,2009,-0.02971
ben,2010,-0.08872
ben,2011,-0.29643
ben,2012,0.64428
ben,2013,-1.70092
ben,2014,-0.63869
ben,2015,0.4128
ben,2016,-0.5384
ben,2017,-2.99163
ben,2018,-1.70512
ben,2019,-7.19219
bfa,1976,-0.16437
bfa,1977,-1.69435
bfa,1978,16.57646
bfa,1979,-0.34381
bfa,1980,-11.57376
bfa,1981,-4.6404
bfa,1982,-0.25005
bfa,1983,-1.71827
bfa,1984,0.53834
bfa,1985,0.00464
bfa,1986,-0.4054
bfa,1987,1.72354
bfa,1988,-1.27445
bfa,1989,-0.66528
bfa,1990,-0.14623
bfa,1991,11.36865
bfa,1992,1.75345
bfa,1993,8.51125
bfa,1994,0.0818
bfa,1995,0.32257
bfa,1996,0.02482
bfa,1997,0.25785
bfa,1998,0.2907
bfa,1999,2.56083
bfa,2000,0.5322
bfa,2001,0.11701
bfa,2002,0.54688
bfa,2003,-0.29795
bfa,2004,-0.03582
bfa,2005,-0.04566
bfa,2006,0.1582
bfa,2007,0.20279
bfa,2008,0.4785
bfa,2009,-0.42979
bfa,2010,2.56263
bfa,2011,-0.026
bfa,2012,0.72384
bfa,2013,1.28151
bfa,2014,3.08431
bfa,2015,2.58043
bfa,2016,0.42164
bfa,2017,-1.08774
bfa,2018,-4.42132
bfa,2019,-17.75186
bgd,1976,-3.31471
bgd,1977,5.15534
bgd,1978,11.27247
bgd,1979,1.1634
bgd,1980,0.7099
bgd,1981,-0.45012
bgd,1982,-8.27799
bgd,1983,-4.17047
bgd,1984,1.17417
bgd,1985,-0.36503
bgd,1986,13.32963
bgd,1987,-1.33726
bgd,1988,-0.52357
bgd,1989,-0.00347
bgd,1990,1.54429
bgd,1991,5.87579
bgd,1992,0.73311
bgd,1993,0.79997
bgd,1994,0.14194
bgd,1995,-0.4014
bgd,1996,0.00902
bgd,1997,-0.33668
bgd,1998,-0.04383
bgd,1999,0.10566
bgd,2000,0.15463
bgd,2001,0.16344
bgd,2002,-0.30744
bgd,2003,0.87429
bgd,2004,0.34771
bgd,2005,0.04174
bgd,2006,5.23515
bgd,2007,-19.45183
bgd,2008,6.50512
bgd,2009,2.96022
bgd,2010,0.35519
bgd,2011,-0.10581
bgd,2012,0.09284
bgd,2013,-2.97246
bgd,2014,-2.01212
bgd,2015,-0.89126
bgd,2016,-1.13282
bgd,2017,1.22049
bgd,2018,0.8817
bgd,2019,-1.94666
bgr,1976,-0.16951
bgr,1977,-0.41777
bgr,1978,0.33225
bgr,1979,0.14574
bgr,1980,-0.06832
bgr,1981,0.57929
bgr,1982,-0.08125
bgr,1983,-0.23597
bgr,1984,-0.0736
bgr,1985,0.26854
bgr,1986,-0.21251
bgr,1987,0.15193
bgr,1988,-0.00921
bgr,1989,0.0237
bgr,1990,49.90685
bgr,1991,-0.30937
bgr,1992,5.94486
bgr,1993,0.05878
bgr,1994,-0.69435
bgr,1995,0.22892
bgr,1996,0.05701
bgr,1997,-0.57598
bgr,1998,0.37591
bgr,1999,-0.14126
bgr,2000,-0.12077
bgr,2001,-0.6434
bgr,2002,-0.39444
bgr,2003,-0.76432
bgr,2004,0.29988
