global,time,percit_less_300k
world,1950,17.75
world,1955,18.57
world,1960,19.18
world,1965,19.82
world,1970,19.74
world,1975,19.91
world,1980,20.38
world,1985,21.15
world,1990,21.53
world,1995,21.84
world,2000,21.4
world,2005,22.11
world,2010,22.68
world,2015,22.92
world,2020,22.93
world,2025,22.85
world,2030,23.06
world,2035,23.44
