world_4region,time,un_peakeeper_num
africa,2010,37742
africa,2011,40714
africa,2012,39199
africa,2013,45169
africa,2014,51443
africa,2015,54666
africa,2016,56020
africa,2017,51182
africa,2018,48361
africa,2019,45158
africa,2020,42723
africa,2021,40018
americas,2010,8485
americas,2011,8542
americas,2012,8082
americas,2013,7489
americas,2014,7073
americas,2015,6436
americas,2016,5188
americas,2017,5196
americas,2018,2777
americas,2019,2870
americas,2020,2780
americas,2021,2491
asia,2010,50469
asia,2011,49277
asia,2012,47574
asia,2013,43536
asia,2014,45447
asia,2015,46566
asia,2016,42159
asia,2017,39588
asia,2018,38766
asia,2019,35714
asia,2020,33629
asia,2021,33851
europe,2010,10730
europe,2011,9076
europe,2012,8522
europe,2013,8142
europe,2014,7792
europe,2015,7596
europe,2016,7928
europe,2017,8487
europe,2018,8687
europe,2019,8257
europe,2020,8677
europe,2021,7669
