global,time,un_peakeeper_num
world,2010,107426
world,2011,107609
world,2012,103377
world,2013,104336
world,2014,111755
world,2015,115264
world,2016,111295
world,2017,104453
world,2018,98591
world,2019,91999
world,2020,87809
world,2021,84029
