country,time,fmvt_idea
afg,1975,23.45167
afg,1976,23.45167
afg,1977,23.45167
afg,1978,12.45706
afg,1979,7.22366
afg,1980,7.22366
afg,1981,8.74908
afg,1982,6.2218
afg,1983,6.2218
afg,1984,6.2218
afg,1985,6.2218
afg,1986,6.2218
afg,1987,6.2218
afg,1988,10.83813
afg,1989,13.55727
afg,1990,10.22901
afg,1991,15.39165
afg,1992,16.32514
afg,1993,13.30171
afg,1994,13.30171
afg,1995,8.01658
afg,1996,12.61846
afg,1997,12.61846
afg,1998,6.91548
afg,1999,9.54909
afg,2000,10.22901
afg,2001,12.06681
afg,2002,29.7488
afg,2003,34.98126
afg,2004,34.98126
afg,2005,28.29294
afg,2006,31.27022
afg,2007,33.32043
afg,2008,33.32043
afg,2009,28.29294
afg,2010,28.29294
afg,2011,28.29294
afg,2012,33.32043
afg,2013,33.2388
afg,2014,33.2388
afg,2015,33.2388
afg,2016,30.22519
afg,2017,32.09134
afg,2018,34.68307
afg,2019,32.09134
ago,1975,8.01658
ago,1976,16.08199
ago,1977,16.08199
ago,1978,16.08199
ago,1979,16.08199
ago,1980,16.08199
ago,1981,16.56217
ago,1982,16.56217
ago,1983,18.87757
ago,1984,14.78531
ago,1985,18.87757
ago,1986,17.10103
ago,1987,17.10103
ago,1988,17.10103
ago,1989,14.78531
ago,1990,19.22885
ago,1991,24.32509
ago,1992,32.16404
ago,1993,30.78691
ago,1994,27.72605
ago,1995,20.11429
ago,1996,22.69644
ago,1997,25.99595
ago,1998,20.11429
ago,1999,23.56392
ago,2000,25.2814
ago,2001,27.02836
ago,2002,36.27077
ago,2003,38.28702
ago,2004,38.28702
ago,2005,42.19562
ago,2006,42.19562
ago,2007,40.73459
ago,2008,40.73459
ago,2009,40.73459
ago,2010,40.73459
ago,2011,41.71098
ago,2012,42.19562
ago,2013,40.73572
ago,2014,40.73572
ago,2015,40.73572
ago,2016,43.57812
ago,2017,44.43566
ago,2018,41.71452
ago,2019,42.23438
alb,1975,1.0914
alb,1976,1.0914
alb,1977,1.0914
alb,1978,1.0914
alb,1979,1.0914
alb,1980,1.0914
alb,1981,0
alb,1982,0
alb,1983,0
alb,1984,0
alb,1985,0
alb,1986,0
alb,1987,0
alb,1988,0
alb,1989,0
alb,1990,12.06681
alb,1991,57.31605
alb,1992,58.76217
alb,1993,58.76217
alb,1994,58.76217
alb,1995,58.76217
alb,1996,58.76217
alb,1997,58.76217
alb,1998,58.76217
alb,1999,56.65335
alb,2000,58.76217
alb,2001,56.65335
alb,2002,60.70687
alb,2003,61.13228
alb,2004,61.13228
alb,2005,61.13228
alb,2006,61.13228
alb,2007,58.85145
alb,2008,61.13228
alb,2009,61.13228
alb,2010,62.31821
alb,2011,65.05612
alb,2012,65.60436
alb,2013,63.27446
alb,2014,63.27446
alb,2015,63.27446
alb,2016,64.9472
alb,2017,61.40129
alb,2018,64.08896
alb,2019,71.76822
are,1975,34.7902
are,1976,34.7902
are,1977,34.7902
are,1978,34.7902
are,1979,34.7902
are,1980,33.4735
are,1981,30.45298
are,1982,30.45298
are,1983,30.45298
are,1984,30.45298
are,1985,30.45298
are,1986,30.45298
are,1987,30.45298
are,1988,30.45298
are,1989,30.45298
are,1990,30.45298
are,1991,30.45298
are,1992,30.45298
are,1993,30.45298
are,1994,30.45298
are,1995,33.33907
are,1996,34.31262
are,1997,34.31262
are,1998,34.31262
are,1999,34.31262
are,2000,34.31262
are,2001,34.31262
are,2002,35.23112
are,2003,32.29343
are,2004,32.29343
are,2005,32.29343
are,2006,32.29343
are,2007,33.01288
are,2008,33.01288
are,2009,33.01288
are,2010,33.01288
are,2011,34.3761
are,2012,35.12726
are,2013,35.12726
are,2014,33.75439
are,2015,35.12726
are,2016,37.13376
are,2017,35.12726
are,2018,35.12726
are,2019,34.4584
arg,1975,48.67221
arg,1976,44.17458
arg,1977,44.17458
arg,1978,44.17458
arg,1979,44.17458
arg,1980,44.17458
