global,time,ndisasd_noep_rate
world,1900,770
world,1901,0
world,1902,29
world,1903,4
world,1904,0
world,1905,12
world,1906,19
world,1907,8
world,1908,43
world,1909,4
world,1910,50
world,1911,57
world,1912,29
world,1913,1
world,1914,2
world,1915,17
world,1916,0
world,1917,13
world,1918,6
world,1919,3
world,1920,367
world,1921,619
world,1922,52
world,1923,78
world,1924,2
world,1925,3
world,1926,2
world,1927,26
world,1928,1458
world,1929,2
world,1930,5
world,1931,1753
world,1932,2
world,1933,15
world,1934,3
world,1935,123
world,1936,3
world,1937,6
world,1938,1
world,1939,245
world,1940,9
world,1941,5
world,1942,679
world,1943,803
world,1944,7
world,1945,5
world,1946,15
world,1947,3
world,1948,49
world,1949,49
world,1950,3
world,1951,7
world,1952,3
world,1953,5
world,1954,15
world,1955,2
world,1956,3
world,1957,4
world,1958,1
world,1959,676
world,1960,13
world,1961,6
world,1962,5
world,1963,11
world,1964,4
world,1965,469
world,1966,5
world,1967,2
world,1968,6
world,1969,2
world,1970,104
world,1971,4
world,1972,5
world,1973,33
world,1974,17
world,1975,7
world,1976,67
world,1977,5
world,1978,8
world,1979,2
world,1980,5
world,1981,25
world,1982,2
world,1983,98
world,1984,2
world,1985,11
world,1986,1
world,1987,4
world,1988,8
world,1989,2
world,1990,10
world,1991,29
world,1992,2
world,1993,4
world,1994,2
world,1995,4
world,1996,3
world,1997,3
world,1998,8
world,1999,12
world,2000,2
world,2001,5
world,2002,2
world,2003,17
world,2004,37
world,2005,14
world,2006,3
world,2007,3
world,2008,35
world,2009,2
world,2010,46
world,2011,4
world,2012,1
world,2013,3
world,2014,1
world,2015,3
world,2016,1
world,2017,1
world,2018,2
world,2019,2
world,2020,2
