unicef_region,name,is--unicef_region
sa,South Asia,TRUE
eca,Europe and Central Asia,TRUE
mena,Middle East and North Africa,TRUE
ssa,Sub-Saharan Africa,TRUE
lac,Latin America and Caribbean,TRUE
eap,East Asia and Pacific,TRUE
na,North America,TRUE
