country,time,refas_prc_undesa
afg,1990,0.04
afg,1995,27.41
afg,2005,0.05
afg,2010,6.32
afg,2015,75.9
afg,2020,50.3
ago,1990,35.8
ago,1995,28.64
ago,2000,27.28
ago,2005,23.85
ago,2010,5.77
ago,2015,7.23
ago,2020,8.53
alb,1990,4.54
alb,1995,6.61
alb,2000,0.69
alb,2005,0.14
alb,2010,0.19
alb,2015,1.8
alb,2020,0.27
are,1990,0.03
are,1995,0.02
are,2000,0.04
are,2005,0.01
are,2010,0.01
are,2015,0.01
are,2020,0.1
arg,1990,0.74
arg,1995,0.46
arg,2000,0.15
arg,2005,0.23
arg,2010,0.23
arg,2015,0.21
arg,2020,8.12
arm,1995,31.55
arm,2000,42.65
arm,2005,46.81
arm,2010,1.57
arm,2015,10.14
arm,2020,9.54
atg,2015,0.05
aus,1990,2.48
aus,1995,1.9
aus,2000,1.62
aus,2005,1.37
aus,2010,0.43
aus,2015,0.86
aus,2020,2.01
aut,1990,4.69
aut,1995,4.8
aut,2000,4.9
aut,2005,5.5
aut,2010,5.35
aut,2015,10.27
aut,2020,9.36
aze,1995,67.92
aze,2000,16.69
aze,2005,1.03
aze,2010,0.69
aze,2015,0.57
aze,2020,0.51
bdi,1990,80.43
bdi,1995,67.89
bdi,2000,21.6
bdi,2005,21.05
bdi,2010,16.75
bdi,2015,18.87
bdi,2020,25.37
bel,1990,2.01
bel,1995,2.46
bel,2000,1.48
bel,2005,2.74
bel,2010,2.41
bel,2015,4
bel,2020,3.62
ben,1990,0.86
ben,1995,2.19
ben,2000,2.95
ben,2005,12.88
ben,2010,2.34
ben,2015,0.19
ben,2020,0.41
bfa,1990,0.1
bfa,1995,6.42
bfa,2000,0.19
bfa,2005,0.22
bfa,2010,0.16
bfa,2015,4.85
bfa,2020,3.58
bgd,1990,0.01
bgd,1995,1.18
bgd,2000,2.22
bgd,2005,1.99
bgd,2010,17.04
bgd,2015,16.31
bgd,2020,40.41
bgr,1995,4.07
bgr,2000,6.43
bgr,2005,8.54
bgr,2010,9.1
bgr,2015,21.05
bgr,2020,11.67
bhr,1990,1.03
bhr,1995,0.43
bhr,2005,0
bhr,2010,0.04
bhr,2015,0.05
bhr,2020,0.03
bhs,1995,0.16
bhs,2000,0.27
bhs,2010,0.07
bhs,2015,0.05
bhs,2020,0.05
bih,2000,45.99
bih,2005,22.8
bih,2010,18.41
bih,2015,17.67
bih,2020,16.58
blr,1995,2.44
blr,2000,0.08
blr,2005,0.07
blr,2010,0.06
blr,2015,0.19
blr,2020,0.27
blz,1990,100
blz,1995,26.16
blz,2000,26.89
blz,2005,1.54
blz,2010,0.35
blz,2015,1.38
blz,2020,3.51
bol,1990,0.32
bol,1995,0.82
bol,2000,0.38
bol,2005,0.5
bol,2010,0.6
bol,2015,0.54
bol,2020,4.02
bra,1990,0.67
bra,1995,2.64
bra,2005,0.57
bra,2010,0.88
bra,2015,4.16
bra,2020,33.68
brb,2020,0.02
bwa,1990,4.43
bwa,1995,0.66
bwa,2000,4.74
bwa,2005,3.73
bwa,2010,3.41
bwa,2015,2.2
bwa,2020,1.15
caf,1990,5.04
caf,1995,33.95
caf,2000,45.06
caf,2005,27.52
caf,2010,24.07
caf,2015,9.4
caf,2020,8.45
can,1990,3.35
can,1995,3.13
can,2000,2.27
can,2005,2.76
can,2010,3.2
can,2015,2.09
can,2020,2.47
che,1990,2.94
che,1995,5.61
che,2000,5.42
che,2005,3.46
che,2010,2.97
che,2015,4.7
che,2020,4.87
chl,1990,0.17
chl,1995,0.18
chl,2000,0.19
chl,2005,0.33
chl,2010,0.5
chl,2015,0.46
chl,2020,28.16
chn,1990,75.93
chn,1995,65.52
chn,2000,57.81
chn,2005,44.35
chn,2010,35.43
chn,2015,30.85
chn,2020,29.24
civ,1990,7.51
civ,1995,14.35
civ,2000,5.58
civ,2005,1.95
civ,2010,1.12
civ,2015,0.11
civ,2020,0.09
cmr,1990,18.75
cmr,1995,18.7
cmr,2000,19.94
cmr,2005,22.15
cmr,2010,36.59
cmr,2015,68.53
cmr,2020,71.86
cod,1990,50.19
cod,1995,78.91
cod,2000,44.67
cod,2005,32.82
cod,2010,28.36
cod,2015,47.42
cod,2020,55.3
cog,1990,2.31
cog,1995,10.13
cog,2000,40.56
cog,2005,21.82
cog,2010,32.61
cog,2015,12.64
cog,2020,10.34
col,1990,0.56
col,1995,0.38
col,2000,0.21
col,2005,0.18
col,2010,0.29
col,2015,0.21
col,2020,93.47
com,1995,0.04
com,2000,0.07
cri,1990,66.45
cri,1995,6.65
cri,2000,2.13
cri,2005,3.2
cri,2010,4.9
cri,2015,1.68
cri,2020,21.94
cub,1990,11.54
cub,1995,9.45
cub,2000,5.18
cub,2005,6.31
cub,2010,5.72
cub,2015,7.06
cub,2020,8.93
cyp,1990,0.04
cyp,1995,0.09
cyp,2000,0.12
cyp,2005,11.21
cyp,2010,4.66
cyp,2015,5.27
cyp,2020,16.37
cze,1995,1.6
cze,2000,0.55
cze,2005,0.85
cze,2010,0.88
cze,2015,1.03
cze,2020,0.69
deu,1990,12.17
deu,1995,16.99
deu,2000,10.07
deu,2005,8.21
deu,2010,6.59
deu,2015,7.21
deu,2020,9.24
dji,1990,44.6
dji,1995,27.37
dji,2000,23.14
dji,2005,11.37
dji,2010,15.48
dji,2015,19.59
dji,2020,25.72
dnk,1990,13.53
dnk,1995,16.8
dnk,2000,18.87
dnk,2005,10.19
dnk,2010,4.25
dnk,2015,5.08
dnk,2020,5.43
dom,1990,0.91
dom,1995,0.3
dom,2000,0.14
dom,2010,0.6
dom,2015,0.25
dom,2020,5.72
dza,1990,61.73
dza,1995,73.46
dza,2000,66.95
dza,2005,47.75
dza,2010,43.47
dza,2015,42.08
dza,2020,40.05
ecu,1990,0.81
ecu,1995,0.69
ecu,2000,0.63
ecu,2005,6.61
ecu,2010,45.61
ecu,2015,34.35
ecu,2020,64.18
egy,1990,1.15
egy,1995,3.24
egy,2000,9.75
egy,2005,35.07
egy,2010,35.28
egy,2015,70.88
egy,2020,59.7
eri,1995,8.73
eri,2000,15.32
eri,2005,37.78
eri,2010,31.28
eri,2015,16
eri,2020,1.43
esp,1990,1.01
esp,1995,0.57
esp,2000,0.42
esp,2005,0.13
esp,2010,0.1
esp,2015,0.3
esp,2020,2.79
est,2005,0.01
est,2010,0.02
est,2015,0.13
est,2020,0.19
eth,1990,64.22
eth,1995,48.76
eth,2000,32.38
eth,2005,19.64
eth,2010,27.31
eth,2015,63.55
eth,2020,67.69
fin,1990,3.44
fin,1995,7.64
fin,2000,9.6
fin,2005,6.15
fin,2010,4.74
fin,2015,11.77
fin,2020,8.24
fji,2010,0.05
fji,2015,0.15
fji,2020,0.14
fra,1990,3.27
fra,1995,2.55
fra,2000,2.11
fra,2005,2.65
fra,2010,3.41
fra,2015,4.27
fra,2020,5.98
fsm,2015,0.51
gab,1990,0.33
gab,1995,0.46
gab,2000,9.8
gab,2005,5.73
gab,2010,4.85
gab,2015,0.76
gab,2020,0.13
gbr,1990,1.19
gbr,1995,2.19
gbr,2000,3.94
